,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
AGA,ENSG00000038002,Gene Expression,GRCh38,1288,1694.0,AGA,1288
WARS,ENSG00000140105,Gene Expression,GRCh38,918,1203.0,WARS,918
RABGGTA,ENSG00000100949,Gene Expression,GRCh38,818,942.0,RABGGTA,818
AC015688.6,ENSG00000266872,Gene Expression,GRCh38,11,11.0,AC015688.6,11
CCDC113,ENSG00000103021,Gene Expression,GRCh38,144,154.0,CCDC113,144
ABHD12,ENSG00000100997,Gene Expression,GRCh38,2511,3804.0,ABHD12,2511
EPB41,ENSG00000159023,Gene Expression,GRCh38,404,434.0,EPB41,404
STXBP5,ENSG00000164506,Gene Expression,GRCh38,938,1174.0,STXBP5,938
OSBPL8,ENSG00000091039,Gene Expression,GRCh38,1826,2533.0,OSBPL8,1826
LINC01134,ENSG00000236423,Gene Expression,GRCh38,17,17.0,LINC01134,17
NTNG1,ENSG00000162631,Gene Expression,GRCh38,40,46.0,NTNG1,40
CADM1,ENSG00000182985,Gene Expression,GRCh38,17,18.0,CADM1,17
AL358852.1,ENSG00000278899,Gene Expression,GRCh38,45,45.0,AL358852.1,45
PTS,ENSG00000150787,Gene Expression,GRCh38,1433,2122.0,PTS,1433
PARD3,ENSG00000148498,Gene Expression,GRCh38,932,1117.0,PARD3,932
CORT,ENSG00000241563,Gene Expression,GRCh38,3,3.0,CORT,3
CREG1,ENSG00000143162,Gene Expression,GRCh38,2429,4086.0,CREG1,2429
CREB5,ENSG00000146592,Gene Expression,GRCh38,1043,1585.0,CREB5,1043
AC100835.2,ENSG00000275527,Gene Expression,GRCh38,29,31.0,AC100835.2,29
MORN1,ENSG00000116151,Gene Expression,GRCh38,62,63.0,MORN1,62
GLCE,ENSG00000138604,Gene Expression,GRCh38,1234,1622.0,GLCE,1234
BOK,ENSG00000176720,Gene Expression,GRCh38,126,135.0,BOK,126
NRBP2,ENSG00000185189,Gene Expression,GRCh38,170,177.0,NRBP2,170
CLN6,ENSG00000128973,Gene Expression,GRCh38,111,115.0,CLN6,111
KLC3,ENSG00000104892,Gene Expression,GRCh38,31,32.0,KLC3,31
TCHHL1,ENSG00000182898,Gene Expression,GRCh38,35,46.0,TCHHL1,35
TP63,ENSG00000073282,Gene Expression,GRCh38,681,838.0,TP63,681
NMNAT3,ENSG00000163864,Gene Expression,GRCh38,83,87.0,NMNAT3,83
BMP8B,ENSG00000116985,Gene Expression,GRCh38,3,3.0,BMP8B,3
AC108047.1,ENSG00000233654,Gene Expression,GRCh38,4,4.0,AC108047.1,4
AL449266.1,ENSG00000274068,Gene Expression,GRCh38,30,30.0,AL449266.1,30
FCGR3A,ENSG00000203747,Gene Expression,GRCh38,11,11.0,FCGR3A,11
CAPN8,ENSG00000203697,Gene Expression,GRCh38,9,12.0,CAPN8,9
ADIPOR1,ENSG00000159346,Gene Expression,GRCh38,2314,3454.0,ADIPOR1,2314
ELOVL5,ENSG00000012660,Gene Expression,GRCh38,2321,3777.0,ELOVL5,2321
DESI2,ENSG00000121644,Gene Expression,GRCh38,1693,2382.0,DESI2,1693
Z94721.1,ENSG00000227598,Gene Expression,GRCh38,3,3.0,Z94721.1,3
STS,ENSG00000101846,Gene Expression,GRCh38,1844,3222.0,STS,1844
WDYHV1,ENSG00000156795,Gene Expression,GRCh38,321,340.0,WDYHV1,321
FSIP1,ENSG00000150667,Gene Expression,GRCh38,5,5.0,FSIP1,5
LMNB1,ENSG00000113368,Gene Expression,GRCh38,143,185.0,LMNB1,143
TIGD7,ENSG00000140993,Gene Expression,GRCh38,53,55.0,TIGD7,53
CLSTN3,ENSG00000139182,Gene Expression,GRCh38,1080,1366.0,CLSTN3,1080
SUN2,ENSG00000100242,Gene Expression,GRCh38,1663,2234.0,SUN2,1663
SZT2,ENSG00000198198,Gene Expression,GRCh38,607,673.0,SZT2,607
AC008897.2,ENSG00000247372,Gene Expression,GRCh38,4,4.0,AC008897.2,4
ETF1,ENSG00000120705,Gene Expression,GRCh38,2644,3997.0,ETF1,2644
TAZ,ENSG00000102125,Gene Expression,GRCh38,502,546.0,TAZ,502
FOXJ2,ENSG00000065970,Gene Expression,GRCh38,760,1023.0,FOXJ2,760
C5orf47,ENSG00000185056,Gene Expression,GRCh38,5,5.0,C5orf47,5
AP5S1,ENSG00000125843,Gene Expression,GRCh38,331,351.0,AP5S1,331
IGFBP2,ENSG00000115457,Gene Expression,GRCh38,38,72.0,IGFBP2,38
C1orf158,ENSG00000157330,Gene Expression,GRCh38,192,218.0,C1orf158,192
NRAP,ENSG00000197893,Gene Expression,GRCh38,8,8.0,NRAP,8
LINC01447,ENSG00000236078,Gene Expression,GRCh38,6,6.0,LINC01447,6
POLL,ENSG00000166169,Gene Expression,GRCh38,576,606.0,POLL,576
AL928654.1,ENSG00000251602,Gene Expression,GRCh38,19,19.0,AL928654.1,19
DPP10-AS1,ENSG00000235026,Gene Expression,GRCh38,115,130.0,DPP10-AS1,115
ZBTB43,ENSG00000169155,Gene Expression,GRCh38,1000,1187.0,ZBTB43,1000
KDF1,ENSG00000175707,Gene Expression,GRCh38,744,833.0,KDF1,744
CACNA1C,ENSG00000151067,Gene Expression,GRCh38,6,6.0,CACNA1C,6
RNASEK-C17orf49,ENSG00000161939,Gene Expression,GRCh38,6,6.0,RNASEK-C17orf49,6
DCUN1D2,ENSG00000150401,Gene Expression,GRCh38,224,230.0,DCUN1D2,224
LCN12,ENSG00000184925,Gene Expression,GRCh38,6,6.0,LCN12,6
CLTC,ENSG00000141367,Gene Expression,GRCh38,3623,6775.0,CLTC,3623
FHAD1,ENSG00000142621,Gene Expression,GRCh38,3,3.0,FHAD1,3
GNMT,ENSG00000124713,Gene Expression,GRCh38,18,18.0,GNMT,18
IER3IP1,ENSG00000134049,Gene Expression,GRCh38,1638,2282.0,IER3IP1,1638
AC069234.2,ENSG00000256364,Gene Expression,GRCh38,50,51.0,AC069234.2,50
NDUFA4,ENSG00000189043,Gene Expression,GRCh38,5390,19568.0,NDUFA4,5390
ZNF169,ENSG00000175787,Gene Expression,GRCh38,88,92.0,ZNF169,88
TMEM266,ENSG00000169758,Gene Expression,GRCh38,207,226.0,TMEM266,207
LRRC75B,ENSG00000178026,Gene Expression,GRCh38,61,62.0,LRRC75B,61
AP000317.1,ENSG00000214955,Gene Expression,GRCh38,33,33.0,AP000317.1,33
MPZL1,ENSG00000197965,Gene Expression,GRCh38,4142,9519.0,MPZL1,4142
TRMT112,ENSG00000173113,Gene Expression,GRCh38,3788,7647.0,TRMT112,3788
GRPEL2,ENSG00000164284,Gene Expression,GRCh38,966,1117.0,GRPEL2,966
RBM5,ENSG00000003756,Gene Expression,GRCh38,2384,3495.0,RBM5,2384
ZNF236,ENSG00000130856,Gene Expression,GRCh38,509,562.0,ZNF236,509
FNTA,ENSG00000168522,Gene Expression,GRCh38,2209,3029.0,FNTA,2209
ASPM,ENSG00000066279,Gene Expression,GRCh38,130,179.0,ASPM,130
DKK3,ENSG00000050165,Gene Expression,GRCh38,153,168.0,DKK3,153
SGPP1,ENSG00000126821,Gene Expression,GRCh38,1668,2192.0,SGPP1,1668
CC2D1B,ENSG00000154222,Gene Expression,GRCh38,608,656.0,CC2D1B,608
STAM-AS1,ENSG00000260589,Gene Expression,GRCh38,51,55.0,STAM-AS1,51
TALDO1,ENSG00000177156,Gene Expression,GRCh38,4973,14433.0,TALDO1,4973
ACOT13,ENSG00000112304,Gene Expression,GRCh38,1662,2268.0,ACOT13,1662
PRR29,ENSG00000224383,Gene Expression,GRCh38,5,5.0,PRR29,5
AC009262.1,ENSG00000236212,Gene Expression,GRCh38,4,4.0,AC009262.1,4
RASA2,ENSG00000155903,Gene Expression,GRCh38,999,1192.0,RASA2,999
AL358072.1,ENSG00000271427,Gene Expression,GRCh38,5,5.0,AL358072.1,5
AFAP1-AS1,ENSG00000272620,Gene Expression,GRCh38,77,79.0,AFAP1-AS1,77
AC066613.1,ENSG00000259668,Gene Expression,GRCh38,9,9.0,AC066613.1,9
ZWILCH,ENSG00000174442,Gene Expression,GRCh38,461,497.0,ZWILCH,461
ITGB3BP,ENSG00000142856,Gene Expression,GRCh38,1053,1236.0,ITGB3BP,1053
ARHGAP25,ENSG00000163219,Gene Expression,GRCh38,27,27.0,ARHGAP25,27
USP20,ENSG00000136878,Gene Expression,GRCh38,467,498.0,USP20,467
TAMM41,ENSG00000144559,Gene Expression,GRCh38,306,316.0,TAMM41,306
DNAJC7,ENSG00000168259,Gene Expression,GRCh38,2163,3127.0,DNAJC7,2163
MZF1-AS1,ENSG00000267858,Gene Expression,GRCh38,211,240.0,MZF1-AS1,211
FP565260.1,ENSG00000275464,Gene Expression,GRCh38,28,29.0,FP565260.1,28
LINC01572,ENSG00000261008,Gene Expression,GRCh38,18,18.0,LINC01572,18
AC099520.1,ENSG00000251574,Gene Expression,GRCh38,37,37.0,AC099520.1,37
HP1BP3,ENSG00000127483,Gene Expression,GRCh38,3397,5866.0,HP1BP3,3397
MEGF9,ENSG00000106780,Gene Expression,GRCh38,471,537.0,MEGF9,471
HSBP1L1,ENSG00000226742,Gene Expression,GRCh38,2536,4158.0,HSBP1L1,2536
RICTOR,ENSG00000164327,Gene Expression,GRCh38,1765,2362.0,RICTOR,1765
AL132780.1,ENSG00000257285,Gene Expression,GRCh38,3,3.0,AL132780.1,3
PPIL1,ENSG00000137168,Gene Expression,GRCh38,398,431.0,PPIL1,398
ST6GALNAC5,ENSG00000117069,Gene Expression,GRCh38,8,8.0,ST6GALNAC5,8
STT3A,ENSG00000134910,Gene Expression,GRCh38,2503,4336.0,STT3A,2503
MOK,ENSG00000080823,Gene Expression,GRCh38,100,101.0,MOK,100
ARL14EP,ENSG00000152219,Gene Expression,GRCh38,758,853.0,ARL14EP,758
ATF3,ENSG00000162772,Gene Expression,GRCh38,4791,15941.0,ATF3,4791
SMIM20,ENSG00000250317,Gene Expression,GRCh38,1199,1469.0,SMIM20,1199
GNB5,ENSG00000069966,Gene Expression,GRCh38,813,958.0,GNB5,813
UBE2Z,ENSG00000159202,Gene Expression,GRCh38,2298,3242.0,UBE2Z,2298
RAD23A,ENSG00000179262,Gene Expression,GRCh38,3254,5944.0,RAD23A,3254
MCL1,ENSG00000143384,Gene Expression,GRCh38,3250,6463.0,MCL1,3250
GOLPH3,ENSG00000113384,Gene Expression,GRCh38,3597,6922.0,GOLPH3,3597
TIMM9,ENSG00000100575,Gene Expression,GRCh38,853,958.0,TIMM9,853
AL512625.2,ENSG00000229422,Gene Expression,GRCh38,4,4.0,AL512625.2,4
AC023906.5,ENSG00000259712,Gene Expression,GRCh38,30,30.0,AC023906.5,30
RBM19,ENSG00000122965,Gene Expression,GRCh38,509,555.0,RBM19,509
SLC38A7,ENSG00000103042,Gene Expression,GRCh38,433,482.0,SLC38A7,433
ZFR2,ENSG00000105278,Gene Expression,GRCh38,10,10.0,ZFR2,10
MYO1E,ENSG00000157483,Gene Expression,GRCh38,1563,2179.0,MYO1E,1563
CWC15,ENSG00000150316,Gene Expression,GRCh38,2537,3817.0,CWC15,2537
ATG3,ENSG00000144848,Gene Expression,GRCh38,1684,2247.0,ATG3,1684
EFNB2,ENSG00000125266,Gene Expression,GRCh38,539,705.0,EFNB2,539
INSL5,ENSG00000172410,Gene Expression,GRCh38,3,3.0,INSL5,3
AL451137.1,ENSG00000254261,Gene Expression,GRCh38,5,5.0,AL451137.1,5
DTNBP1,ENSG00000047579,Gene Expression,GRCh38,908,1043.0,DTNBP1,908
MSRB1,ENSG00000198736,Gene Expression,GRCh38,1501,2171.0,MSRB1,1501
IMMT,ENSG00000132305,Gene Expression,GRCh38,1692,2161.0,IMMT,1692
VPS36,ENSG00000136100,Gene Expression,GRCh38,1899,2552.0,VPS36,1899
XPNPEP2,ENSG00000122121,Gene Expression,GRCh38,29,29.0,XPNPEP2,29
AC253536.6,ENSG00000272787,Gene Expression,GRCh38,10,10.0,AC253536.6,10
C1GALT1C1L,ENSG00000223658,Gene Expression,GRCh38,34,34.0,C1GALT1C1L,34
ADAMTSL5,ENSG00000185761,Gene Expression,GRCh38,160,171.0,ADAMTSL5,160
AL451007.2,ENSG00000282317,Gene Expression,GRCh38,15,17.0,AL451007.2,15
BGN,ENSG00000182492,Gene Expression,GRCh38,6171,37407.0,BGN,6171
CAMKK2,ENSG00000110931,Gene Expression,GRCh38,553,596.0,CAMKK2,553
E2F3,ENSG00000112242,Gene Expression,GRCh38,907,1120.0,E2F3,907
KANSL1,ENSG00000120071,Gene Expression,GRCh38,2334,3439.0,KANSL1,2334
DBR1,ENSG00000138231,Gene Expression,GRCh38,371,403.0,DBR1,371
AC006504.5,ENSG00000267575,Gene Expression,GRCh38,16,17.0,AC006504.5,16
PIWIL2,ENSG00000197181,Gene Expression,GRCh38,16,18.0,PIWIL2,16
SNAPC4,ENSG00000165684,Gene Expression,GRCh38,266,276.0,SNAPC4,266
IGLV1-40,ENSG00000211653,Gene Expression,GRCh38,5,5.0,IGLV1-40,5
AC084855.2,ENSG00000259219,Gene Expression,GRCh38,6,6.0,AC084855.2,6
APLF,ENSG00000169621,Gene Expression,GRCh38,113,117.0,APLF,113
GLMN,ENSG00000174842,Gene Expression,GRCh38,303,321.0,GLMN,303
FAM71E1,ENSG00000142530,Gene Expression,GRCh38,111,117.0,FAM71E1,111
AC005899.7,ENSG00000278668,Gene Expression,GRCh38,47,49.0,AC005899.7,47
AC068620.1,ENSG00000269921,Gene Expression,GRCh38,12,12.0,AC068620.1,12
BRI3BP,ENSG00000184992,Gene Expression,GRCh38,614,725.0,BRI3BP,614
ZNF721,ENSG00000182903,Gene Expression,GRCh38,688,763.0,ZNF721,688
WSCD1,ENSG00000179314,Gene Expression,GRCh38,37,38.0,WSCD1,37
KCND2,ENSG00000184408,Gene Expression,GRCh38,5,5.0,KCND2,5
PODXL2,ENSG00000114631,Gene Expression,GRCh38,857,1043.0,PODXL2,857
ZSWIM2,ENSG00000163012,Gene Expression,GRCh38,12,12.0,ZSWIM2,12
AC023154.1,ENSG00000248115,Gene Expression,GRCh38,9,9.0,AC023154.1,9
NECTIN4,ENSG00000143217,Gene Expression,GRCh38,3548,10777.0,NECTIN4,3548
ARHGAP12,ENSG00000165322,Gene Expression,GRCh38,616,687.0,ARHGAP12,616
BICD1,ENSG00000151746,Gene Expression,GRCh38,5,5.0,BICD1,5
SRPK1,ENSG00000096063,Gene Expression,GRCh38,1999,3023.0,SRPK1,1999
FAM84A,ENSG00000162981,Gene Expression,GRCh38,524,678.0,FAM84A,524
LINC01006,ENSG00000182648,Gene Expression,GRCh38,8,8.0,LINC01006,8
SCO2,ENSG00000130489,Gene Expression,GRCh38,4,4.0,SCO2,4
PKN3,ENSG00000160447,Gene Expression,GRCh38,96,100.0,PKN3,96
LINC00893,ENSG00000241769,Gene Expression,GRCh38,94,95.0,LINC00893,94
AC110813.1,ENSG00000249690,Gene Expression,GRCh38,14,14.0,AC110813.1,14
ABL1,ENSG00000097007,Gene Expression,GRCh38,492,541.0,ABL1,492
TMEM223,ENSG00000168569,Gene Expression,GRCh38,836,948.0,TMEM223,836
FRAT1,ENSG00000165879,Gene Expression,GRCh38,134,157.0,FRAT1,134
Z99943.1,ENSG00000232194,Gene Expression,GRCh38,13,13.0,Z99943.1,13
RAN,ENSG00000132341,Gene Expression,GRCh38,4134,11042.0,RAN,4134
CCDC189,ENSG00000196118,Gene Expression,GRCh38,20,20.0,CCDC189,20
NWD1,ENSG00000188039,Gene Expression,GRCh38,13,13.0,NWD1,13
HDHD3,ENSG00000119431,Gene Expression,GRCh38,534,596.0,HDHD3,534
PPP1R32,ENSG00000162148,Gene Expression,GRCh38,62,65.0,PPP1R32,62
LINC02506,ENSG00000251129,Gene Expression,GRCh38,22,23.0,LINC02506,22
SPAG5,ENSG00000076382,Gene Expression,GRCh38,52,54.0,SPAG5,52
AL157895.1,ENSG00000233968,Gene Expression,GRCh38,3,3.0,AL157895.1,3
PRICKLE1,ENSG00000139174,Gene Expression,GRCh38,22,22.0,PRICKLE1,22
TAS2R20,ENSG00000255837,Gene Expression,GRCh38,4,4.0,TAS2R20,4
SLC36A1,ENSG00000123643,Gene Expression,GRCh38,957,1117.0,SLC36A1,957
TUBE1,ENSG00000074935,Gene Expression,GRCh38,406,432.0,TUBE1,406
MRE11,ENSG00000020922,Gene Expression,GRCh38,731,814.0,MRE11,731
COX16,ENSG00000133983,Gene Expression,GRCh38,916,1086.0,COX16,916
KDELC1,ENSG00000134901,Gene Expression,GRCh38,525,591.0,KDELC1,525
MYO18A,ENSG00000196535,Gene Expression,GRCh38,750,884.0,MYO18A,750
SRSF11,ENSG00000116754,Gene Expression,GRCh38,4746,10905.0,SRSF11,4746
PFKFB2,ENSG00000123836,Gene Expression,GRCh38,188,201.0,PFKFB2,188
BST1,ENSG00000109743,Gene Expression,GRCh38,958,1167.0,BST1,958
CELA1,ENSG00000139610,Gene Expression,GRCh38,16,16.0,CELA1,16
PARP15,ENSG00000173200,Gene Expression,GRCh38,6,6.0,PARP15,6
UBB,ENSG00000170315,Gene Expression,GRCh38,6387,21678.0,UBB,6387
ACTG1,ENSG00000184009,Gene Expression,GRCh38,8898,78760.0,ACTG1,8898
AC136475.1,ENSG00000251661,Gene Expression,GRCh38,29,29.0,AC136475.1,29
GNL3,ENSG00000163938,Gene Expression,GRCh38,1761,2304.0,GNL3,1761
SOX13,ENSG00000143842,Gene Expression,GRCh38,404,447.0,SOX13,404
IFITM2,ENSG00000185201,Gene Expression,GRCh38,761,1167.0,IFITM2,761
RIC3,ENSG00000166405,Gene Expression,GRCh38,10,11.0,RIC3,10
IKZF5,ENSG00000095574,Gene Expression,GRCh38,563,610.0,IKZF5,563
MED21,ENSG00000152944,Gene Expression,GRCh38,1048,1243.0,MED21,1048
ZMYM5,ENSG00000132950,Gene Expression,GRCh38,418,457.0,ZMYM5,418
ZNF530,ENSG00000183647,Gene Expression,GRCh38,38,38.0,ZNF530,38
IFI44L,ENSG00000137959,Gene Expression,GRCh38,43,65.0,IFI44L,43
ANKRD26,ENSG00000107890,Gene Expression,GRCh38,536,599.0,ANKRD26,536
AC024600.1,ENSG00000224714,Gene Expression,GRCh38,13,13.0,AC024600.1,13
ITGB2-AS1,ENSG00000227039,Gene Expression,GRCh38,4,4.0,ITGB2-AS1,4
MUC1,ENSG00000185499,Gene Expression,GRCh38,298,548.0,MUC1,298
ADCY9,ENSG00000162104,Gene Expression,GRCh38,239,246.0,ADCY9,239
C1orf116,ENSG00000182795,Gene Expression,GRCh38,59,62.0,C1orf116,59
OPLAH,ENSG00000178814,Gene Expression,GRCh38,95,100.0,OPLAH,95
AC005324.3,ENSG00000251537,Gene Expression,GRCh38,3,4.0,AC005324.3,3
ANKH,ENSG00000154122,Gene Expression,GRCh38,176,195.0,ANKH,176
FUK,ENSG00000157353,Gene Expression,GRCh38,289,304.0,FUK,289
AC136616.1,ENSG00000273554,Gene Expression,GRCh38,236,262.0,AC136616.1,236
SLC30A6,ENSG00000152683,Gene Expression,GRCh38,779,880.0,SLC30A6,779
AL022326.1,ENSG00000224794,Gene Expression,GRCh38,41,46.0,AL022326.1,41
AC016590.1,ENSG00000267605,Gene Expression,GRCh38,4,4.0,AC016590.1,4
TCF24,ENSG00000261787,Gene Expression,GRCh38,15,15.0,TCF24,15
CDHR1,ENSG00000148600,Gene Expression,GRCh38,3,3.0,CDHR1,3
FLNB-AS1,ENSG00000244161,Gene Expression,GRCh38,24,24.0,FLNB-AS1,24
PARD3-AS1,ENSG00000226386,Gene Expression,GRCh38,28,31.0,PARD3-AS1,28
ANOS1,ENSG00000011201,Gene Expression,GRCh38,4,4.0,ANOS1,4
UBE2R2,ENSG00000107341,Gene Expression,GRCh38,2247,3263.0,UBE2R2,2247
RPS6KB1,ENSG00000108443,Gene Expression,GRCh38,724,810.0,RPS6KB1,724
TCEAL3-AS1,ENSG00000224031,Gene Expression,GRCh38,4,4.0,TCEAL3-AS1,4
EXOC5,ENSG00000070367,Gene Expression,GRCh38,1567,1970.0,EXOC5,1567
RNF220,ENSG00000187147,Gene Expression,GRCh38,930,1090.0,RNF220,930
TSKS,ENSG00000126467,Gene Expression,GRCh38,378,422.0,TSKS,378
UBL4A,ENSG00000102178,Gene Expression,GRCh38,543,593.0,UBL4A,543
AC118553.1,ENSG00000228084,Gene Expression,GRCh38,32,33.0,AC118553.1,32
ZSCAN21,ENSG00000166529,Gene Expression,GRCh38,296,315.0,ZSCAN21,296
ATP2A1,ENSG00000196296,Gene Expression,GRCh38,40,40.0,ATP2A1,40
DECR1,ENSG00000104325,Gene Expression,GRCh38,740,837.0,DECR1,740
AC024933.1,ENSG00000272656,Gene Expression,GRCh38,13,13.0,AC024933.1,13
ATP1B3,ENSG00000069849,Gene Expression,GRCh38,2131,3630.0,ATP1B3,2131
ATP13A4,ENSG00000127249,Gene Expression,GRCh38,51,53.0,ATP13A4,51
AGO1,ENSG00000092847,Gene Expression,GRCh38,380,409.0,AGO1,380
CENPV,ENSG00000166582,Gene Expression,GRCh38,123,130.0,CENPV,123
CEP68,ENSG00000011523,Gene Expression,GRCh38,568,631.0,CEP68,568
CD302,ENSG00000241399,Gene Expression,GRCh38,745,871.0,CD302,745
ZCCHC14,ENSG00000140948,Gene Expression,GRCh38,464,520.0,ZCCHC14,464
AC080037.1,ENSG00000263893,Gene Expression,GRCh38,10,10.0,AC080037.1,10
FAM122C,ENSG00000156500,Gene Expression,GRCh38,321,340.0,FAM122C,321
AC010969.1,ENSG00000188525,Gene Expression,GRCh38,7,10.0,AC010969.1,7
GKN1,ENSG00000169605,Gene Expression,GRCh38,395,972.0,GKN1,395
TSR3,ENSG00000007520,Gene Expression,GRCh38,1559,1982.0,TSR3,1559
OR8D4,ENSG00000181518,Gene Expression,GRCh38,5,5.0,OR8D4,5
TMEM99,ENSG00000167920,Gene Expression,GRCh38,1258,1601.0,TMEM99,1258
COG1,ENSG00000166685,Gene Expression,GRCh38,692,776.0,COG1,692
ZNF512,ENSG00000243943,Gene Expression,GRCh38,72,76.0,ZNF512,72
ERCC8,ENSG00000049167,Gene Expression,GRCh38,231,239.0,ERCC8,231
COPS9,ENSG00000172428,Gene Expression,GRCh38,3707,7750.0,COPS9,3707
UPF3B,ENSG00000125351,Gene Expression,GRCh38,863,1010.0,UPF3B,863
UCP3,ENSG00000175564,Gene Expression,GRCh38,38,38.0,UCP3,38
SHANK2-AS1,ENSG00000226627,Gene Expression,GRCh38,137,159.0,SHANK2-AS1,137
AL353751.1,ENSG00000232110,Gene Expression,GRCh38,4,4.0,AL353751.1,4
MMP24OS,ENSG00000126005,Gene Expression,GRCh38,2011,2971.0,MMP24OS,2011
AL137145.1,ENSG00000212743,Gene Expression,GRCh38,3,3.0,AL137145.1,3
GDA,ENSG00000119125,Gene Expression,GRCh38,816,953.0,GDA,816
SLC25A46,ENSG00000164209,Gene Expression,GRCh38,823,940.0,SLC25A46,823
ZNF658,ENSG00000274349,Gene Expression,GRCh38,73,73.0,ZNF658,73
SLC35B1,ENSG00000121073,Gene Expression,GRCh38,1430,1838.0,SLC35B1,1430
METAP1D,ENSG00000172878,Gene Expression,GRCh38,166,171.0,METAP1D,166
AC116049.2,ENSG00000249413,Gene Expression,GRCh38,7,7.0,AC116049.2,7
C11orf88,ENSG00000183644,Gene Expression,GRCh38,3,4.0,C11orf88,3
ACAP2,ENSG00000114331,Gene Expression,GRCh38,2277,3341.0,ACAP2,2277
ILF3,ENSG00000129351,Gene Expression,GRCh38,2355,3247.0,ILF3,2355
AC068389.4,ENSG00000255321,Gene Expression,GRCh38,9,9.0,AC068389.4,9
AC009242.1,ENSG00000283031,Gene Expression,GRCh38,12,12.0,AC009242.1,12
GREM1,ENSG00000166923,Gene Expression,GRCh38,60,62.0,GREM1,60
STX2,ENSG00000111450,Gene Expression,GRCh38,534,630.0,STX2,534
HEXIM1,ENSG00000186834,Gene Expression,GRCh38,2734,4796.0,HEXIM1,2734
GEMIN7,ENSG00000142252,Gene Expression,GRCh38,684,755.0,GEMIN7,684
ARHGAP26-AS1,ENSG00000226272,Gene Expression,GRCh38,3,3.0,ARHGAP26-AS1,3
