,Empty_droplet_sum,Cell_sum,Soup_probability
AL109811.1,3.0,7.0,0.3
AL109811.2,5.0,13.0,0.2777777777777778
MTOR,645.0,803.0,0.44544198895027626
ANGPTL7,1.0,0.0,1.0
UBIAD1,328.0,414.0,0.4420485175202156
LINC01647,1.0,0.0,1.0
AL031731.1,3.0,5.0,0.375
FBXO2,421.0,342.0,0.5517693315858454
FBXO44,65.0,156.0,0.29411764705882354
FBXO6,646.0,723.0,0.4718772826880935
MAD2L2,1291.0,1399.0,0.4799256505576208
DRAXIN,25.0,28.0,0.4716981132075472
AGTRAP,1944.0,3159.0,0.38095238095238093
C1orf167,23.0,24.0,0.48936170212765956
MTHFR,302.0,590.0,0.33856502242152464
CLCN6,339.0,542.0,0.3847900113507378
NPPA-AS1,7.0,28.0,0.2
NPPB,87.0,300.0,0.2248062015503876
KIAA2013,1683.0,2188.0,0.43477137690519246
PLOD1,5825.0,10593.0,0.3547935193080765
MFN2,1124.0,1191.0,0.48552915766738663
MIIP,1861.0,3164.0,0.37034825870646765
TNFRSF8,46.0,30.0,0.6052631578947368
TNFRSF1B,1077.0,1315.0,0.45025083612040134
VPS13D,610.0,904.0,0.40290620871862615
AC243836.1,1.0,0.0,1.0
DHRS3,1295.0,2207.0,0.3697886921758995
AC254633.1,10.0,18.0,0.35714285714285715
AADACL4,1.0,0.0,1.0
AADACL3,1289.0,1132.0,0.5324246179264767
C1orf158,185.0,218.0,0.45905707196029777
PRAMEF12,1.0,0.0,1.0
HNRNPCL3,2.0,0.0,1.0
HNRNPCL2,1.0,0.0,1.0
PRDM2,2066.0,2603.0,0.44249303919468835
KAZN,1448.0,1635.0,0.4696723970158936
TMEM51-AS1,4.0,26.0,0.13333333333333333
TMEM51,16.0,76.0,0.17391304347826086
FHAD1,7.0,3.0,0.7
AL031283.2,4.0,0.0,1.0
AL031283.3,1.0,0.0,1.0
AL031283.1,22.0,21.0,0.5116279069767442
EFHD2,10534.0,10391.0,0.5034169653524492
CTRC,0.0,5.0,0.0
CELA2A,3.0,0.0,1.0
CASP9,274.0,309.0,0.4699828473413379
DNAJC16,799.0,1458.0,0.3540097474523704
AGMAT,22.0,23.0,0.4888888888888889
AL121992.1,2.0,11.0,0.15384615384615385
DDI2,1909.0,2380.0,0.4450920960596876
PLEKHM2,1623.0,1760.0,0.4797516996748448
SLC25A34,60.0,86.0,0.410958904109589
SLC25A34-AS1,5.0,7.0,0.4166666666666667
TMEM82,10.0,10.0,0.5
FBLIM1,3462.0,3473.0,0.49920692141312184
UQCRHL,124.0,185.0,0.40129449838187703
AL450998.2,80.0,146.0,0.35398230088495575
SPEN,1695.0,2902.0,0.36871872960626495
ZBTB17,353.0,404.0,0.4663143989431968
SRARP,5.0,0.0,1.0
HSPB7,93.0,45.0,0.6739130434782609
CLCNKA,16.0,12.0,0.5714285714285714
CLCNKB,2.0,5.0,0.2857142857142857
FAM131C,1.0,0.0,1.0
EPHA2,263.0,412.0,0.3896296296296296
AL451042.2,3.0,9.0,0.25
AL451042.1,0.0,6.0,0.0
ARHGEF19,74.0,115.0,0.3915343915343915
CPLANE2,48.0,67.0,0.41739130434782606
FBXO42,685.0,1046.0,0.3957250144425188
SZRD1,4741.0,3355.0,0.5855978260869565
SPATA21,19.0,25.0,0.4318181818181818
NECAP2,2082.0,2324.0,0.4725374489332728
LINC01772,29.0,83.0,0.25892857142857145
AL137802.2,4.0,18.0,0.18181818181818182
LINC01783,9.0,15.0,0.375
NBPF1,562.0,729.0,0.43532145623547636
AL021920.1,1.0,0.0,1.0
CROCC,122.0,280.0,0.3034825870646766
BX284668.2,19.0,9.0,0.6785714285714286
BX284668.5,138.0,205.0,0.40233236151603496
BX284668.6,5.0,21.0,0.19230769230769232
MFAP2,10834.0,12819.0,0.4580391493679449
ATP13A2,3417.0,4708.0,0.42055384615384617
SDHB,1650.0,1777.0,0.48147067405894367
PADI2,98.0,76.0,0.5632183908045977
AL590644.1,14.0,15.0,0.4827586206896552
AL590644.3,1.0,0.0,1.0
PADI1,810.0,1088.0,0.4267650158061117
PADI3,3.0,5.0,0.375
PADI4,2.0,4.0,0.3333333333333333
AC004824.1,2.0,0.0,1.0
RCC2,2574.0,2170.0,0.5425801011804384
ARHGEF10L,162.0,84.0,0.6585365853658537
KLHDC7A,1.0,0.0,1.0
ALDH4A1,606.0,417.0,0.592375366568915
IFFO2,373.0,328.0,0.5320970042796006
UBR4,1864.0,3007.0,0.38267296243071236
AL035413.1,65.0,63.0,0.5078125
EMC1,2024.0,3257.0,0.38326074607081995
MRTO4,1020.0,1326.0,0.43478260869565216
AKR7A3,13.0,24.0,0.35135135135135137
AKR7A2,1477.0,2179.0,0.4039934354485777
PQLC2,381.0,494.0,0.43542857142857144
CAPZB,7567.0,7351.0,0.5072395763507173
MINOS1,4376.0,4154.0,0.5130128956623681
NBL1,8.0,10.0,0.4444444444444444
TMCO4,1580.0,1866.0,0.4585026117237377
OTUD3,406.0,623.0,0.3945578231292517
PLA2G2D,1.0,3.0,0.25
PLA2G2F,23.0,7.0,0.7666666666666667
Z98257.1,4.0,0.0,1.0
PLA2G2C,1.0,3.0,0.25
UBXN10-AS1,8.0,26.0,0.23529411764705882
UBXN10,28.0,46.0,0.3783783783783784
Z98257.2,1.0,0.0,1.0
LINC01141,1.0,0.0,1.0
CAMK2N1,1665.0,4697.0,0.2617101540396102
MUL1,798.0,902.0,0.46941176470588236
FAM43B,2.0,0.0,1.0
CDA,1583.0,643.0,0.711141060197664
PINK1,2497.0,1990.0,0.5564965455761087
PINK1-AS,39.0,45.0,0.4642857142857143
DDOST,8508.0,16213.0,0.34416083491768135
KIF17,66.0,43.0,0.6055045871559633
SH2D5,702.0,298.0,0.702
AL663074.1,4.0,0.0,1.0
HP1BP3,5140.0,5866.0,0.46701799018717066
EIF4G3,1401.0,1572.0,0.47124117053481335
ECE1,2232.0,4795.0,0.3176319908922727
AL031728.1,2.0,0.0,1.0
NBPF3,236.0,375.0,0.3862520458265139
ALPL,90.0,76.0,0.5421686746987951
RAP1GAP,1029.0,437.0,0.7019099590723056
USP48,2145.0,3424.0,0.38516789369725263
LDLRAD2,323.0,533.0,0.3773364485981308
HSPG2,18384.0,34734.0,0.3460973681237998
CELA3B,2.0,3.0,0.4
CELA3A,1.0,0.0,1.0
CDC42,20243.0,30363.0,0.40001185630162434
AL031281.2,2.0,5.0,0.2857142857142857
WNT4,69.0,166.0,0.2936170212765957
ZBTB40,333.0,517.0,0.39176470588235296
EPHA8,1.0,0.0,1.0
C1QB,1.0,0.0,1.0
EPHB2,578.0,575.0,0.5013009540329575
TEX46,0.0,3.0,0.0
KDM1A,2366.0,2871.0,0.4517853733053275
LUZP1,1828.0,2916.0,0.38532883642495785
HTR1D,12.0,16.0,0.42857142857142855
LINC01355,45.0,208.0,0.17786561264822134
AL109936.6,2.0,6.0,0.25
HNRNPR,5916.0,8163.0,0.4202002983166418
ZNF436,224.0,330.0,0.4043321299638989
ZNF436-AS1,212.0,221.0,0.4896073903002309
AL109936.2,4.0,10.0,0.2857142857142857
TCEA3,291.0,649.0,0.30957446808510636
ASAP3,3718.0,4044.0,0.4790002576655501
E2F2,33.0,23.0,0.5892857142857143
AL021154.1,3.0,0.0,1.0
ID3,21458.0,16384.0,0.5670419111040643
MDS2,13.0,22.0,0.37142857142857144
RPL11,97818.0,141523.0,0.4086972144346351
ELOA,1184.0,1336.0,0.46984126984126984
ELOA-AS1,118.0,207.0,0.3630769230769231
PITHD1,1354.0,1872.0,0.41971481711097336
LYPLA2,2904.0,2642.0,0.5236206274792643
GALE,1920.0,2869.0,0.40091877218626015
HMGCL,866.0,1108.0,0.4387031408308004
FUCA1,1658.0,2904.0,0.36343708899605437
CNR2,4.0,5.0,0.4444444444444444
PNRC2,3715.0,4525.0,0.4508495145631068
SRSF10,2889.0,4009.0,0.41881704841983186
AL591178.1,1.0,0.0,1.0
MYOM3,1.0,0.0,1.0
IL22RA1,0.0,3.0,0.0
IFNLR1,80.0,107.0,0.42780748663101603
GRHL3,25.0,35.0,0.4166666666666667
STPG1,296.0,306.0,0.49169435215946844
NIPAL3,752.0,1083.0,0.4098092643051771
RCAN3,913.0,1307.0,0.4112612612612613
AL445686.2,67.0,117.0,0.3641304347826087
NCMAP,110.0,97.0,0.5314009661835749
SRRM1,11643.0,13462.0,0.46377215694084845
CLIC4,10785.0,9084.0,0.5428053752076099
RUNX3,3.0,5.0,0.375
AL445471.2,2.0,0.0,1.0
AL050344.1,1.0,0.0,1.0
AL031432.1,6.0,15.0,0.2857142857142857
SYF2,6477.0,7317.0,0.4695519791213571
AL031432.5,4.0,5.0,0.4444444444444444
RSRP1,1226.0,2876.0,0.29887859580692344
AL031432.3,3.0,11.0,0.21428571428571427
RHD,3.0,5.0,0.375
TMEM50A,6416.0,9099.0,0.4135352884305511
RHCE,27.0,53.0,0.3375
MACO1,964.0,1373.0,0.4124946512623021
LDLRAP1,393.0,467.0,0.4569767441860465
AL606491.1,2.0,6.0,0.25
MAN1C1,2069.0,1304.0,0.6134005336495701
AL031280.1,35.0,117.0,0.23026315789473684
SELENON,1101.0,1229.0,0.47253218884120174
AL020996.1,40.0,46.0,0.46511627906976744
MTFR1L,1076.0,1237.0,0.4651967142239516
AUNIP,132.0,94.0,0.584070796460177
AL033528.2,4.0,7.0,0.36363636363636365
PAQR7,1380.0,1254.0,0.5239179954441914
STMN1,13664.0,14064.0,0.4927870744373918
PAFAH2,665.0,508.0,0.56692242114237
EXTL1,27.0,36.0,0.42857142857142855
SLC30A2,1854.0,1010.0,0.6473463687150838
TRIM63,7.0,12.0,0.3684210526315789
PDIK1L,129.0,116.0,0.5265306122448979
C1orf232,1.0,3.0,0.25
AL391650.1,14.0,17.0,0.45161290322580644
ZNF593,5112.0,5442.0,0.48436611711199545
CNKSR1,1025.0,1250.0,0.45054945054945056
CATSPER4,5.0,7.0,0.4166666666666667
CEP85,2039.0,1137.0,0.6420025188916877
SH3BGRL3,28591.0,32252.0,0.4699143697713788
UBXN11,930.0,1301.0,0.41685342895562527
CD52,47.0,47.0,0.5
CRYBG2,2579.0,1477.0,0.6358481262327417
ZNF683,1.0,0.0,1.0
LIN28A,4.0,4.0,0.5
DHDDS,734.0,883.0,0.45392702535559676
HMGN2,13554.0,13388.0,0.5030806918565808
RPS6KA1,1090.0,924.0,0.5412115193644489
AL512408.1,7.0,5.0,0.5833333333333334
ARID1A,2825.0,4220.0,0.40099361249112847
PIGV,258.0,434.0,0.37283236994219654
ZDHHC18,872.0,696.0,0.5561224489795918
SFN,1102.0,996.0,0.5252621544327931
GPN2,640.0,620.0,0.5079365079365079
GPATCH3,379.0,347.0,0.522038567493113
NUDC,4021.0,4144.0,0.49246785058175135
KDF1,615.0,833.0,0.42472375690607733
TRNP1,14.0,37.0,0.27450980392156865
TENT5B,127.0,203.0,0.38484848484848483
SLC9A1,2813.0,3994.0,0.41325106508006465
WDTC1,722.0,747.0,0.4914908100748809
TMEM222,805.0,1041.0,0.43607800650054174
SYTL1,877.0,1569.0,0.35854456255110384
MAP3K6,235.0,292.0,0.4459203036053131
CD164L2,1.0,4.0,0.2
GPR3,1.0,0.0,1.0
WASF2,4340.0,6637.0,0.39537214175093377
BX293535.1,2.0,20.0,0.09090909090909091
AHDC1,235.0,611.0,0.2777777777777778
LINC02574,29.0,43.0,0.4027777777777778
IFI6,134510.0,184091.0,0.4221895097629951
AL445490.1,1.0,0.0,1.0
FAM76A,443.0,1038.0,0.29912221471978395
STX12,2116.0,2387.0,0.4699089495891628
PPP1R8,846.0,734.0,0.5354430379746835
THEMIS2,24.0,24.0,0.5
RPA2,1005.0,1052.0,0.4885755955274672
SMPDL3B,28.0,21.0,0.5714285714285714
XKR8,225.0,402.0,0.3588516746411483
EYA3,498.0,665.0,0.4282029234737747
PTAFR,38.0,34.0,0.5277777777777778
DNAJC8,6950.0,6405.0,0.5204043429427181
ATP5IF1,10731.0,9841.0,0.5216313435737896
AL353622.1,35.0,87.0,0.28688524590163933
SESN2,1765.0,1998.0,0.4690406590486314
MED18,199.0,277.0,0.4180672268907563
PHACTR4,1898.0,3120.0,0.37823834196891193
RCC1,519.0,476.0,0.521608040201005
TRNAU1AP,857.0,1578.0,0.3519507186858316
SNHG12,1446.0,1961.0,0.4244203111241561
TAF12,872.0,1253.0,0.4103529411764706
RAB42,11.0,20.0,0.3548387096774194
LINC01715,3.0,12.0,0.2
AL360012.1,104.0,284.0,0.26804123711340205
GMEB1,675.0,629.0,0.5176380368098159
YTHDF2,2752.0,4047.0,0.4047654066774526
OPRD1,5.0,0.0,1.0
AL009181.1,1.0,0.0,1.0
EPB41,289.0,434.0,0.3997233748271093
TMEM200B,6.0,9.0,0.4
SRSF4,2264.0,4049.0,0.35862505940123557
MECR,607.0,917.0,0.39829396325459315
PTPRU,230.0,457.0,0.33478893740902477
MATN1,4.0,7.0,0.36363636363636365
MATN1-AS1,26.0,75.0,0.25742574257425743
LINC01778,5.0,0.0,1.0
AL445235.1,3.0,0.0,1.0
SDC3,1643.0,1734.0,0.48652650281314774
PUM1,3466.0,5390.0,0.39137308039747065
NKAIN1,14.0,12.0,0.5384615384615384
SNRNP40,980.0,1253.0,0.438871473354232
ZCCHC17,1974.0,2362.0,0.45525830258302585
AL451070.1,2.0,0.0,1.0
FABP3,7.0,21.0,0.25
SERINC2,11188.0,10664.0,0.5119897492220392
TINAGL1,2593.0,4770.0,0.3521662365883471
PEF1,1385.0,1383.0,0.5003612716763006
AC114488.2,3.0,5.0,0.375
AC114488.3,2.0,4.0,0.3333333333333333
COL16A1,82.0,166.0,0.33064516129032256
ADGRB2,221.0,358.0,0.38169257340241797
SPOCD1,20.0,39.0,0.3389830508474576
AL354919.1,2.0,0.0,1.0
AL136115.2,6.0,20.0,0.23076923076923078
PTP4A2,6995.0,6769.0,0.5082098227259517
AL136115.1,2.0,0.0,1.0
KHDRBS1,4514.0,6510.0,0.4094702467343977
AL445248.1,9.0,28.0,0.24324324324324326
TMEM39B,221.0,360.0,0.3803786574870912
KPNA6,2686.0,2728.0,0.49612116734392314
TXLNA,1496.0,1708.0,0.46691635455680397
CCDC28B,146.0,208.0,0.4124293785310734
AL049795.1,5.0,16.0,0.23809523809523808
IQCC,38.0,55.0,0.40860215053763443
TMEM234,280.0,587.0,0.3229527104959631
EIF3I,3644.0,3731.0,0.49410169491525424
FAM167B,7.0,30.0,0.1891891891891892
LCK,3.0,0.0,1.0
HDAC1,2491.0,2546.0,0.4945404010323605
MARCKSL1,301.0,392.0,0.43434343434343436
TSSK3,8.0,11.0,0.42105263157894735
FAM229A,72.0,128.0,0.36
BSDC1,1208.0,1316.0,0.4786053882725832
ZBTB8B,39.0,40.0,0.4936708860759494
ZBTB8A,79.0,141.0,0.35909090909090907
ZBTB8OS,1368.0,1502.0,0.47665505226480837
RBBP4,3888.0,5466.0,0.4156510583707505
SYNC,758.0,762.0,0.4986842105263158
AC114489.1,2.0,0.0,1.0
KIAA1522,740.0,903.0,0.45039561777236764
YARS,1376.0,1673.0,0.4512955067235159
S100PBP,694.0,906.0,0.43375
FNDC5,2.0,6.0,0.25
HPCA,4.0,5.0,0.4444444444444444
TMEM54,2358.0,2363.0,0.4994704511755984
RNF19B,420.0,590.0,0.4158415841584158
AL020995.1,3.0,3.0,0.5
AK2,2597.0,2686.0,0.4915767556312701
AZIN2,8.0,23.0,0.25806451612903225
TRIM62,299.0,144.0,0.6749435665914221
AL662907.3,1.0,6.0,0.14285714285714285
ZNF362,256.0,344.0,0.4266666666666667
AL513327.1,0.0,6.0,0.0
PHC2,1279.0,1422.0,0.47352832284339136
AL513327.2,3.0,4.0,0.42857142857142855
ZSCAN20,48.0,74.0,0.39344262295081966
CSMD2,14.0,7.0,0.6666666666666666
HMGB4,1.0,0.0,1.0
SMIM12,760.0,1166.0,0.39460020768431986
GJB5,20.0,24.0,0.45454545454545453
GJB4,10.0,23.0,0.30303030303030304
GJB3,18.0,34.0,0.34615384615384615
AL122010.1,1.0,0.0,1.0
DLGAP3,1.0,0.0,1.0
AC114490.3,10.0,56.0,0.15151515151515152
AC114490.2,4.0,10.0,0.2857142857142857
TMEM35B,8.0,9.0,0.47058823529411764
ZMYM6,233.0,288.0,0.4472168905950096
ZMYM1,314.0,487.0,0.3920099875156055
AL590434.1,2.0,5.0,0.2857142857142857
SFPQ,7667.0,9176.0,0.4552039422905658
ZMYM4,1262.0,1736.0,0.4209472981987992
ZMYM4-AS1,7.0,13.0,0.35
KIAA0319L,1716.0,2691.0,0.3893805309734513
NCDN,357.0,344.0,0.5092724679029957
AC004865.2,25.0,20.0,0.5555555555555556
TFAP2E,5.0,5.0,0.5
PSMB2,4950.0,5745.0,0.4628330995792426
C1orf216,63.0,56.0,0.5294117647058824
CLSPN,118.0,151.0,0.43866171003717475
AGO4,719.0,1053.0,0.4057562076749436
AGO1,315.0,409.0,0.4350828729281768
AL139286.2,0.0,4.0,0.0
AGO3,739.0,1508.0,0.32888295505117937
AL138787.2,2.0,0.0,1.0
TEKT2,8.0,6.0,0.5714285714285714
ADPRHL2,897.0,1531.0,0.3694398682042834
COL8A2,1.0,4.0,0.2
TRAPPC3,3227.0,3979.0,0.4478212600610602
MAP7D1,4008.0,3572.0,0.5287598944591029
THRAP3,3758.0,5256.0,0.4169070335034391
SH3D21,457.0,400.0,0.5332555425904317
EVA1B,17469.0,16505.0,0.5141873197150763
AL591845.1,307.0,334.0,0.4789391575663027
STK40,1964.0,1217.0,0.6174159069475008
LSM10,1273.0,1564.0,0.4487134296792386
OSCP1,281.0,262.0,0.5174953959484346
MRPS15,4180.0,4961.0,0.457280385078219
CSF3R,4041.0,5069.0,0.44357848518111964
AL596257.1,1.0,0.0,1.0
LINC01137,142.0,106.0,0.5725806451612904
ZC3H12A,1812.0,866.0,0.6766243465272591
MEAF6,1884.0,2197.0,0.46165155599117863
SNIP1,812.0,1045.0,0.43726440495422725
DNALI1,74.0,178.0,0.29365079365079366
GNL2,1116.0,1192.0,0.48353552859618715
RSPO1,5.0,5.0,0.5
C1orf109,473.0,554.0,0.4605647517039922
CDCA8,115.0,122.0,0.48523206751054854
EPHA10,1.0,3.0,0.25
MANEAL,113.0,112.0,0.5022222222222222
AL929472.3,1.0,0.0,1.0
YRDC,1199.0,1267.0,0.4862124898621249
C1orf122,3551.0,4083.0,0.46515588158239457
MTF1,839.0,1070.0,0.4394971189104243
AL929472.2,27.0,26.0,0.5094339622641509
INPP5B,923.0,1112.0,0.4535626535626536
SF3A3,1513.0,1605.0,0.48524695317511224
FHL3,639.0,765.0,0.4551282051282051
UTP11,1353.0,1345.0,0.5014825796886583
POU3F1,13.0,30.0,0.3023255813953488
LINC01343,1.0,0.0,1.0
RRAGC,1986.0,3244.0,0.37973231357552584
AL139260.1,61.0,113.0,0.3505747126436782
MYCBP,1377.0,1560.0,0.46884576098059244
AL139260.3,0.0,15.0,0.0
RHBDL2,8.0,23.0,0.25806451612903225
AKIRIN1,4520.0,5184.0,0.46578730420445175
NDUFS5,17689.0,15030.0,0.5406338824536202
MACF1,3909.0,10909.0,0.26380078283169117
AL442071.1,1.0,3.0,0.25
PABPC4,2990.0,3366.0,0.4704216488357458
AL365277.1,1.0,0.0,1.0
HEYL,4.0,3.0,0.5714285714285714
PPIE,1052.0,1435.0,0.42299959790912744
BMP8B,1.0,3.0,0.25
OXCT2,3.0,7.0,0.3
AL033527.5,4.0,7.0,0.36363636363636365
