,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
AC084125.4,ENSG00000265393,Gene Expression,GRCh38,1.0,AC084125.4,1
ANXA13,ENSG00000104537,Gene Expression,GRCh38,2.0,ANXA13,2
TMEM267,ENSG00000151881,Gene Expression,GRCh38,311.0,TMEM267,304
AL139412.1,ENSG00000236947,Gene Expression,GRCh38,1.0,AL139412.1,1
NOTCH1,ENSG00000148400,Gene Expression,GRCh38,68.0,NOTCH1,65
SYAP1,ENSG00000169895,Gene Expression,GRCh38,2561.0,SYAP1,2425
PGAM2,ENSG00000164708,Gene Expression,GRCh38,1.0,PGAM2,1
AC006449.6,ENSG00000277969,Gene Expression,GRCh38,95.0,AC006449.6,94
AKTIP,ENSG00000166971,Gene Expression,GRCh38,1080.0,AKTIP,1058
AC027682.4,ENSG00000261386,Gene Expression,GRCh38,1.0,AC027682.4,1
RELA,ENSG00000173039,Gene Expression,GRCh38,1490.0,RELA,1451
XPO7,ENSG00000130227,Gene Expression,GRCh38,818.0,XPO7,802
AC117373.1,ENSG00000256137,Gene Expression,GRCh38,1.0,AC117373.1,1
JPT2,ENSG00000206053,Gene Expression,GRCh38,6999.0,JPT2,6463
LRRC32,ENSG00000137507,Gene Expression,GRCh38,1726.0,LRRC32,1672
HEMGN,ENSG00000136929,Gene Expression,GRCh38,1.0,HEMGN,1
AK4,ENSG00000162433,Gene Expression,GRCh38,980.0,AK4,955
CALHM2,ENSG00000138172,Gene Expression,GRCh38,1352.0,CALHM2,1319
PDE6H,ENSG00000139053,Gene Expression,GRCh38,11489.0,PDE6H,9973
PDE1C,ENSG00000154678,Gene Expression,GRCh38,2.0,PDE1C,2
ARHGEF9,ENSG00000131089,Gene Expression,GRCh38,14.0,ARHGEF9,14
PCNX3,ENSG00000197136,Gene Expression,GRCh38,1013.0,PCNX3,987
TGFBR3L,ENSG00000260001,Gene Expression,GRCh38,248.0,TGFBR3L,241
FAM118A,ENSG00000100376,Gene Expression,GRCh38,223.0,FAM118A,217
ST3GAL3,ENSG00000126091,Gene Expression,GRCh38,110.0,ST3GAL3,109
CKMT2,ENSG00000131730,Gene Expression,GRCh38,5.0,CKMT2,5
AC019118.2,ENSG00000236760,Gene Expression,GRCh38,1.0,AC019118.2,1
STXBP1,ENSG00000136854,Gene Expression,GRCh38,749.0,STXBP1,728
MATN1-AS1,ENSG00000186056,Gene Expression,GRCh38,26.0,MATN1-AS1,25
CLN3,ENSG00000188603,Gene Expression,GRCh38,80.0,CLN3,79
MAX,ENSG00000125952,Gene Expression,GRCh38,1581.0,MAX,1516
NUP205,ENSG00000155561,Gene Expression,GRCh38,438.0,NUP205,428
EEF2KMT,ENSG00000118894,Gene Expression,GRCh38,264.0,EEF2KMT,257
SELENOW,ENSG00000178980,Gene Expression,GRCh38,18301.0,SELENOW,14932
MED27,ENSG00000160563,Gene Expression,GRCh38,515.0,MED27,505
ALKBH5,ENSG00000091542,Gene Expression,GRCh38,1629.0,ALKBH5,1567
BX649601.1,ENSG00000273473,Gene Expression,GRCh38,0.0,BX649601.1,0
AP5M1,ENSG00000053770,Gene Expression,GRCh38,503.0,AP5M1,495
KIF18B,ENSG00000186185,Gene Expression,GRCh38,9.0,KIF18B,9
CXorf67,ENSG00000187690,Gene Expression,GRCh38,262.0,CXorf67,260
ARHGAP31-AS1,ENSG00000241155,Gene Expression,GRCh38,2.0,ARHGAP31-AS1,2
MAPK8,ENSG00000107643,Gene Expression,GRCh38,450.0,MAPK8,440
PLCD1,ENSG00000187091,Gene Expression,GRCh38,307.0,PLCD1,298
SGK2,ENSG00000101049,Gene Expression,GRCh38,194.0,SGK2,191
TBC1D30,ENSG00000111490,Gene Expression,GRCh38,53.0,TBC1D30,50
AC004908.3,ENSG00000273402,Gene Expression,GRCh38,3.0,AC004908.3,3
KIF3A,ENSG00000131437,Gene Expression,GRCh38,962.0,KIF3A,922
AP001180.1,ENSG00000260779,Gene Expression,GRCh38,1.0,AP001180.1,1
ANKRD66,ENSG00000230062,Gene Expression,GRCh38,6.0,ANKRD66,6
IFT22,ENSG00000128581,Gene Expression,GRCh38,281.0,IFT22,273
ATP2B3,ENSG00000067842,Gene Expression,GRCh38,422.0,ATP2B3,413
NAT2,ENSG00000156006,Gene Expression,GRCh38,14.0,NAT2,12
SLC25A52,ENSG00000141437,Gene Expression,GRCh38,1.0,SLC25A52,1
SPEG,ENSG00000072195,Gene Expression,GRCh38,25.0,SPEG,25
CDK18,ENSG00000117266,Gene Expression,GRCh38,50.0,CDK18,49
ERVV-1,ENSG00000269526,Gene Expression,GRCh38,667.0,ERVV-1,658
EDA2R,ENSG00000131080,Gene Expression,GRCh38,144.0,EDA2R,139
AHSA1,ENSG00000100591,Gene Expression,GRCh38,1519.0,AHSA1,1476
AC007952.5,ENSG00000262292,Gene Expression,GRCh38,1.0,AC007952.5,1
BX649632.1,ENSG00000273249,Gene Expression,GRCh38,3.0,BX649632.1,3
ADAD2,ENSG00000140955,Gene Expression,GRCh38,5.0,ADAD2,5
BOLA3,ENSG00000163170,Gene Expression,GRCh38,4488.0,BOLA3,3993
SUV39H1,ENSG00000101945,Gene Expression,GRCh38,391.0,SUV39H1,385
FGF8,ENSG00000107831,Gene Expression,GRCh38,2.0,FGF8,2
AC108134.1,ENSG00000205890,Gene Expression,GRCh38,1.0,AC108134.1,1
CIP2A,ENSG00000163507,Gene Expression,GRCh38,108.0,CIP2A,105
TPM4,ENSG00000167460,Gene Expression,GRCh38,22251.0,TPM4,17915
SYNE4,ENSG00000181392,Gene Expression,GRCh38,584.0,SYNE4,571
EVA1A,ENSG00000115363,Gene Expression,GRCh38,883.0,EVA1A,864
PDE6A,ENSG00000132915,Gene Expression,GRCh38,58.0,PDE6A,58
BMP3,ENSG00000152785,Gene Expression,GRCh38,1.0,BMP3,1
SLC26A1,ENSG00000145217,Gene Expression,GRCh38,12.0,SLC26A1,12
ZNF616,ENSG00000204611,Gene Expression,GRCh38,109.0,ZNF616,106
ARPIN,ENSG00000242498,Gene Expression,GRCh38,407.0,ARPIN,402
TTC29,ENSG00000137473,Gene Expression,GRCh38,2.0,TTC29,2
U91328.3,ENSG00000272810,Gene Expression,GRCh38,0.0,U91328.3,0
CCNT1,ENSG00000129315,Gene Expression,GRCh38,1304.0,CCNT1,1254
SLITRK5,ENSG00000165300,Gene Expression,GRCh38,10.0,SLITRK5,10
DNAAF2,ENSG00000165506,Gene Expression,GRCh38,329.0,DNAAF2,324
ZNF197,ENSG00000186448,Gene Expression,GRCh38,8.0,ZNF197,8
AC093525.4,ENSG00000261140,Gene Expression,GRCh38,40.0,AC093525.4,38
AL139022.2,ENSG00000272158,Gene Expression,GRCh38,3.0,AL139022.2,3
SLC7A14,ENSG00000013293,Gene Expression,GRCh38,9.0,SLC7A14,9
BAALC-AS2,ENSG00000236939,Gene Expression,GRCh38,1.0,BAALC-AS2,1
LINC01778,ENSG00000223382,Gene Expression,GRCh38,5.0,LINC01778,4
AL355073.1,ENSG00000259483,Gene Expression,GRCh38,1.0,AL355073.1,1
AC242988.1,ENSG00000276110,Gene Expression,GRCh38,4.0,AC242988.1,3
LRP10,ENSG00000197324,Gene Expression,GRCh38,5361.0,LRP10,5023
CCDC57,ENSG00000176155,Gene Expression,GRCh38,752.0,CCDC57,729
TIMM8B,ENSG00000150779,Gene Expression,GRCh38,4393.0,TIMM8B,4014
RPS6KA6,ENSG00000072133,Gene Expression,GRCh38,186.0,RPS6KA6,180
NIM1K,ENSG00000177453,Gene Expression,GRCh38,73.0,NIM1K,73
TREX2,ENSG00000183479,Gene Expression,GRCh38,4.0,TREX2,4
NINJ1,ENSG00000131669,Gene Expression,GRCh38,986.0,NINJ1,968
CFAP126,ENSG00000188931,Gene Expression,GRCh38,1.0,CFAP126,1
ART4,ENSG00000111339,Gene Expression,GRCh38,66.0,ART4,65
NUDT7,ENSG00000140876,Gene Expression,GRCh38,93.0,NUDT7,91
SFTPD-AS1,ENSG00000273372,Gene Expression,GRCh38,5.0,SFTPD-AS1,5
KRTCAP3,ENSG00000157992,Gene Expression,GRCh38,264.0,KRTCAP3,259
AC012254.3,ENSG00000267724,Gene Expression,GRCh38,0.0,AC012254.3,0
CCR3,ENSG00000183625,Gene Expression,GRCh38,10.0,CCR3,10
AC090985.1,ENSG00000259170,Gene Expression,GRCh38,1.0,AC090985.1,1
HNF1A,ENSG00000135100,Gene Expression,GRCh38,8.0,HNF1A,7
HLA-DMA,ENSG00000204257,Gene Expression,GRCh38,74.0,HLA-DMA,73
AL353572.3,ENSG00000283205,Gene Expression,GRCh38,1.0,AL353572.3,1
SLC30A9,ENSG00000014824,Gene Expression,GRCh38,1092.0,SLC30A9,1070
ARID3B,ENSG00000179361,Gene Expression,GRCh38,1960.0,ARID3B,1865
SIAH2,ENSG00000181788,Gene Expression,GRCh38,1600.0,SIAH2,1542
AC010359.1,ENSG00000269961,Gene Expression,GRCh38,4.0,AC010359.1,4
SGSM3,ENSG00000100359,Gene Expression,GRCh38,250.0,SGSM3,248
KANTR,ENSG00000232593,Gene Expression,GRCh38,145.0,KANTR,143
AC008957.1,ENSG00000250155,Gene Expression,GRCh38,1.0,AC008957.1,1
AC026979.3,ENSG00000272375,Gene Expression,GRCh38,17.0,AC026979.3,16
TET3,ENSG00000187605,Gene Expression,GRCh38,4290.0,TET3,4051
COLCA1,ENSG00000196167,Gene Expression,GRCh38,5.0,COLCA1,5
DTNA,ENSG00000134769,Gene Expression,GRCh38,3.0,DTNA,3
AC020909.3,ENSG00000268854,Gene Expression,GRCh38,24.0,AC020909.3,24
AC008014.1,ENSG00000257261,Gene Expression,GRCh38,122.0,AC008014.1,120
CTNNA3,ENSG00000183230,Gene Expression,GRCh38,1.0,CTNNA3,1
AC083841.1,ENSG00000253196,Gene Expression,GRCh38,3.0,AC083841.1,3
IARS,ENSG00000196305,Gene Expression,GRCh38,1286.0,IARS,1251
WDR5B,ENSG00000196981,Gene Expression,GRCh38,59.0,WDR5B,58
AC012640.4,ENSG00000271980,Gene Expression,GRCh38,12.0,AC012640.4,12
CNTNAP2,ENSG00000174469,Gene Expression,GRCh38,53.0,CNTNAP2,48
MEF2A,ENSG00000068305,Gene Expression,GRCh38,426.0,MEF2A,411
AC105460.2,ENSG00000251577,Gene Expression,GRCh38,1.0,AC105460.2,1
GSTA1,ENSG00000243955,Gene Expression,GRCh38,5.0,GSTA1,5
MIOS,ENSG00000164654,Gene Expression,GRCh38,349.0,MIOS,335
PAGE4,ENSG00000101951,Gene Expression,GRCh38,12178.0,PAGE4,10262
JCAD,ENSG00000165757,Gene Expression,GRCh38,872.0,JCAD,849
SLFN11,ENSG00000172716,Gene Expression,GRCh38,17.0,SLFN11,16
AC073896.2,ENSG00000257303,Gene Expression,GRCh38,26.0,AC073896.2,26
DPY30,ENSG00000162961,Gene Expression,GRCh38,3996.0,DPY30,3689
SLC52A2,ENSG00000185803,Gene Expression,GRCh38,1864.0,SLC52A2,1809
RIT1,ENSG00000143622,Gene Expression,GRCh38,886.0,RIT1,864
LINC01647,ENSG00000235643,Gene Expression,GRCh38,1.0,LINC01647,1
CEP250,ENSG00000126001,Gene Expression,GRCh38,185.0,CEP250,181
PDLIM2,ENSG00000120913,Gene Expression,GRCh38,4870.0,PDLIM2,4569
DLST,ENSG00000119689,Gene Expression,GRCh38,927.0,DLST,912
FICD,ENSG00000198855,Gene Expression,GRCh38,373.0,FICD,356
AC005324.1,ENSG00000233002,Gene Expression,GRCh38,5.0,AC005324.1,5
NACAD,ENSG00000136274,Gene Expression,GRCh38,16.0,NACAD,16
AC145207.2,ENSG00000262413,Gene Expression,GRCh38,68.0,AC145207.2,68
ETV3,ENSG00000117036,Gene Expression,GRCh38,2914.0,ETV3,2781
MAP1S,ENSG00000130479,Gene Expression,GRCh38,1000.0,MAP1S,968
CENPN,ENSG00000166451,Gene Expression,GRCh38,223.0,CENPN,218
ATP6V1C2,ENSG00000143882,Gene Expression,GRCh38,1021.0,ATP6V1C2,961
PARP4,ENSG00000102699,Gene Expression,GRCh38,1405.0,PARP4,1356
PTPN11,ENSG00000179295,Gene Expression,GRCh38,2711.0,PTPN11,2563
STYX,ENSG00000198252,Gene Expression,GRCh38,1212.0,STYX,1180
GBE1,ENSG00000114480,Gene Expression,GRCh38,1418.0,GBE1,1381
DDX41,ENSG00000183258,Gene Expression,GRCh38,1079.0,DDX41,1043
ZNF24,ENSG00000172466,Gene Expression,GRCh38,1616.0,ZNF24,1574
ZBTB39,ENSG00000166860,Gene Expression,GRCh38,107.0,ZBTB39,105
NAA25,ENSG00000111300,Gene Expression,GRCh38,685.0,NAA25,674
PAK4,ENSG00000130669,Gene Expression,GRCh38,325.0,PAK4,320
CD160,ENSG00000117281,Gene Expression,GRCh38,6.0,CD160,6
LINC02577,ENSG00000228742,Gene Expression,GRCh38,16.0,LINC02577,16
TSPAN12,ENSG00000106025,Gene Expression,GRCh38,774.0,TSPAN12,750
SMOC2,ENSG00000112562,Gene Expression,GRCh38,145.0,SMOC2,138
PCDHB2,ENSG00000112852,Gene Expression,GRCh38,2.0,PCDHB2,2
GLIPR2,ENSG00000122694,Gene Expression,GRCh38,119.0,GLIPR2,116
TF,ENSG00000091513,Gene Expression,GRCh38,22.0,TF,22
ACP7,ENSG00000183760,Gene Expression,GRCh38,3.0,ACP7,3
LRRC24,ENSG00000254402,Gene Expression,GRCh38,49.0,LRRC24,49
CERS4,ENSG00000090661,Gene Expression,GRCh38,105.0,CERS4,105
MX2,ENSG00000183486,Gene Expression,GRCh38,460.0,MX2,446
TCF7L1,ENSG00000152284,Gene Expression,GRCh38,1415.0,TCF7L1,1346
MUC20,ENSG00000176945,Gene Expression,GRCh38,16.0,MUC20,16
PEX11A,ENSG00000166821,Gene Expression,GRCh38,111.0,PEX11A,108
LHFPL3,ENSG00000187416,Gene Expression,GRCh38,1.0,LHFPL3,1
C7orf31,ENSG00000153790,Gene Expression,GRCh38,112.0,C7orf31,109
B3GALT1,ENSG00000172318,Gene Expression,GRCh38,1.0,B3GALT1,1
AC010336.6,ENSG00000269813,Gene Expression,GRCh38,2.0,AC010336.6,2
ST3GAL5,ENSG00000115525,Gene Expression,GRCh38,124.0,ST3GAL5,115
RAB12,ENSG00000206418,Gene Expression,GRCh38,855.0,RAB12,835
SHC2,ENSG00000129946,Gene Expression,GRCh38,4.0,SHC2,3
R3HDM4,ENSG00000198858,Gene Expression,GRCh38,2798.0,R3HDM4,2671
EIF3A,ENSG00000107581,Gene Expression,GRCh38,10657.0,EIF3A,9341
AL049780.1,ENSG00000258646,Gene Expression,GRCh38,28.0,AL049780.1,28
AL391421.1,ENSG00000204049,Gene Expression,GRCh38,4.0,AL391421.1,4
AL022323.1,ENSG00000203280,Gene Expression,GRCh38,1.0,AL022323.1,1
AC007496.2,ENSG00000261630,Gene Expression,GRCh38,1.0,AC007496.2,1
GPAT3,ENSG00000138678,Gene Expression,GRCh38,164.0,GPAT3,163
AC037459.3,ENSG00000253200,Gene Expression,GRCh38,31.0,AC037459.3,31
AC092587.1,ENSG00000273155,Gene Expression,GRCh38,3.0,AC092587.1,3
GCLC,ENSG00000001084,Gene Expression,GRCh38,599.0,GCLC,584
LINC01569,ENSG00000262468,Gene Expression,GRCh38,35.0,LINC01569,35
IGFBP3,ENSG00000146674,Gene Expression,GRCh38,6037.0,IGFBP3,5462
VAX1,ENSG00000148704,Gene Expression,GRCh38,1.0,VAX1,1
LINC00487,ENSG00000205837,Gene Expression,GRCh38,1.0,LINC00487,1
AC004771.4,ENSG00000262429,Gene Expression,GRCh38,24.0,AC004771.4,23
WDR73,ENSG00000177082,Gene Expression,GRCh38,421.0,WDR73,415
CGGBP1,ENSG00000163320,Gene Expression,GRCh38,1761.0,CGGBP1,1684
B4GALT4,ENSG00000121578,Gene Expression,GRCh38,3142.0,B4GALT4,2959
ZNF689,ENSG00000156853,Gene Expression,GRCh38,71.0,ZNF689,71
DDX43,ENSG00000080007,Gene Expression,GRCh38,387.0,DDX43,376
FBXO9,ENSG00000112146,Gene Expression,GRCh38,3066.0,FBXO9,2896
MAIP1,ENSG00000162972,Gene Expression,GRCh38,324.0,MAIP1,321
ABI2,ENSG00000138443,Gene Expression,GRCh38,882.0,ABI2,867
