,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
CHUK,ENSG00000213341,Gene Expression,GRCh38,450,480.0,CHUK,450
AL078644.2,ENSG00000273004,Gene Expression,GRCh38,28,28.0,AL078644.2,28
GLRX,ENSG00000173221,Gene Expression,GRCh38,2836,6432.0,GLRX,2836
AHCYL2,ENSG00000158467,Gene Expression,GRCh38,434,477.0,AHCYL2,434
NBPF14,ENSG00000270629,Gene Expression,GRCh38,573,660.0,NBPF14,573
PSG3,ENSG00000221826,Gene Expression,GRCh38,6105,20622.0,PSG3,6105
AL645940.1,ENSG00000272217,Gene Expression,GRCh38,34,34.0,AL645940.1,34
USP27X-AS1,ENSG00000234390,Gene Expression,GRCh38,51,54.0,USP27X-AS1,51
ARHGAP30,ENSG00000186517,Gene Expression,GRCh38,148,156.0,ARHGAP30,148
C12orf56,ENSG00000185306,Gene Expression,GRCh38,222,232.0,C12orf56,222
FANCE,ENSG00000112039,Gene Expression,GRCh38,1297,1620.0,FANCE,1297
LINC002481,ENSG00000246526,Gene Expression,GRCh38,75,77.0,LINC002481,75
GINS3,ENSG00000181938,Gene Expression,GRCh38,76,78.0,GINS3,76
ZNF568,ENSG00000198453,Gene Expression,GRCh38,236,246.0,ZNF568,236
AC005332.4,ENSG00000274561,Gene Expression,GRCh38,97,102.0,AC005332.4,97
WDR61,ENSG00000140395,Gene Expression,GRCh38,1206,1481.0,WDR61,1206
AC092803.1,ENSG00000224535,Gene Expression,GRCh38,14,16.0,AC092803.1,14
WTAP,ENSG00000146457,Gene Expression,GRCh38,2791,4622.0,WTAP,2791
AL591163.1,ENSG00000284744,Gene Expression,GRCh38,8,8.0,AL591163.1,8
C11orf45,ENSG00000174370,Gene Expression,GRCh38,74,75.0,C11orf45,74
SGPP1,ENSG00000126821,Gene Expression,GRCh38,1668,2192.0,SGPP1,1668
AATF,ENSG00000275700,Gene Expression,GRCh38,1169,1359.0,AATF,1169
AC009802.1,ENSG00000283667,Gene Expression,GRCh38,22,23.0,AC009802.1,22
LINC00656,ENSG00000233746,Gene Expression,GRCh38,16,16.0,LINC00656,16
BX890604.1,ENSG00000205664,Gene Expression,GRCh38,120,126.0,BX890604.1,120
GPR179,ENSG00000277399,Gene Expression,GRCh38,6,6.0,GPR179,6
AC008840.1,ENSG00000250240,Gene Expression,GRCh38,41,42.0,AC008840.1,41
CDK2AP2,ENSG00000167797,Gene Expression,GRCh38,1761,2509.0,CDK2AP2,1761
C4orf19,ENSG00000154274,Gene Expression,GRCh38,1218,1528.0,C4orf19,1218
AC036108.2,ENSG00000261054,Gene Expression,GRCh38,4,4.0,AC036108.2,4
AC093904.3,ENSG00000244310,Gene Expression,GRCh38,61,84.0,AC093904.3,61
AC026191.1,ENSG00000254485,Gene Expression,GRCh38,8,8.0,AC026191.1,8
SPIN2B,ENSG00000186787,Gene Expression,GRCh38,103,106.0,SPIN2B,103
RUFY1,ENSG00000176783,Gene Expression,GRCh38,683,770.0,RUFY1,683
NKX3-1,ENSG00000167034,Gene Expression,GRCh38,314,363.0,NKX3-1,314
HIGD1A,ENSG00000181061,Gene Expression,GRCh38,1776,2908.0,HIGD1A,1776
FBXL12,ENSG00000127452,Gene Expression,GRCh38,794,909.0,FBXL12,794
MED1,ENSG00000125686,Gene Expression,GRCh38,1015,1210.0,MED1,1015
NCOA5,ENSG00000124160,Gene Expression,GRCh38,567,608.0,NCOA5,567
ATF2,ENSG00000115966,Gene Expression,GRCh38,1302,1602.0,ATF2,1302
FAM89A,ENSG00000182118,Gene Expression,GRCh38,2672,5484.0,FAM89A,2672
PRDM16,ENSG00000142611,Gene Expression,GRCh38,118,136.0,PRDM16,118
TMEM74,ENSG00000164841,Gene Expression,GRCh38,15,15.0,TMEM74,15
GAS1,ENSG00000180447,Gene Expression,GRCh38,136,150.0,GAS1,136
LRP1,ENSG00000123384,Gene Expression,GRCh38,3980,10244.0,LRP1,3980
MCRIP2,ENSG00000172366,Gene Expression,GRCh38,670,814.0,MCRIP2,670
AC100861.2,ENSG00000250714,Gene Expression,GRCh38,14,15.0,AC100861.2,14
COX15,ENSG00000014919,Gene Expression,GRCh38,923,1077.0,COX15,923
METAP2,ENSG00000111142,Gene Expression,GRCh38,4300,8433.0,METAP2,4300
SNN,ENSG00000184602,Gene Expression,GRCh38,149,152.0,SNN,149
CNDP2,ENSG00000133313,Gene Expression,GRCh38,2237,3550.0,CNDP2,2237
ZSWIM1,ENSG00000168612,Gene Expression,GRCh38,79,83.0,ZSWIM1,79
LINC01716,ENSG00000225657,Gene Expression,GRCh38,5,5.0,LINC01716,5
AC012358.1,ENSG00000203327,Gene Expression,GRCh38,6,6.0,AC012358.1,6
TAF5,ENSG00000148835,Gene Expression,GRCh38,240,249.0,TAF5,240
ITFG2,ENSG00000111203,Gene Expression,GRCh38,445,481.0,ITFG2,445
MED28,ENSG00000118579,Gene Expression,GRCh38,1803,2332.0,MED28,1803
TGFBR3,ENSG00000069702,Gene Expression,GRCh38,3074,7544.0,TGFBR3,3074
AC092611.2,ENSG00000251603,Gene Expression,GRCh38,42,42.0,AC092611.2,42
EN2,ENSG00000164778,Gene Expression,GRCh38,4,4.0,EN2,4
AC245008.1,ENSG00000273406,Gene Expression,GRCh38,3,3.0,AC245008.1,3
RNF187,ENSG00000168159,Gene Expression,GRCh38,1809,2360.0,RNF187,1809
AMOT,ENSG00000126016,Gene Expression,GRCh38,938,1255.0,AMOT,938
GNL1,ENSG00000204590,Gene Expression,GRCh38,1498,1902.0,GNL1,1498
MCPH1,ENSG00000147316,Gene Expression,GRCh38,777,870.0,MCPH1,777
ZBTB49,ENSG00000168826,Gene Expression,GRCh38,184,191.0,ZBTB49,184
SDHAF4,ENSG00000154079,Gene Expression,GRCh38,309,333.0,SDHAF4,309
ELOVL1,ENSG00000066322,Gene Expression,GRCh38,2337,3709.0,ELOVL1,2337
AC002550.1,ENSG00000261312,Gene Expression,GRCh38,20,20.0,AC002550.1,20
NUDT16,ENSG00000198585,Gene Expression,GRCh38,744,875.0,NUDT16,744
HYI,ENSG00000178922,Gene Expression,GRCh38,1925,2938.0,HYI,1925
AC097478.3,ENSG00000276542,Gene Expression,GRCh38,5,5.0,AC097478.3,5
MAP3K2,ENSG00000169967,Gene Expression,GRCh38,1615,1999.0,MAP3K2,1615
NEU1,ENSG00000204386,Gene Expression,GRCh38,2674,4598.0,NEU1,2674
NHS,ENSG00000188158,Gene Expression,GRCh38,1100,1382.0,NHS,1100
C8orf76,ENSG00000189376,Gene Expression,GRCh38,725,797.0,C8orf76,725
NEBL,ENSG00000078114,Gene Expression,GRCh38,1437,1902.0,NEBL,1437
ZNF22,ENSG00000165512,Gene Expression,GRCh38,1169,1520.0,ZNF22,1169
PPM1D,ENSG00000170836,Gene Expression,GRCh38,347,387.0,PPM1D,347
TDG,ENSG00000139372,Gene Expression,GRCh38,2909,4958.0,TDG,2909
ARHGAP27,ENSG00000159314,Gene Expression,GRCh38,1432,1754.0,ARHGAP27,1432
AC080013.6,ENSG00000272440,Gene Expression,GRCh38,7,7.0,AC080013.6,7
SLC25A11,ENSG00000108528,Gene Expression,GRCh38,1651,2207.0,SLC25A11,1651
MARCH2,ENSG00000099785,Gene Expression,GRCh38,589,652.0,MARCH2,589
PDCL,ENSG00000136940,Gene Expression,GRCh38,1174,1381.0,PDCL,1174
SYBU,ENSG00000147642,Gene Expression,GRCh38,110,126.0,SYBU,110
AC022762.2,ENSG00000267940,Gene Expression,GRCh38,3,3.0,AC022762.2,3
AFAP1L1,ENSG00000157510,Gene Expression,GRCh38,1215,1493.0,AFAP1L1,1215
TMEM123,ENSG00000152558,Gene Expression,GRCh38,1693,2160.0,TMEM123,1693
CLCN7,ENSG00000103249,Gene Expression,GRCh38,866,996.0,CLCN7,866
USP5,ENSG00000111667,Gene Expression,GRCh38,815,936.0,USP5,815
RPL3L,ENSG00000140986,Gene Expression,GRCh38,4,5.0,RPL3L,4
BCL7A,ENSG00000110987,Gene Expression,GRCh38,39,41.0,BCL7A,39
GCOM1,ENSG00000137878,Gene Expression,GRCh38,23,24.0,GCOM1,23
NFU1,ENSG00000169599,Gene Expression,GRCh38,813,939.0,NFU1,813
PITPNM1,ENSG00000110697,Gene Expression,GRCh38,643,746.0,PITPNM1,643
DDR2,ENSG00000162733,Gene Expression,GRCh38,25,27.0,DDR2,25
NBEA,ENSG00000172915,Gene Expression,GRCh38,5,6.0,NBEA,5
LRRC40,ENSG00000066557,Gene Expression,GRCh38,645,696.0,LRRC40,645
TENM3,ENSG00000218336,Gene Expression,GRCh38,3184,6951.0,TENM3,3184
AL355312.4,ENSG00000273132,Gene Expression,GRCh38,54,65.0,AL355312.4,54
TH,ENSG00000180176,Gene Expression,GRCh38,1209,2034.0,TH,1209
HEATR4,ENSG00000187105,Gene Expression,GRCh38,34,34.0,HEATR4,34
CENPB,ENSG00000125817,Gene Expression,GRCh38,585,638.0,CENPB,585
ZDHHC2,ENSG00000104219,Gene Expression,GRCh38,327,349.0,ZDHHC2,327
ERCC2,ENSG00000104884,Gene Expression,GRCh38,368,390.0,ERCC2,368
RNF217-AS1,ENSG00000236548,Gene Expression,GRCh38,20,22.0,RNF217-AS1,20
IL6R,ENSG00000160712,Gene Expression,GRCh38,144,162.0,IL6R,144
EPHX2,ENSG00000120915,Gene Expression,GRCh38,167,177.0,EPHX2,167
KIAA0513,ENSG00000135709,Gene Expression,GRCh38,156,162.0,KIAA0513,156
MOCOS,ENSG00000075643,Gene Expression,GRCh38,190,203.0,MOCOS,190
NID2,ENSG00000087303,Gene Expression,GRCh38,54,62.0,NID2,54
ABHD10,ENSG00000144827,Gene Expression,GRCh38,568,614.0,ABHD10,568
ARHGAP33,ENSG00000004777,Gene Expression,GRCh38,53,54.0,ARHGAP33,53
ZNF316,ENSG00000205903,Gene Expression,GRCh38,388,427.0,ZNF316,388
ZNF385C,ENSG00000187595,Gene Expression,GRCh38,21,21.0,ZNF385C,21
LINC00862,ENSG00000203721,Gene Expression,GRCh38,47,63.0,LINC00862,47
FANCC,ENSG00000158169,Gene Expression,GRCh38,92,92.0,FANCC,92
NPC1,ENSG00000141458,Gene Expression,GRCh38,1296,1578.0,NPC1,1296
ISYNA1,ENSG00000105655,Gene Expression,GRCh38,1682,2855.0,ISYNA1,1682
LCT,ENSG00000115850,Gene Expression,GRCh38,3,3.0,LCT,3
UFL1,ENSG00000014123,Gene Expression,GRCh38,1924,2610.0,UFL1,1924
PUM3,ENSG00000080608,Gene Expression,GRCh38,1839,2384.0,PUM3,1839
AC103764.1,ENSG00000251218,Gene Expression,GRCh38,14,14.0,AC103764.1,14
AL050343.2,ENSG00000272175,Gene Expression,GRCh38,22,22.0,AL050343.2,22
OTULINL,ENSG00000145569,Gene Expression,GRCh38,162,177.0,OTULINL,162
MKRN3,ENSG00000179455,Gene Expression,GRCh38,136,140.0,MKRN3,136
UROS,ENSG00000188690,Gene Expression,GRCh38,900,1069.0,UROS,900
FREM2,ENSG00000150893,Gene Expression,GRCh38,187,201.0,FREM2,187
AC004951.1,ENSG00000228434,Gene Expression,GRCh38,212,219.0,AC004951.1,212
TPR,ENSG00000047410,Gene Expression,GRCh38,3024,5033.0,TPR,3024
CD58,ENSG00000116815,Gene Expression,GRCh38,44,47.0,CD58,44
B3GAT2,ENSG00000112309,Gene Expression,GRCh38,118,119.0,B3GAT2,118
ATG2A,ENSG00000110046,Gene Expression,GRCh38,519,558.0,ATG2A,519
ZNF264,ENSG00000083844,Gene Expression,GRCh38,997,1149.0,ZNF264,997
MAPRE1,ENSG00000101367,Gene Expression,GRCh38,2322,3408.0,MAPRE1,2322
PGGT1B,ENSG00000164219,Gene Expression,GRCh38,997,1174.0,PGGT1B,997
CAPN14,ENSG00000214711,Gene Expression,GRCh38,34,35.0,CAPN14,34
SUMF1,ENSG00000144455,Gene Expression,GRCh38,1033,1268.0,SUMF1,1033
GPSM3,ENSG00000213654,Gene Expression,GRCh38,20,21.0,GPSM3,20
FAM129C,ENSG00000167483,Gene Expression,GRCh38,22,22.0,FAM129C,22
STRIP2,ENSG00000128578,Gene Expression,GRCh38,624,792.0,STRIP2,624
KNOP1,ENSG00000103550,Gene Expression,GRCh38,1818,2528.0,KNOP1,1818
AC053503.2,ENSG00000229525,Gene Expression,GRCh38,6,7.0,AC053503.2,6
DRC3,ENSG00000171962,Gene Expression,GRCh38,99,104.0,DRC3,99
SMPDL3B,ENSG00000130768,Gene Expression,GRCh38,19,21.0,SMPDL3B,19
KLHL7-DT,ENSG00000230658,Gene Expression,GRCh38,14,14.0,KLHL7-DT,14
TMPRSS4,ENSG00000137648,Gene Expression,GRCh38,4,4.0,TMPRSS4,4
RNF139,ENSG00000170881,Gene Expression,GRCh38,1084,1274.0,RNF139,1084
OPTN,ENSG00000123240,Gene Expression,GRCh38,2687,4472.0,OPTN,2687
SDR42E1,ENSG00000184860,Gene Expression,GRCh38,16,16.0,SDR42E1,16
ZNF626,ENSG00000188171,Gene Expression,GRCh38,865,1028.0,ZNF626,865
ZNF608,ENSG00000168916,Gene Expression,GRCh38,144,156.0,ZNF608,144
NR3C2,ENSG00000151623,Gene Expression,GRCh38,73,77.0,NR3C2,73
DYNC2LI1,ENSG00000138036,Gene Expression,GRCh38,256,263.0,DYNC2LI1,256
AC096582.3,ENSG00000283247,Gene Expression,GRCh38,33,36.0,AC096582.3,33
HIST2H4A,ENSG00000270882,Gene Expression,GRCh38,34,34.0,HIST2H4A,34
RUNDC3B,ENSG00000105784,Gene Expression,GRCh38,26,26.0,RUNDC3B,26
COMMD2,ENSG00000114744,Gene Expression,GRCh38,2187,3338.0,COMMD2,2187
AC121764.3,ENSG00000242775,Gene Expression,GRCh38,8,9.0,AC121764.3,8
AC048341.2,ENSG00000275180,Gene Expression,GRCh38,26,26.0,AC048341.2,26
SGSM3,ENSG00000100359,Gene Expression,GRCh38,310,321.0,SGSM3,310
TDRD12,ENSG00000173809,Gene Expression,GRCh38,23,23.0,TDRD12,23
DCBLD1,ENSG00000164465,Gene Expression,GRCh38,208,221.0,DCBLD1,208
ACOT11,ENSG00000162390,Gene Expression,GRCh38,138,154.0,ACOT11,138
AFM,ENSG00000079557,Gene Expression,GRCh38,11,11.0,AFM,11
SERPINF1,ENSG00000132386,Gene Expression,GRCh38,3193,8473.0,SERPINF1,3193
NKX6-1,ENSG00000163623,Gene Expression,GRCh38,10,10.0,NKX6-1,10
SLC26A9,ENSG00000174502,Gene Expression,GRCh38,4,4.0,SLC26A9,4
PSMD3,ENSG00000108344,Gene Expression,GRCh38,1748,2332.0,PSMD3,1748
DLGAP4-AS1,ENSG00000232907,Gene Expression,GRCh38,38,38.0,DLGAP4-AS1,38
TMEM98,ENSG00000006042,Gene Expression,GRCh38,33,34.0,TMEM98,33
LINC01873,ENSG00000232164,Gene Expression,GRCh38,70,71.0,LINC01873,70
PIAS4,ENSG00000105229,Gene Expression,GRCh38,753,830.0,PIAS4,753
CENPM,ENSG00000100162,Gene Expression,GRCh38,59,67.0,CENPM,59
AC012157.1,ENSG00000258034,Gene Expression,GRCh38,3,3.0,AC012157.1,3
SAMD9L,ENSG00000177409,Gene Expression,GRCh38,249,278.0,SAMD9L,249
MUS81,ENSG00000172732,Gene Expression,GRCh38,806,935.0,MUS81,806
BACE1,ENSG00000186318,Gene Expression,GRCh38,32,34.0,BACE1,32
ERMN,ENSG00000136541,Gene Expression,GRCh38,4,4.0,ERMN,4
ULBP2,ENSG00000131015,Gene Expression,GRCh38,14,15.0,ULBP2,14
GAS2L3,ENSG00000139354,Gene Expression,GRCh38,62,73.0,GAS2L3,62
AC073342.2,ENSG00000268170,Gene Expression,GRCh38,3,3.0,AC073342.2,3
INHBA-AS1,ENSG00000224116,Gene Expression,GRCh38,21,25.0,INHBA-AS1,21
RHOF,ENSG00000139725,Gene Expression,GRCh38,561,685.0,RHOF,561
DNAJC25-GNG10,ENSG00000244115,Gene Expression,GRCh38,73,76.0,DNAJC25-GNG10,73
ZNF552,ENSG00000178935,Gene Expression,GRCh38,368,394.0,ZNF552,368
AL121772.2,ENSG00000274507,Gene Expression,GRCh38,3,3.0,AL121772.2,3
C9orf116,ENSG00000160345,Gene Expression,GRCh38,131,148.0,C9orf116,131
USF2,ENSG00000105698,Gene Expression,GRCh38,1368,1676.0,USF2,1368
LINC01285,ENSG00000203650,Gene Expression,GRCh38,40,41.0,LINC01285,40
SLCO1A2,ENSG00000084453,Gene Expression,GRCh38,13,14.0,SLCO1A2,13
LHPP,ENSG00000107902,Gene Expression,GRCh38,638,702.0,LHPP,638
FAM84B,ENSG00000168672,Gene Expression,GRCh38,256,280.0,FAM84B,256
TMEM220-AS1,ENSG00000263400,Gene Expression,GRCh38,21,22.0,TMEM220-AS1,21
AL136962.1,ENSG00000276476,Gene Expression,GRCh38,300,330.0,AL136962.1,300
LINC00526,ENSG00000264575,Gene Expression,GRCh38,12,12.0,LINC00526,12
UGP2,ENSG00000169764,Gene Expression,GRCh38,5542,18750.0,UGP2,5542
BCL2,ENSG00000171791,Gene Expression,GRCh38,199,228.0,BCL2,199
PRSS57,ENSG00000185198,Gene Expression,GRCh38,6,7.0,PRSS57,6
TOMM22,ENSG00000100216,Gene Expression,GRCh38,1914,2875.0,TOMM22,1914
LAMP2,ENSG00000005893,Gene Expression,GRCh38,3953,8354.0,LAMP2,3953
PPCS,ENSG00000127125,Gene Expression,GRCh38,2060,2816.0,PPCS,2060
AC020765.2,ENSG00000275441,Gene Expression,GRCh38,42,43.0,AC020765.2,42
ABCG8,ENSG00000143921,Gene Expression,GRCh38,13,13.0,ABCG8,13
SCYGR4,ENSG00000284631,Gene Expression,GRCh38,9,9.0,SCYGR4,9
AC002467.1,ENSG00000241764,Gene Expression,GRCh38,60,61.0,AC002467.1,60
SH3GLB2,ENSG00000148341,Gene Expression,GRCh38,2983,6034.0,SH3GLB2,2983
PMS1,ENSG00000064933,Gene Expression,GRCh38,281,292.0,PMS1,281
YBX1,ENSG00000065978,Gene Expression,GRCh38,5610,20108.0,YBX1,5610
CPB2-AS1,ENSG00000235903,Gene Expression,GRCh38,7,7.0,CPB2-AS1,7
C18orf32,ENSG00000177576,Gene Expression,GRCh38,1292,1582.0,C18orf32,1292
STAP2,ENSG00000178078,Gene Expression,GRCh38,430,489.0,STAP2,430
TNF,ENSG00000232810,Gene Expression,GRCh38,209,307.0,TNF,209
NECTIN1,ENSG00000110400,Gene Expression,GRCh38,137,141.0,NECTIN1,137
GPAT4,ENSG00000158669,Gene Expression,GRCh38,1449,1772.0,GPAT4,1449
UBTD1,ENSG00000165886,Gene Expression,GRCh38,436,478.0,UBTD1,436
AC016642.1,ENSG00000248475,Gene Expression,GRCh38,59,60.0,AC016642.1,59
PMP22,ENSG00000109099,Gene Expression,GRCh38,66,74.0,PMP22,66
CASP14,ENSG00000105141,Gene Expression,GRCh38,5,5.0,CASP14,5
ZNF28,ENSG00000198538,Gene Expression,GRCh38,766,880.0,ZNF28,766
U62317.3,ENSG00000272821,Gene Expression,GRCh38,75,79.0,U62317.3,75
OXTR,ENSG00000180914,Gene Expression,GRCh38,20,31.0,OXTR,20
CCM2L,ENSG00000101331,Gene Expression,GRCh38,3,3.0,CCM2L,3
ANKS3,ENSG00000168096,Gene Expression,GRCh38,497,532.0,ANKS3,497
