,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments
379,NCAM1_CNTNAP1,CNTNAP1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NCAM1,['eEVT'],(M+F)-F,Jarrods_inter
381,NCAM1_CNTP1,CNTNAP1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NCAM1,['eEVT'],(M+F)-F,nan
384,NECTIN2_NECTIN3,NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NECTIN3,"['eEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan
391,NGFR_NTF3,NTF3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NGFR,['eEVT'],(M+F)-F,nan
399,NOTCH1_DLL4,DLL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NOTCH1,['VCT_CCC'],(M+F)-F,CellSign_VCT_CCC_NOTCH1
405,NOTCH2_DLL4,DLL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NOTCH2,"['eEVT', 'iEVT', 'GC']",(M+F)-F,CellSign_iEVT_and_EVT_2_NOTCH2
410,NOTCH4_JAG2,NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",JAG2,"['eEVT', 'iEVT']",(M+F)-F,nan
430,NTS_SORT1,NTS,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",SORT1,"['VCT_CCC', 'iEVT']",(M+F)-F,nan
447,PLAU_PLAUR,PLAUR,"['VCT_CCC', 'EVT_1', 'EVT_2']",PLAU,"['VCT_CCC', 'dM1', 'dM2', 'dS3', 'dS2']",(M+F)-(M+F),nan
455,PODXL_SELL,SELL,"['VCT_CCC', 'EVT_1', 'EVT_2']",PODXL,"['eEVT', 'GC']",(M+F)-F,nan
459,POMC_OPRK1,OPRK1,"['EVT_1', 'EVT_2', 'iEVT']",POMC,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dS3']",(M+F)-(M+F),nan
462,PRL_PRLR,PRL,"['EVT_2', 'iEVT']",PRLR,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",(M+F)-(M+F),nan
464,PROC_PROCR,PROC,"['EVT_1', 'EVT_2', 'iEVT']",PROCR,"['EVT_1', 'iEVT', 'GC']",(M+F)-F,nan
480,PVR_CD226,PVR,"['EVT_2', 'iEVT']",CD226,"['eEVT', 'dNK3', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F),nan
482,PVR_CD96,PVR,"['EVT_2', 'iEVT']",CD96,"['eEVT', 'GC', 'dNK1', 'dNK2', 'dNK3']",F-(M+F),nan
484,PVR_NECTIN3,PVR,"['EVT_2', 'iEVT']",NECTIN3,"['eEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan
486,PVR_TIGIT,PVR,"['EVT_2', 'iEVT']",TIGIT,"['EVT_1', 'EVT_2', 'iEVT', 'dNK3']",F-(M+F),nan
487,PVR_TIGIT,TIGIT,"['EVT_1', 'EVT_2', 'iEVT']",PVR,"['EVT_2', 'iEVT']",(M+F)-F,nan
488,RAMP3_ADM,RAMP3,"['EVT_2', 'iEVT']",ADM,"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,nan
489,RAMP3_ADM,ADM,"['EVT_1', 'EVT_2', 'iEVT']",RAMP3,"['EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan
490,RBP4_STRA6,RBP4,"['EVT_1', 'EVT_2']",STRA6,"['VCT_CCC', 'GC', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F),nan
492,RELN_VLDLR,RELN,"['EVT_2', 'iEVT']",VLDLR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,nan
493,RELN_VLDLR,VLDLR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",RELN,"['EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan
494,RNASET2_TLR8,RNASET2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TLR8,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F),nan
497,S1PR2_FAM19A5,FAM19A5,"['EVT_2', 'iEVT']",S1PR2,"['VCT_CCC', 'iEVT']",(M+F)-F,nan
498,SELE_GLG1,SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GLG1,"['eEVT', 'iEVT', 'GC']",(M+F)-F,nan
526,SIRPB1_CD47,SIRPB1,"['VCT_CCC', 'EVT_1', 'EVT_2']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F,Jarrod_inter
534,TEK_ANGPT1,TEK,"['EVT_1', 'EVT_2', 'iEVT']",ANGPT1,"['eEVT', 'iEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan
536,TEK_ANGPT4,TEK,"['EVT_1', 'EVT_2', 'iEVT']",ANGPT4,"['EVT_1', 'EVT_2', 'eEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan
538,TGFB1_TGFBR3,TGFB1,"['EVT_1', 'EVT_2', 'iEVT']",TGFBR3,"['eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan
544,TIGIT_NECTIN2,TIGIT,"['EVT_1', 'EVT_2', 'iEVT']",NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,nan
545,TIGIT_NECTIN2,NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TIGIT,"['EVT_1', 'EVT_2', 'iEVT', 'dNK3']",F-(M+F),nan
557,TNFSF10_TNFRSF10D,TNFRSF10D,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TNFSF10,"['iEVT', 'GC']",(M+F)-F,nan
562,TNFSF14_LTBR,TNFSF14,"['EVT_2', 'iEVT']",LTBR,"['eEVT', 'GC']",(M+F)-F,nan
600,WNT7A_FRZB,WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",FRZB,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan
602,WNT7A_SFRP1,WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",SFRP1,"['EVT_2', 'eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan
604,WNT7A_SFRP4,WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",SFRP4,"['eEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F),nan
