peak_id,peak_width,exon,gene,promoter,annotation,gene_name,gene_id,tss_distance,ENCODE_blacklist,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,contains_primed_enhancers,contains_active_enhancers,contains_repressed_enhancers,highly_variable,contains_primed_enhancers_2nd_and_3rd_trimester,contains_active_enhancers_2nd_and_3rd_trimester,contains_repressed_enhancers_2nd_and_3rd_trimester
chr1:1347946-1348258,313,0,1,0,intron,DVL1,ENSG00000107404,696,0,210,0.028071113,0.02768434,97.19288865124985,210.0,5.351858,0,1,0,True,0,1,0
chr1:1348986-1349832,847,1,1,1,exon,DVL1,ENSG00000107404,0,0,544,0.07271755,0.07019519,92.72824488704718,544.0,6.300786,0,0,0,True,0,0,0
chr1:1358508-1359016,509,1,1,1,exon,MXRA8,ENSG00000162576,0,0,232,0.031011896,0.030540744,96.898810319476,232.0,5.4510384,1,1,1,True,1,1,1
chr1:1374757-1375732,976,1,1,1,exon,AURKAIP1,ENSG00000175756,0,0,727,0.097179525,0.092742816,90.2820478545649,727.0,6.590301,0,0,0,True,0,0,0
chr1:1406876-1408266,1391,1,1,1,exon,MRPL20,ENSG00000242485,0,0,434,0.058013633,0.056393217,94.19863654591632,434.0,6.075346,0,1,0,True,0,1,0
chr1:1431626-1432179,554,0,0,0,intergenic,nan,nan,2681,0,515,0.06884106,0.066574946,93.11589359711267,515.0,6.2461066,0,1,0,True,0,1,0
chr1:1435470-1435795,326,1,1,1,exon,VWA1,ENSG00000179403,0,0,301,0.040235262,0.0394469,95.97647373345808,301.0,5.710427,0,0,0,True,0,0,0
chr1:1470741-1471872,1132,1,1,1,exon,ATAD3B,ENSG00000160072,0,0,345,0.04611683,0.04508505,95.38831706991044,345.0,5.846439,1,1,1,True,1,1,1
chr1:1511418-1512236,819,1,1,1,exon,ATAD3A,ENSG00000197785,0,0,566,0.07565834,0.07293288,92.43416655527336,566.0,6.340359,0,1,0,True,0,1,0
chr1:1573957-1575265,1309,1,1,1,exon,SSU72,ENSG00000160075,0,0,638,0.08528271,0.081840515,91.47172837855902,638.0,6.4599047,0,1,0,True,0,1,0
chr1:1615019-1615964,946,1,1,1,exon,MIB2,ENSG00000197530,0,0,765,0.102259055,0.09736176,89.7740943724101,765.0,6.641182,0,1,0,True,0,1,0
chr1:1906822-1907697,876,0,0,0,intergenic,nan,nan,7129,0,477,0.06376153,0.061811242,93.62384707926748,477.0,6.1696105,0,1,0,True,0,1,0
chr1:1918916-1919893,978,1,1,1,exon,TMEM52,ENSG00000178821,0,0,587,0.07846545,0.07553915,92.15345542039834,587.0,6.376727,1,0,1,True,1,0,1
chr1:2044828-2045103,276,0,0,0,intergenic,nan,nan,5366,0,135,0.018045716,0.017884824,98.1954284186606,135.0,4.912655,0,0,1,True,0,0,1
chr1:2049883-2050531,649,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,523,0.06991044,0.06757494,93.0089560219222,523.0,6.261492,0,0,0,True,0,0,0
chr1:2088441-2088792,352,0,1,0,intron,PRKCZ,ENSG00000067606,6192,0,138,0.018446732,0.018278655,98.15532682796416,138.0,4.934474,0,0,1,True,0,0,1
chr1:2104420-2105442,1023,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,821,0.10974468,0.10412997,89.02553134607672,821.0,6.7117405,0,1,0,True,0,1,0
chr1:2133058-2133760,703,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,740,0.09891726,0.094325386,90.10827429488036,740.0,6.6080008,0,1,0,True,0,1,0
chr1:2134999-2135760,762,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,665,0.08889186,0.08516053,91.11081406229114,665.0,6.50129,0,1,0,True,0,1,0
chr1:2189137-2190079,943,1,1,0,exon,FAAP20,ENSG00000162585,4028,0,656,0.08768881,0.08405509,91.23111883438042,656.0,6.4876842,1,1,1,True,1,1,1
chr1:2194601-2195453,853,1,1,1,exon,FAAP20,ENSG00000162585,0,0,476,0.063627854,0.06168557,93.63721427616628,476.0,6.1675167,0,1,0,True,0,1,0
chr1:2199292-2199519,228,1,1,0,exon,FAAP20,ENSG00000162585,387,0,102,0.013634541,0.013542427,98.63654591632135,102.0,4.634729,1,1,0,True,1,1,0
chr1:2204719-2205603,885,0,1,1,promoter,FAAP20,ENSG00000162585,836,0,405,0.054137148,0.052722562,94.58628525598182,405.0,6.0063534,0,1,1,True,0,1,1
chr1:2227187-2228131,945,0,0,1,promoter,SKI,ENSG00000157933,563,0,876,0.11709665,0.11073304,88.29033551664216,876.0,6.776507,0,0,0,True,0,0,0
chr1:2284977-2285328,352,0,1,0,intron,SKI,ENSG00000157933,18317,0,100,0.013367197,0.013278644,98.66328031011898,100.0,4.6151204,0,1,0,True,0,1,0
chr1:2306479-2306794,316,1,1,0,exon,SKI,ENSG00000157933,2832,0,57,0.0076193023,0.007590422,99.23806977676782,57.0,4.060443,1,0,1,True,1,0,1
chr1:2316496-2316923,428,0,0,0,intergenic,nan,nan,12849,0,108,0.014436573,0.014333358,98.55634273492848,108.0,4.691348,0,1,0,True,0,1,0
chr1:2391101-2392137,1037,1,1,1,exon,RER1,ENSG00000157916,0,0,642,0.085817404,0.08233307,91.4182595909638,642.0,6.4661446,0,0,0,True,0,0,0
chr1:2412083-2412915,833,1,1,1,exon,PEX10,ENSG00000157911,0,0,702,0.09383772,0.08969236,90.61622777703516,702.0,6.555357,0,1,0,True,0,1,0
chr1:2545823-2546441,619,0,0,0,intergenic,nan,nan,9197,0,375,0.05012699,0.0489111,94.98730116294612,375.0,5.9295893,0,1,1,True,0,1,1
chr1:3453822-3454847,1026,1,1,1,exon,ARHGEF16,ENSG00000130762,0,0,521,0.069643095,0.06732503,93.0356904157198,521.0,6.2576675,0,1,1,True,0,1,1
chr1:3466926-3467697,772,1,1,1,exon,ARHGEF16,ENSG00000130762,0,0,325,0.04344339,0.042526197,95.65566100788664,325.0,5.786897,0,1,0,True,0,0,0
chr1:3471449-3472025,577,1,1,1,exon,ARHGEF16,ENSG00000130762,0,0,307,0.041037295,0.040217616,95.89627055206525,307.0,5.7300997,0,0,1,True,0,0,0
chr1:3483517-3484145,629,0,0,0,intergenic,nan,nan,9340,0,259,0.03462104,0.034035217,96.53789600320812,259.0,5.560682,1,1,1,True,1,1,1
chr1:3542979-3543946,968,0,1,0,intron,MEGF6,ENSG00000162591,11530,0,351,0.04691886,0.04585143,95.30811388851758,351.0,5.8636312,0,1,0,True,0,1,0
chr1:3624250-3625118,869,1,1,1,exon,TPRG1L,ENSG00000158109,0,0,420,0.056142226,0.05462286,94.38577730249966,420.0,6.042633,0,1,0,True,0,1,0
chr1:3856747-3857755,1009,1,1,1,exon,DFFB,ENSG00000169598,0,0,477,0.06376153,0.061811242,93.62384707926748,477.0,6.1696105,0,0,0,True,0,0,0
chr1:3871388-3871647,260,0,1,0,intron,DFFB,ENSG00000169598,3724,0,95,0.012698837,0.012618883,98.73011629461304,95.0,4.564348,0,0,0,True,0,0,0
chr1:4668802-4669119,318,0,1,0,intron,AJAP1,ENSG00000196581,13756,0,47,0.0062825824,0.006262929,99.37174174575593,47.0,3.871201,0,0,1,True,0,0,0
chr1:5991909-5992751,843,1,1,1,exon,KCNAB2,ENSG00000069424,0,0,323,0.043176048,0.042269953,95.68239540168426,323.0,5.7807436,0,0,1,True,0,0,1
chr1:6058642-6059406,765,0,1,0,intron,KCNAB2,ENSG00000069424,12527,0,215,0.028739473,0.02833424,97.12605266675578,215.0,5.3752785,1,0,1,True,1,0,1
chr1:6157128-6157422,295,0,1,0,intron,CHD5,ENSG00000116254,13023,0,43,0.0057478948,0.0057314388,99.42521053335116,43.0,3.7841897,0,0,1,True,0,0,1
chr1:6205006-6206430,1425,1,1,1,exon,RNF207,ENSG00000158286,0,0,577,0.07712872,0.07429891,92.28712738938644,577.0,6.359574,1,0,1,True,1,0,1
chr1:6235295-6236407,1113,1,1,1,exon,ICMT,ENSG00000116237,0,0,631,0.08434701,0.08097797,91.5652987568507,631.0,6.4488893,0,1,0,True,0,1,0
chr1:6382424-6382718,295,0,1,0,intron,ACOT7,ENSG00000097021,3094,0,104,0.013901885,0.01380614,98.60981152252371,104.0,4.65396,0,0,0,True,0,0,0
chr1:6393068-6394159,1092,1,1,1,exon,ACOT7,ENSG00000097021,0,0,680,0.09089694,0.08700024,90.91030610880898,680.0,6.5235624,0,1,0,True,0,1,0
chr1:6474426-6474963,538,1,1,0,exon,PLEKHG5,ENSG00000171680,2624,0,292,0.039032213,0.038289715,96.0967785055474,292.0,5.6801724,1,1,0,True,1,0,0
chr1:6490475-6490725,251,1,1,1,exon,PLEKHG5,ENSG00000171680,0,0,109,0.014570245,0.014465119,98.54297553802968,109.0,4.7004805,0,1,0,True,0,1,0
chr1:6515723-6516260,538,0,1,0,intron,PLEKHG5,ENSG00000171680,3748,0,161,0.021521186,0.021292876,97.84788129929154,161.0,5.0875964,0,0,0,True,0,0,0
chr1:6724473-6725130,658,0,0,0,intergenic,nan,nan,22548,0,149,0.019917123,0.019721372,98.00828766207728,149.0,5.0106354,0,0,0,True,0,0,0
chr1:6753682-6754184,503,0,0,0,intergenic,nan,nan,31139,0,136,0.018179387,0.018016117,98.1820612217618,136.0,4.919981,0,0,0,True,0,0,0
chr1:6784201-6785538,1338,1,1,1,exon,CAMTA1,ENSG00000171735,0,0,932,0.124582276,0.11741166,87.54177249030877,932.0,6.838405,0,0,0,True,0,0,0
chr1:6810027-6810867,841,0,1,0,intron,CAMTA1,ENSG00000171735,3038,0,161,0.021521186,0.021292876,97.84788129929154,161.0,5.0875964,0,1,0,True,0,1,0
chr1:6836716-6837199,484,0,1,0,intron,CAMTA1,ENSG00000171735,11605,0,263,0.03515573,0.034551878,96.48442721561288,263.0,5.575949,0,1,1,True,0,0,1
chr1:6851955-6852798,844,0,1,1,promoter,CAMTA1,ENSG00000171735,249,0,176,0.023526266,0.02325379,97.64737334580938,176.0,5.17615,0,0,0,True,0,0,0
chr1:7401764-7402334,571,0,1,0,intron,CAMTA1,ENSG00000171735,334073,0,223,0.02980885,0.029373202,97.0191150915653,223.0,5.411646,0,0,0,True,0,0,0
chr1:7470753-7472004,1252,0,1,0,intron,CAMTA1,ENSG00000171735,264403,0,161,0.021521186,0.021292876,97.84788129929154,161.0,5.0875964,0,1,0,True,0,1,0
chr1:7770885-7771753,869,1,1,1,exon,VAMP3,ENSG00000049245,0,0,323,0.043176048,0.042269953,95.68239540168426,323.0,5.7807436,1,1,1,True,0,1,0
chr1:7783398-7784367,970,1,1,1,exon,PER3,ENSG00000049246,0,0,586,0.078331776,0.075415194,92.16682261729716,586.0,6.375025,0,1,1,True,0,1,0
chr1:7961171-7962011,841,1,1,1,exon,PARK7,ENSG00000116288,0,0,568,0.07592568,0.07318139,92.40743216147574,568.0,6.3438807,0,1,0,True,0,1,0
chr1:8025684-8027029,1346,1,1,1,exon,ERRFI1,ENSG00000116285,0,0,697,0.09316936,0.089081146,90.6830637615292,697.0,6.548219,0,1,0,True,0,1,0
chr1:8211723-8212377,655,0,0,0,intergenic,nan,nan,105448,0,413,0.055206522,0.053736504,94.47934768079134,413.0,6.025866,0,1,0,True,0,1,0
chr1:8348704-8349242,539,0,0,0,intergenic,nan,nan,5839,0,234,0.03127924,0.030800013,96.87207592567836,234.0,5.4595857,1,0,1,True,1,0,1
chr1:8449307-8449987,681,0,1,0,intron,RERE,ENSG00000142599,24094,0,186,0.024862986,0.024558932,97.51370137682127,186.0,5.2311087,0,1,0,True,0,1,0
chr1:8789353-8789859,507,0,1,0,intron,RERE,ENSG00000142599,27605,0,109,0.014570245,0.014465119,98.54297553802968,109.0,4.7004805,1,0,1,True,0,0,0
chr1:8817492-8818182,691,1,1,1,exon,RERE,ENSG00000142599,0,0,403,0.053869803,0.052468915,94.61301964977945,403.0,6.001415,0,1,0,True,0,1,0
chr1:9038915-9039704,790,1,1,0,exon,SLC2A5,ENSG00000142583,190,0,345,0.04611683,0.04508505,95.38831706991044,345.0,5.846439,0,0,0,True,0,0,0
chr1:9071361-9072284,924,1,1,1,exon,SLC2A5,ENSG00000142583,0,0,388,0.051864725,0.050564516,94.8135276032616,388.0,5.963579,0,1,0,True,0,1,0
chr1:9128797-9129780,984,1,1,1,exon,GPR157,ENSG00000180758,0,0,626,0.083678655,0.08036142,91.63213474134474,626.0,6.4409466,0,1,0,True,0,1,0
chr1:9234216-9235103,888,1,1,1,exon,H6PD,ENSG00000049239,0,0,430,0.057478946,0.05588772,94.25210533351157,430.0,6.066108,0,1,0,True,0,1,0
chr1:9322441-9323153,713,0,1,0,intron,SPSB1,ENSG00000171621,27912,0,139,0.018580403,0.018409897,98.14195963106536,139.0,4.9416423,1,1,1,True,1,1,1
chr1:9428559-9429237,679,0,0,0,intergenic,nan,nan,72851,0,433,0.057879962,0.05626687,94.21200374281511,433.0,6.073045,0,1,0,True,0,1,0
chr1:9443865-9444431,567,0,0,0,intergenic,nan,nan,88157,0,237,0.031680256,0.03118879,96.83197433498196,237.0,5.4722705,0,0,0,True,0,0,0
chr1:9538910-9540314,1405,1,1,1,exon,SLC25A33,ENSG00000171612,0,0,569,0.07605935,0.073305614,92.39406496457693,569.0,6.3456364,1,1,1,True,1,1,1
chr1:9909908-9911047,1140,1,1,1,exon,CTNNBIP1,ENSG00000178585,0,0,766,0.102392726,0.097483024,89.76072717551129,766.0,6.6424866,0,0,0,True,0,0,0
chr1:10032355-10033450,1096,1,1,1,exon,UBE4B,ENSG00000130939,0,0,717,0.0958428,0.09152375,90.415719823553,717.0,6.5764694,1,1,1,True,0,1,1
chr1:10058636-10059299,664,0,1,0,intron,UBE4B,ENSG00000130939,25039,0,266,0.035556745,0.0349392,96.44432562491644,266.0,5.587249,0,1,0,True,0,1,0
chr1:10209829-10211203,1375,1,1,1,exon,KIF1B,ENSG00000054523,0,0,601,0.080336854,0.07727289,91.966314663815,601.0,6.4002576,0,1,0,True,0,1,0
chr1:10430208-10430892,685,1,1,1,exon,APITD1,ENSG00000175279,0,0,288,0.038497526,0.037774984,96.15024729314264,288.0,5.6664267,0,0,1,True,0,0,1
chr1:10730978-10731480,503,0,1,0,intron,CASZ1,ENSG00000130940,25402,0,204,0.027269082,0.026903905,97.2730918326427,204.0,5.32301,1,0,1,True,0,0,0
chr1:11011812-11013236,1425,1,1,1,exon,RP4-635E18.9,ENSG00000277726,0,0,596,0.07966849,0.07665404,92.03315064830905,596.0,6.391917,1,1,0,True,0,1,0
chr1:11059547-11060317,771,1,1,1,exon,SRM,ENSG00000116649,0,0,338,0.045181125,0.044190194,95.4818874482021,338.0,5.826,0,1,0,True,0,1,0
chr1:11676303-11676675,373,0,1,0,intron,MAD2L2,ENSG00000116670,4435,0,222,0.029675176,0.02924339,97.03248228846412,222.0,5.4071717,1,1,1,True,1,0,1
chr1:11719343-11719990,648,1,1,0,exon,DRAXIN,ENSG00000162490,16093,0,77,0.0102927415,0.010240132,98.9707258387916,77.0,4.356709,1,1,1,True,1,1,1
chr1:11735699-11736647,949,1,1,1,exon,AGTRAP,ENSG00000177674,0,0,336,0.04491378,0.043934375,95.50862184199973,336.0,5.820083,0,1,0,True,0,1,0
chr1:11805364-11806497,1134,1,1,1,exon,CLCN6,ENSG00000011021,0,0,979,0.13086486,0.1229827,86.9135142360647,979.0,6.8875527,0,1,0,True,0,1,0
chr1:11979789-11980590,802,1,1,1,exon,MFN2,ENSG00000116688,0,0,623,0.083277635,0.079991296,91.67223633204117,623.0,6.4361506,0,0,0,True,0,0,0
chr1:12019082-12019613,532,1,1,1,exon,MIIP,ENSG00000116691,0,0,559,0.07472263,0.07206261,92.52773693356502,559.0,6.3279366,0,1,0,True,0,1,0
chr1:12131736-12132447,712,0,1,0,intron,TNFRSF8,ENSG00000120949,5801,0,356,0.04758722,0.046489634,95.24127790402352,356.0,5.8777356,1,1,1,True,0,0,0
chr1:12153199-12153861,663,0,0,0,intergenic,nan,nan,13081,0,472,0.06309317,0.061182745,93.69068306376153,472.0,6.1590953,0,1,0,True,0,1,0
chr1:12453977-12454204,228,0,1,0,intron,VPS13D,ENSG00000048707,10735,0,91,0.012164149,0.01209076,98.78358508220826,91.0,4.5217886,0,1,0,True,0,1,0
chr1:12462477-12462844,368,0,1,0,intron,VPS13D,ENSG00000048707,2095,0,112,0.014971261,0.014860298,98.50287394733324,112.0,4.727388,1,1,0,True,0,0,0
chr1:12485267-12485822,556,0,1,0,intron,VPS13D,ENSG00000048707,11403,0,368,0.049191285,0.048019662,95.0808715412378,368.0,5.9107966,1,1,1,True,0,1,1
chr1:12504720-12505466,747,0,1,0,intron,VPS13D,ENSG00000048707,7493,0,70,0.009357038,0.009313532,99.06429621708328,70.0,4.26268,1,0,1,True,1,0,0
chr1:12539813-12540607,795,0,0,0,intergenic,nan,nan,42586,0,342,0.045715813,0.04470164,95.42841866060688,342.0,5.8377304,1,1,1,True,0,1,1
chr1:12572532-12572934,403,1,1,0,exon,DHRS3,ENSG00000162496,23373,0,94,0.012565165,0.012486878,98.74348349151182,94.0,4.553877,0,0,0,True,0,0,0
chr1:12585604-12586078,475,0,1,0,intron,DHRS3,ENSG00000162496,10229,0,82,0.010961101,0.010901464,98.90388985429756,82.0,4.4188404,0,0,0,True,0,0,0
chr1:12595750-12596800,1051,1,1,1,exon,DHRS3,ENSG00000162496,0,0,453,0.0605534,0.058790848,93.94465980483892,453.0,6.1180973,1,1,1,True,1,1,1
chr1:12618092-12618594,503,0,0,1,promoter,DHRS3,ENSG00000162496,360,0,233,0.031145569,0.030670388,96.8854431225772,233.0,5.4553213,0,1,0,True,0,1,0
chr1:13748702-13749793,1092,1,1,1,exon,PRDM2,ENSG00000116731,0,0,486,0.06496458,0.06294154,93.5035423071782,486.0,6.188264,0,1,0,True,0,1,0
chr1:13801162-13801592,431,0,1,0,intron,PRDM2,ENSG00000116731,29435,0,128,0.017110012,0.016965285,98.28899879695228,128.0,4.8598123,0,1,0,True,0,1,0
chr1:14137345-14138754,1410,0,1,0,intron,KAZN,ENSG00000189337,244552,0,317,0.042374015,0.041500818,95.76259858307714,317.0,5.7620516,0,1,0,True,0,1,0
chr1:14926089-14926531,443,0,1,0,intron,KAZN,ENSG00000189337,1958,0,174,0.023258923,0.022992557,97.674107739607,174.0,5.164786,0,1,0,True,0,0,0
chr1:15016425-15016899,475,0,1,0,intron,KAZN,ENSG00000189337,70505,0,282,0.037695494,0.037002385,96.23045047453547,282.0,5.645447,1,1,1,True,1,0,1
chr1:15356163-15357158,996,0,1,1,promoter,FHAD1,ENSG00000142621,632,0,259,0.03462104,0.034035217,96.53789600320812,259.0,5.560682,1,1,1,True,0,0,0
chr1:15409422-15410028,607,1,1,1,exon,EFHD2,ENSG00000142634,0,0,329,0.043978076,0.04303849,95.6021922202914,329.0,5.799093,0,0,0,True,0,0,0
chr1:15523971-15525292,1322,1,1,1,exon,DNAJC16,ENSG00000116138,0,0,1240,0.16575325,0.15336744,83.4246758454752,1240.0,7.123673,0,0,1,True,0,0,1
chr1:15526427-15527051,625,1,1,1,exon,DNAJC16,ENSG00000116138,0,0,622,0.083143964,0.07986789,91.68560352893998,622.0,6.4345465,0,0,0,True,0,0,0
chr1:15617042-15617715,674,1,1,1,exon,DDI2,ENSG00000197312,0,0,539,0.07204919,0.06957195,92.79508087154124,539.0,6.291569,0,1,0,True,0,1,0
chr1:15681670-15681944,275,0,0,0,intergenic,nan,nan,2387,0,134,0.017912043,0.017753514,98.20879561555942,134.0,4.905275,0,1,0,True,0,1,0
chr1:15734781-15735511,731,0,0,1,promoter,SLC25A34,ENSG00000162461,893,0,379,0.050661676,0.049420133,94.93383237535087,379.0,5.9401712,0,1,0,True,0,1,0
chr1:15788069-15788843,775,0,0,0,intergenic,nan,nan,10995,0,412,0.05507285,0.05360982,94.49271487769016,412.0,6.0234475,0,1,0,True,0,0,0
chr1:15799928-15800758,831,0,0,0,intergenic,nan,nan,8589,0,474,0.06336051,0.061434187,93.6639486699639,474.0,6.163315,0,1,0,True,0,1,0
chr1:15820280-15821198,919,0,0,0,intergenic,nan,nan,10931,0,237,0.031680256,0.03118879,96.83197433498196,237.0,5.4722705,0,0,0,True,0,0,0
chr1:15834346-15835200,855,0,0,0,intergenic,nan,nan,12663,0,453,0.0605534,0.058790848,93.94465980483892,453.0,6.1180973,0,1,0,True,0,1,0
chr1:15835493-15836232,740,0,0,0,intergenic,nan,nan,11631,0,560,0.0748563,0.072186984,92.51436973666624,560.0,6.329721,0,1,0,True,0,1,0
chr1:15847148-15847963,816,1,1,1,exon,SPEN,ENSG00000065526,0,0,562,0.075123645,0.07243568,92.4876353428686,562.0,6.3332796,0,1,0,True,0,1,0
chr1:16351989-16352940,952,1,1,1,exon,SZRD1,ENSG00000055070,0,0,549,0.07338591,0.07081805,92.66140890255312,549.0,6.3099184,0,1,0,True,0,1,0
chr1:16379212-16379644,433,0,1,0,intron,SZRD1,ENSG00000055070,11500,0,204,0.027269082,0.026903905,97.2730918326427,204.0,5.32301,1,1,0,True,0,1,0
chr1:16464579-16465446,868,0,0,0,intergenic,nan,nan,9057,0,417,0.05574121,0.054243088,94.42587889319609,417.0,6.0354815,0,0,0,True,0,0,0
chr1:16498800-16499464,665,0,0,0,intergenic,nan,nan,39601,0,237,0.031680256,0.03118879,96.83197433498196,237.0,5.4722705,0,1,0,True,0,1,0
chr1:16499669-16500154,486,0,0,0,intergenic,nan,nan,38911,0,149,0.019917123,0.019721372,98.00828766207728,149.0,5.0106354,0,1,0,True,0,1,0
chr1:16604678-16605879,1202,1,1,1,exon,NBPF1,ENSG00000219481,0,0,229,0.030610882,0.030151716,96.93891191017244,229.0,5.4380794,0,1,0,True,0,0,0
chr1:16612856-16613925,1070,1,1,1,exon,NBPF1,ENSG00000219481,0,0,816,0.10907633,0.10352753,89.09236733057078,816.0,6.705639,0,1,0,True,0,1,0
chr1:16644026-16645282,1257,0,0,0,intergenic,nan,nan,27720,0,934,0.12484962,0.117649354,87.51503809651116,934.0,6.8405466,0,1,1,True,0,1,1
chr1:16904573-16905414,842,0,1,0,intron,CROCC,ENSG00000058453,16535,0,579,0.07739607,0.07454708,92.26039299558884,579.0,6.363028,0,0,0,True,0,0,0
chr1:16913435-16914517,1083,0,1,0,intron,CROCC,ENSG00000058453,7432,0,588,0.07859912,0.07566309,92.14008822349952,588.0,6.378426,0,1,1,True,0,1,1
chr1:16980568-16981364,797,1,1,1,exon,MFAP2,ENSG00000117122,0,0,402,0.05373613,0.05234207,94.62638684667826,402.0,5.9989367,0,1,0,True,0,1,0
chr1:17015772-17016516,745,0,0,0,intergenic,nan,nan,3843,0,345,0.04611683,0.04508505,95.38831706991044,345.0,5.846439,0,1,0,True,0,1,0
chr1:17053518-17054600,1083,1,1,1,exon,SDHB,ENSG00000117118,0,0,560,0.0748563,0.072186984,92.51436973666624,560.0,6.329721,0,1,0,True,0,1,0
chr1:17097748-17099185,1438,0,1,0,intron,PADI2,ENSG00000117115,14321,0,553,0.0739206,0.07131606,92.6079401149579,553.0,6.317165,0,1,0,True,0,1,0
chr1:17162683-17163304,622,0,0,0,intergenic,nan,nan,41821,0,334,0.04464644,0.043678492,95.53535623579737,334.0,5.814131,0,1,1,True,0,1,1
chr1:17167530-17168496,967,0,0,0,intergenic,nan,nan,36629,0,218,0.02914049,0.028723978,97.08595107605936,218.0,5.389072,0,1,0,True,0,0,0
chr1:17200337-17201064,728,0,0,0,intergenic,nan,nan,4061,0,234,0.03127924,0.030800013,96.87207592567836,234.0,5.4595857,0,1,0,True,0,0,0
chr1:17237087-17237641,555,1,1,1,exon,PADI1,ENSG00000142623,1990,0,320,0.04277503,0.041885458,95.7224969923807,320.0,5.771441,0,0,0,True,0,0,0
chr1:17441444-17441857,414,0,0,1,promoter,RCC2,ENSG00000179051,1719,0,177,0.023659939,0.023384381,97.63400614891056,177.0,5.1817837,0,1,0,True,0,0,0
chr1:17460100-17460514,415,0,0,0,intergenic,nan,nan,20375,0,66,0.00882235,0.00878366,99.11776500467852,66.0,4.204693,0,1,0,True,0,0,0
chr1:17468348-17469302,955,0,0,0,intergenic,nan,nan,28623,0,308,0.041170966,0.040346008,95.88290335516643,308.0,5.733341,0,0,0,True,0,0,0
chr1:17553823-17554337,515,0,1,0,intron,ARHGEF10L,ENSG00000074964,13987,0,94,0.012565165,0.012486878,98.74348349151182,94.0,4.553877,0,0,1,True,0,0,1
chr1:18901960-18903420,1461,1,1,1,exon,ALDH4A1,ENSG00000159423,0,0,627,0.083812326,0.080484755,91.61876754444592,627.0,6.44254,0,1,1,True,0,1,0
chr1:19009785-19010243,459,0,0,0,intergenic,nan,nan,53098,0,165,0.022055876,0.021816162,97.7944125116963,165.0,5.1119876,0,1,0,True,0,1,0
chr1:19164574-19165024,451,1,1,0,exon,UBR4,ENSG00000127481,3030,0,179,0.023927283,0.02364551,97.60727175511296,179.0,5.192957,0,1,0,True,0,1,0
chr1:19311833-19312831,999,1,1,1,exon,PQLC2,ENSG00000040487,0,0,631,0.08434701,0.08097797,91.5652987568507,631.0,6.4488893,0,1,0,True,0,1,0
chr1:19395757-19396006,250,0,1,0,intron,CAPZB,ENSG00000077549,9959,0,53,0.007084614,0.007059636,99.29153856436304,53.0,3.988984,1,0,1,True,1,0,1
