peak_id,peak_width,exon,gene,promoter,annotation,gene_name,gene_id,tss_distance,ENCODE_blacklist,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,contains_primed_enhancers,contains_active_enhancers,contains_repressed_enhancers,highly_variable,mean,std,contains_primed_enhancers_2nd_and_3rd_trimester,contains_active_enhancers_2nd_and_3rd_trimester,contains_repressed_enhancers_2nd_and_3rd_trimester
chr1:3453822-3454847,1026,1,1,1,exon,ARHGEF16,ENSG00000130762,0,0,521,0.069643095,0.06732503,93.0356904157198,521.0,6.2576675,0,1,1,True,0.3749891723740949,1.0975106093616838,0,1,1
chr1:3466926-3467697,772,1,1,1,exon,ARHGEF16,ENSG00000130762,0,0,325,0.04344339,0.042526197,95.65566100788664,325.0,5.786897,0,1,0,True,0.38173988141541887,1.1030143575029256,0,0,0
chr1:3471449-3472025,577,1,1,1,exon,ARHGEF16,ENSG00000130762,0,0,307,0.041037295,0.040217616,95.89627055206525,307.0,5.7300997,0,0,1,True,0.34985809820840097,1.0701344669351611,0,0,0
chr1:3483517-3484145,629,0,0,0,intergenic,nan,nan,9340,0,259,0.03462104,0.034035217,96.53789600320812,259.0,5.560682,1,1,1,True,0.254305327614484,1.0265649992223578,1,1,1
chr1:3542979-3543946,968,0,1,0,intron,MEGF6,ENSG00000162591,11530,0,351,0.04691886,0.04585143,95.30811388851758,351.0,5.8636312,0,1,0,True,0.3122259907613186,1.0772246019250813,0,1,0
chr1:3624250-3625118,869,1,1,1,exon,TPRG1L,ENSG00000158109,0,0,420,0.056142226,0.05462286,94.38577730249966,420.0,6.042633,0,1,0,True,0.32754445176648,1.1710938963233672,0,1,0
chr1:3856747-3857755,1009,1,1,1,exon,DFFB,ENSG00000169598,0,0,477,0.06376153,0.061811242,93.62384707926748,477.0,6.1696105,0,0,0,True,0.39343541378854124,1.2023494337089622,0,0,0
chr1:3871388-3871647,260,0,1,0,intron,DFFB,ENSG00000169598,3724,0,95,0.012698837,0.012618883,98.73011629461304,95.0,4.564348,0,0,0,True,0.2125747442533081,1.0813316338478596,0,0,0
chr1:4668802-4669119,318,0,1,0,intron,AJAP1,ENSG00000196581,13756,0,47,0.0062825824,0.006262929,99.37174174575593,47.0,3.871201,0,0,1,True,0.11266574123368764,0.7748316467361545,0,0,0
chr1:5991909-5992751,843,1,1,1,exon,KCNAB2,ENSG00000069424,0,0,323,0.043176048,0.042269953,95.68239540168426,323.0,5.7807436,0,0,1,True,0.36412414969523654,1.13562395561718,0,0,1
chr1:6058642-6059406,765,0,1,0,intron,KCNAB2,ENSG00000069424,12527,0,215,0.028739473,0.02833424,97.12605266675578,215.0,5.3752785,1,0,1,True,0.27082855580655457,1.1808693898880978,1,0,1
chr1:6157128-6157422,295,0,1,0,intron,CHD5,ENSG00000116254,13023,0,43,0.0057478948,0.0057314388,99.42521053335116,43.0,3.7841897,0,0,1,True,0.1173720681911786,0.8781361888155552,0,0,1
chr1:6205006-6206430,1425,1,1,1,exon,RNF207,ENSG00000158286,0,0,577,0.07712872,0.07429891,92.28712738938644,577.0,6.359574,1,0,1,True,0.353043800527713,1.1699651941983298,1,0,1
chr1:6235295-6236407,1113,1,1,1,exon,ICMT,ENSG00000116237,0,0,631,0.08434701,0.08097797,91.5652987568507,631.0,6.4488893,0,1,0,True,0.4654406520512193,1.270722550020124,0,1,0
chr1:6382424-6382718,295,0,1,0,intron,ACOT7,ENSG00000097021,3094,0,104,0.013901885,0.01380614,98.60981152252371,104.0,4.65396,0,0,0,True,0.18677356231629633,0.9237422480346982,0,0,0
chr1:6393068-6394159,1092,1,1,1,exon,ACOT7,ENSG00000097021,0,0,680,0.09089694,0.08700024,90.91030610880898,680.0,6.5235624,0,1,0,True,0.3934648784711076,1.1527258079427098,0,1,0
chr1:6474426-6474963,538,1,1,0,exon,PLEKHG5,ENSG00000171680,2624,0,292,0.039032213,0.038289715,96.0967785055474,292.0,5.6801724,1,1,0,True,0.23585337105648652,1.0779524228394841,1,0,0
chr1:6490475-6490725,251,1,1,1,exon,PLEKHG5,ENSG00000171680,0,0,109,0.014570245,0.014465119,98.54297553802968,109.0,4.7004805,0,1,0,True,0.1802317896280415,1.0989490963305626,0,1,0
chr1:6515723-6516260,538,0,1,0,intron,PLEKHG5,ENSG00000171680,3748,0,161,0.021521186,0.021292876,97.84788129929154,161.0,5.0875964,0,0,0,True,0.25636270609925826,0.9906767799114181,0,0,0
chr1:6724473-6725130,658,0,0,0,intergenic,nan,nan,22548,0,149,0.019917123,0.019721372,98.00828766207728,149.0,5.0106354,0,0,0,True,0.34245963896140547,1.121501704123887,0,0,0
chr1:6753682-6754184,503,0,0,0,intergenic,nan,nan,31139,0,136,0.018179387,0.018016117,98.1820612217618,136.0,4.919981,0,0,0,True,0.33420306897134633,1.1111527801988108,0,0,0
chr1:6784201-6785538,1338,1,1,1,exon,CAMTA1,ENSG00000171735,0,0,932,0.124582276,0.11741166,87.54177249030877,932.0,6.838405,0,0,0,True,0.6034584706885104,1.1443388956580276,0,0,0
chr1:6810027-6810867,841,0,1,0,intron,CAMTA1,ENSG00000171735,3038,0,161,0.021521186,0.021292876,97.84788129929154,161.0,5.0875964,0,1,0,True,0.374670145019835,1.20619018551617,0,1,0
chr1:6836716-6837199,484,0,1,0,intron,CAMTA1,ENSG00000171735,11605,0,263,0.03515573,0.034551878,96.48442721561288,263.0,5.575949,0,1,1,True,0.2762732905559287,1.0509587388938098,0,0,1
chr1:6851955-6852798,844,0,1,1,promoter,CAMTA1,ENSG00000171735,249,0,176,0.023526266,0.02325379,97.64737334580938,176.0,5.17615,0,0,0,True,0.27369411144095535,1.0208661957052465,0,0,0
chr1:7401764-7402334,571,0,1,0,intron,CAMTA1,ENSG00000171735,334073,0,223,0.02980885,0.029373202,97.0191150915653,223.0,5.411646,0,0,0,True,0.2924068726158832,1.16038862987853,0,0,0
chr1:7770885-7771753,869,1,1,1,exon,VAMP3,ENSG00000049245,0,0,323,0.043176048,0.042269953,95.68239540168426,323.0,5.7807436,1,1,1,True,0.3072553417219615,1.1165524801997062,0,1,0
chr1:7783398-7784367,970,1,1,1,exon,PER3,ENSG00000049246,0,0,586,0.078331776,0.075415194,92.16682261729716,586.0,6.375025,0,1,1,True,0.40097602961002987,1.1906440981823485,0,1,0
chr1:7961171-7962011,841,1,1,1,exon,PARK7,ENSG00000116288,0,0,568,0.07592568,0.07318139,92.40743216147574,568.0,6.3438807,0,1,0,True,0.4090936402503774,1.1452978228678121,0,1,0
chr1:8025684-8027029,1346,1,1,1,exon,ERRFI1,ENSG00000116285,0,0,697,0.09316936,0.089081146,90.6830637615292,697.0,6.548219,0,1,0,True,0.44280417477408707,1.2446015789959854,0,1,0
chr1:8211723-8212377,655,0,0,0,intergenic,nan,nan,105448,0,413,0.055206522,0.053736504,94.47934768079134,413.0,6.025866,0,1,0,True,0.2985954313427749,1.1098927646010133,0,1,0
chr1:8348704-8349242,539,0,0,0,intergenic,nan,nan,5839,0,234,0.03127924,0.030800013,96.87207592567836,234.0,5.4595857,1,0,1,True,0.25764875619057725,1.1167543885438556,1,0,1
chr1:8449307-8449987,681,0,1,0,intron,RERE,ENSG00000142599,24094,0,186,0.024862986,0.024558932,97.51370137682127,186.0,5.2311087,0,1,0,True,0.24959466512010525,1.037197290122267,0,1,0
chr1:8789353-8789859,507,0,1,0,intron,RERE,ENSG00000142599,27605,0,109,0.014570245,0.014465119,98.54297553802968,109.0,4.7004805,1,0,1,True,0.09383532998070067,0.8656032641058308,0,0,0
chr1:8817492-8818182,691,1,1,1,exon,RERE,ENSG00000142599,0,0,403,0.053869803,0.052468915,94.61301964977945,403.0,6.001415,0,1,0,True,0.37601852201293834,1.1622555871048708,0,1,0
chr1:9038915-9039704,790,1,1,0,exon,SLC2A5,ENSG00000142583,190,0,345,0.04611683,0.04508505,95.38831706991044,345.0,5.846439,0,0,0,True,0.20108720448106276,0.9573655204450086,0,0,0
chr1:9071361-9072284,924,1,1,1,exon,SLC2A5,ENSG00000142583,0,0,388,0.051864725,0.050564516,94.8135276032616,388.0,5.963579,0,1,0,True,0.2684372505319133,1.1055105230071722,0,1,0
chr1:9128797-9129780,984,1,1,1,exon,GPR157,ENSG00000180758,0,0,626,0.083678655,0.08036142,91.63213474134474,626.0,6.4409466,0,1,0,True,0.3081994549931893,1.1859750664231201,0,1,0
chr1:9234216-9235103,888,1,1,1,exon,H6PD,ENSG00000049239,0,0,430,0.057478946,0.05588772,94.25210533351157,430.0,6.066108,0,1,0,True,0.4074217240686727,1.23413402108752,0,1,0
chr1:9428559-9429237,679,0,0,0,intergenic,nan,nan,72851,0,433,0.057879962,0.05626687,94.21200374281511,433.0,6.073045,0,1,0,True,0.40320093208975616,1.1450461030390222,0,1,0
chr1:9443865-9444431,567,0,0,0,intergenic,nan,nan,88157,0,237,0.031680256,0.03118879,96.83197433498196,237.0,5.4722705,0,0,0,True,0.28322376977692754,1.063143460372915,0,0,0
chr1:9538910-9540314,1405,1,1,1,exon,SLC25A33,ENSG00000171612,0,0,569,0.07605935,0.073305614,92.39406496457693,569.0,6.3456364,1,1,1,True,0.5018038466410988,1.2733522077853212,1,1,1
chr1:9909908-9911047,1140,1,1,1,exon,CTNNBIP1,ENSG00000178585,0,0,766,0.102392726,0.097483024,89.76072717551129,766.0,6.6424866,0,0,0,True,0.4446613670689637,1.1666331983555331,0,0,0
chr1:9942539-9943575,1037,1,1,1,exon,NMNAT1,ENSG00000173614,0,0,506,0.06763802,0.065448746,93.236198369202,506.0,6.228511,0,1,0,True,0.31726256138740605,1.1458904532958272,0,1,0
chr1:10032355-10033450,1096,1,1,1,exon,UBE4B,ENSG00000130939,0,0,717,0.0958428,0.09152375,90.415719823553,717.0,6.5764694,1,1,1,True,0.5005659529325902,1.2473631704802401,0,1,1
chr1:10058636-10059299,664,0,1,0,intron,UBE4B,ENSG00000130939,25039,0,266,0.035556745,0.0349392,96.44432562491644,266.0,5.587249,0,1,0,True,0.3126266652626065,1.1528842404786606,0,1,0
chr1:10084752-10085472,721,0,1,0,intron,UBE4B,ENSG00000130939,15388,0,361,0.04825558,0.047127433,95.17444191952949,361.0,5.891644,0,0,0,True,0.3306574026264241,1.1131193527825993,0,0,0
chr1:10209829-10211203,1375,1,1,1,exon,KIF1B,ENSG00000054523,0,0,601,0.080336854,0.07727289,91.966314663815,601.0,6.4002576,0,1,0,True,0.42432220465311526,1.1460366481678381,0,1,0
chr1:10430208-10430892,685,1,1,1,exon,APITD1,ENSG00000175279,0,0,288,0.038497526,0.037774984,96.15024729314264,288.0,5.6664267,0,0,1,True,0.3543393059720176,1.2285041088517616,0,0,1
chr1:10730978-10731480,503,0,1,0,intron,CASZ1,ENSG00000130940,25402,0,204,0.027269082,0.026903905,97.2730918326427,204.0,5.32301,1,0,1,True,0.23146290572043351,1.0835025277422423,0,0,0
chr1:11011812-11013236,1425,1,1,1,exon,RP4-635E18.9,ENSG00000277726,0,0,596,0.07966849,0.07665404,92.03315064830905,596.0,6.391917,1,1,0,True,0.4340106418538295,1.1816881831433068,0,1,0
chr1:11059547-11060317,771,1,1,1,exon,SRM,ENSG00000116649,0,0,338,0.045181125,0.044190194,95.4818874482021,338.0,5.826,0,1,0,True,0.36336634300011056,1.217437509667245,0,1,0
chr1:11676303-11676675,373,0,1,0,intron,MAD2L2,ENSG00000116670,4435,0,222,0.029675176,0.02924339,97.03248228846412,222.0,5.4071717,1,1,1,True,0.19242007381522036,0.9035071209676192,1,0,1
chr1:11719343-11719990,648,1,1,0,exon,DRAXIN,ENSG00000162490,16093,0,77,0.0102927415,0.010240132,98.9707258387916,77.0,4.356709,1,1,1,True,0.17031553225868143,1.0438652604678138,1,1,1
chr1:11735699-11736647,949,1,1,1,exon,AGTRAP,ENSG00000177674,0,0,336,0.04491378,0.043934375,95.50862184199973,336.0,5.820083,0,1,0,True,0.3139453726597085,1.0763268188897965,0,1,0
chr1:11805364-11806497,1134,1,1,1,exon,CLCN6,ENSG00000011021,0,0,979,0.13086486,0.1229827,86.9135142360647,979.0,6.8875527,0,1,0,True,0.5918265961479077,1.2087881584067983,0,1,0
chr1:11979789-11980590,802,1,1,1,exon,MFN2,ENSG00000116688,0,0,623,0.083277635,0.079991296,91.67223633204117,623.0,6.4361506,0,0,0,True,0.41556531931436536,1.219111068082478,0,0,0
chr1:12019082-12019613,532,1,1,1,exon,MIIP,ENSG00000116691,0,0,559,0.07472263,0.07206261,92.52773693356502,559.0,6.3279366,0,1,0,True,0.4031182687158895,1.1571557190847472,0,1,0
chr1:12131736-12132447,712,0,1,0,intron,TNFRSF8,ENSG00000120949,5801,0,356,0.04758722,0.046489634,95.24127790402352,356.0,5.8777356,1,1,1,True,0.2706283711984448,1.0699263681671944,0,0,0
chr1:12153199-12153861,663,0,0,0,intergenic,nan,nan,13081,0,472,0.06309317,0.061182745,93.69068306376153,472.0,6.1590953,0,1,0,True,0.34534474923325964,1.1687495390070148,0,1,0
chr1:12453977-12454204,228,0,1,0,intron,VPS13D,ENSG00000048707,10735,0,91,0.012164149,0.01209076,98.78358508220826,91.0,4.5217886,0,1,0,True,0.13504157509245832,0.962821337367267,0,1,0
chr1:12462477-12462844,368,0,1,0,intron,VPS13D,ENSG00000048707,2095,0,112,0.014971261,0.014860298,98.50287394733324,112.0,4.727388,1,1,0,True,0.2792325932959452,1.1021751097682275,0,0,0
chr1:12485267-12485822,556,0,1,0,intron,VPS13D,ENSG00000048707,11403,0,368,0.049191285,0.048019662,95.0808715412378,368.0,5.9107966,1,1,1,True,0.341289604961225,1.1351890268419533,0,1,1
chr1:12504720-12505466,747,0,1,0,intron,VPS13D,ENSG00000048707,7493,0,70,0.009357038,0.009313532,99.06429621708328,70.0,4.26268,1,0,1,True,0.19959625231486322,0.9259662403978862,1,0,0
chr1:12539813-12540607,795,0,0,0,intergenic,nan,nan,42586,0,342,0.045715813,0.04470164,95.42841866060688,342.0,5.8377304,1,1,1,True,0.4191898750309777,1.2638580731444757,0,1,1
chr1:12572532-12572934,403,1,1,0,exon,DHRS3,ENSG00000162496,23373,0,94,0.012565165,0.012486878,98.74348349151182,94.0,4.553877,0,0,0,True,0.25143942571232775,1.0839601323908188,0,0,0
chr1:12585604-12586078,475,0,1,0,intron,DHRS3,ENSG00000162496,10229,0,82,0.010961101,0.010901464,98.90388985429756,82.0,4.4188404,0,0,0,True,0.1752231911957192,0.8862992836302972,0,0,0
chr1:12595750-12596800,1051,1,1,1,exon,DHRS3,ENSG00000162496,0,0,453,0.0605534,0.058790848,93.94465980483892,453.0,6.1180973,1,1,1,True,0.3626915082712944,1.0888022889575295,1,1,1
chr1:12618092-12618594,503,0,0,1,promoter,DHRS3,ENSG00000162496,360,0,233,0.031145569,0.030670388,96.8854431225772,233.0,5.4553213,0,1,0,True,0.28318661214071533,1.139913529067216,0,1,0
chr1:13748702-13749793,1092,1,1,1,exon,PRDM2,ENSG00000116731,0,0,486,0.06496458,0.06294154,93.5035423071782,486.0,6.188264,0,1,0,True,0.44783557165948845,1.2328042625053777,0,1,0
chr1:13801162-13801592,431,0,1,0,intron,PRDM2,ENSG00000116731,29435,0,128,0.017110012,0.016965285,98.28899879695228,128.0,4.8598123,0,1,0,True,0.26022569966402503,1.0539458318671493,0,1,0
chr1:14137345-14138754,1410,0,1,0,intron,KAZN,ENSG00000189337,244552,0,317,0.042374015,0.041500818,95.76259858307714,317.0,5.7620516,0,1,0,True,0.34727653548283227,1.2575539410280703,0,1,0
chr1:14926089-14926531,443,0,1,0,intron,KAZN,ENSG00000189337,1958,0,174,0.023258923,0.022992557,97.674107739607,174.0,5.164786,0,1,0,True,0.2682572429229037,1.0939852324417596,0,0,0
chr1:15016425-15016899,475,0,1,0,intron,KAZN,ENSG00000189337,70505,0,282,0.037695494,0.037002385,96.23045047453547,282.0,5.645447,1,1,1,True,0.13890692293284454,0.8544226948051213,1,0,1
chr1:15356163-15357158,996,0,1,1,promoter,FHAD1,ENSG00000142621,632,0,259,0.03462104,0.034035217,96.53789600320812,259.0,5.560682,1,1,1,True,0.2974536345577355,1.0581073540902568,0,0,0
chr1:15409422-15410028,607,1,1,1,exon,EFHD2,ENSG00000142634,0,0,329,0.043978076,0.04303849,95.6021922202914,329.0,5.799093,0,0,0,True,0.269649589593793,1.0453268930061623,0,0,0
chr1:15523971-15525292,1322,1,1,1,exon,DNAJC16,ENSG00000116138,0,0,1240,0.16575325,0.15336744,83.4246758454752,1240.0,7.123673,0,0,1,True,0.5915919983056256,1.1784592296656586,0,0,1
chr1:15526427-15527051,625,1,1,1,exon,DNAJC16,ENSG00000116138,0,0,622,0.083143964,0.07986789,91.68560352893998,622.0,6.4345465,0,0,0,True,0.4211978288266282,1.207152187836849,0,0,0
chr1:15617042-15617715,674,1,1,1,exon,DDI2,ENSG00000197312,0,0,539,0.07204919,0.06957195,92.79508087154124,539.0,6.291569,0,1,0,True,0.3838060378165527,1.224526240949817,0,1,0
chr1:15681670-15681944,275,0,0,0,intergenic,nan,nan,2387,0,134,0.017912043,0.017753514,98.20879561555942,134.0,4.905275,0,1,0,True,0.24752799593208782,1.0551910796344162,0,1,0
chr1:15734781-15735511,731,0,0,1,promoter,SLC25A34,ENSG00000162461,893,0,379,0.050661676,0.049420133,94.93383237535087,379.0,5.9401712,0,1,0,True,0.38021660426269827,1.1863405264449303,0,1,0
chr1:15788069-15788843,775,0,0,0,intergenic,nan,nan,10995,0,412,0.05507285,0.05360982,94.49271487769016,412.0,6.0234475,0,1,0,True,0.3587496003138286,1.127062011931399,0,0,0
chr1:15799928-15800758,831,0,0,0,intergenic,nan,nan,8589,0,474,0.06336051,0.061434187,93.6639486699639,474.0,6.163315,0,1,0,True,0.3512467883608166,1.1880879093421688,0,1,0
chr1:15820280-15821198,919,0,0,0,intergenic,nan,nan,10931,0,237,0.031680256,0.03118879,96.83197433498196,237.0,5.4722705,0,0,0,True,0.28853610571388455,1.0834201686793699,0,0,0
chr1:15834346-15835200,855,0,0,0,intergenic,nan,nan,12663,0,453,0.0605534,0.058790848,93.94465980483892,453.0,6.1180973,0,1,0,True,0.3778124567395384,1.2390626521234167,0,1,0
chr1:15835493-15836232,740,0,0,0,intergenic,nan,nan,11631,0,560,0.0748563,0.072186984,92.51436973666624,560.0,6.329721,0,1,0,True,0.36559310508723425,1.219934514110861,0,1,0
