Sample,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in Sample Index,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
Pla_HDBR10142768,"7,634","119,633","2,454","913,285,107",98.7%,76.4%,97.0%,94.8%,94.4%,96.6%,94.8%,91.2%,3.6%,19.0%,68.6%,65.1%,1.2%,86.1%,"25,369","7,628"
Pla_HDBR10142769,"16,429","48,459","1,608","796,141,905",98.7%,64.3%,97.0%,94.8%,98.0%,96.6%,96.7%,93.8%,3.7%,19.3%,70.8%,66.6%,1.4%,81.9%,"25,920","3,932"
Pla_HDBR10142770,"12,774","48,438","1,742","618,747,303",98.8%,64.6%,97.0%,94.9%,97.7%,96.6%,96.7%,93.8%,3.1%,17.1%,73.6%,69.6%,1.2%,84.8%,"25,424","4,191"
Pla_HDBR8624430,"3,362","77,294","1,231","259,863,587",83.8%,81.2%,96.6%,93.5%,93.6%,96.4%,76.6%,56.3%,10.6%,7.3%,39.6%,35.3%,2.6%,88.2%,"20,432","2,918"
Pla_HDBR8624431,"5,218","62,975","1,369","328,605,005",88.8%,80.0%,96.7%,93.7%,93.9%,96.4%,87.6%,75.2%,9.8%,5.5%,61.0%,55.7%,2.8%,91.4%,"22,637","3,395"
Pla_HDBR8768477,"2,409","240,893","1,319","580,313,602",84.4%,95.1%,94.8%,89.4%,88.5%,94.3%,88.0%,69.3%,12.2%,7.1%,51.6%,47.1%,2.6%,92.5%,"20,116","3,382"
Pla_HDBR8715512,221,"2,588,385",490,"572,033,181",86.3%,98.2%,97.0%,91.2%,95.1%,96.6%,72.5%,60.3%,23.2%,3.6%,34.2%,30.7%,2.0%,82.1%,"15,163","1,638"
Pla_HDBR8715514,"1,939","306,481","1,255","594,267,016",85.9%,95.6%,96.7%,93.6%,92.1%,96.4%,82.6%,62.2%,10.8%,8.9%,44.2%,39.6%,2.7%,82.3%,"19,087","2,865"
Pla_HDBR10917730,"14,881","31,076","2,040","462,449,472",98.2%,50.2%,97.2%,94.8%,98.3%,97.0%,96.1%,90.7%,3.0%,22.2%,65.5%,60.7%,1.6%,88.3%,"25,849","6,210"
Pla_HDBR10917731,"13,598","36,308","2,630","493,720,956",98.2%,46.4%,97.1%,95.2%,97.6%,96.9%,97.0%,91.1%,3.0%,17.7%,70.4%,63.6%,1.9%,85.7%,"25,487","8,946"
Pla_HDBR10917733,"20,332","22,813","1,992","463,836,163",98.0%,35.1%,97.1%,94.5%,98.5%,96.9%,96.2%,92.1%,3.4%,16.8%,72.0%,67.8%,1.5%,86.5%,"25,776","5,782"
Pla_HDBR10701667,"16,867","17,027","1,549","287,206,349",96.1%,28.7%,96.5%,93.7%,96.5%,96.3%,84.1%,75.8%,4.9%,12.1%,58.7%,54.9%,1.6%,80.1%,"23,760","4,517"
Pla_HDBR10701668,"13,463","18,410","1,795","247,865,210",96.9%,31.4%,96.6%,94.8%,96.4%,96.5%,92.8%,87.3%,7.4%,19.5%,60.4%,57.2%,1.1%,79.8%,"24,378","5,214"
