uniprot	Entry	gene_name
P01611	KVD12_HUMAN	IGKV1D-12
P01615	KVD28_HUMAN	IGKV2D-28
Q15334	L2GL1_HUMAN	LLGL1
Q6ZP29	LAAT1_HUMAN	PQLC2
Q9GZZ8	LACRT_HUMAN	LACRT
Q5T7P2	LCE1A_HUMAN	LCE1A
Q5T753	LCE1E_HUMAN	LCE1E
O14633	LCE2B_HUMAN	LCE2B
Q5T5B0	LCE3E_HUMAN	LCE3E
P06239	LCK_HUMAN	LCK
P07195	LDHB_HUMAN	LDHB
Q969X1	LFG3_HUMAN	TMBIM1
Q9BXB1	LGR4_HUMAN	LGR4
P15018	LIF_HUMAN	LIF
Q8TAP4	LMO3_HUMAN	LMO3
Q6P5Q4	LMOD2_HUMAN	LMOD2
P16050	LOX15_HUMAN	ALOX15
Q9BYJ1	LOXE3_HUMAN	ALOXE3
Q9HBW0	LPAR2_HUMAN	LPAR2
Q9UBY5	LPAR3_HUMAN	LPAR3
O15165	LRAD4_HUMAN	LDLRAD4
Q8IWT6	LRC8A_HUMAN	LRRC8A
Q6NSJ5	LRC8E_HUMAN	LRRC8E
O75197	LRP5_HUMAN	LRP5
Q14114	LRP8_HUMAN	LRP8
Q9Y608	LRRF2_HUMAN	LRRFIP2
Q5S007	LRRK2_HUMAN	LRRK2
Q6UWE0	LRSM1_HUMAN	LRSAM1
P08581	MET_HUMAN	MET
P55083	MFAP4_HUMAN	MFAP4
Q13361	MFAP5_HUMAN	MFAP5
Q7RTP6	MICA3_HUMAN	MICAL3
P14174	MIF_HUMAN	MIF
Q8N5J2	MINY1_HUMAN	MINDY1
Q9Y3D0	MIP18_HUMAN	FAM96B
P53779	MK10_HUMAN	MAPK10
Q15759	MK11_HUMAN	MAPK11
Q9NXB0	MKS1_HUMAN	MKS1
Q5HYA8	MKS3_HUMAN	TMEM67
O14950	ML12B_HUMAN	MYL12B
Q15049	MLC1_HUMAN	MLC1
Q9UHC1	MLH3_HUMAN	MLH3
Q9Y4U1	MMAC_HUMAN	MMACHC
Q9H8L6	MMRN2_HUMAN	MMRN2
Q99583	MNT_HUMAN	MNT
Q96BY2	MOAP1_HUMAN	MOAP1
Q7L9L4	MOB1B_HUMAN	MOB1B
Q3SYC2	MOGT2_HUMAN	MOGAT2
Q8NCK7	MOT11_HUMAN	SLC16A11
O15427	MOT4_HUMAN	SLC16A3
Q13163	MP2K5_HUMAN	MAP2K5
Q8N3R9	MPP5_HUMAN	MPP5
Q96NY9	MUS81_HUMAN	MUS81
P53602	MVD1_HUMAN	MVD
P20591	MX1_HUMAN	MX1
P20592	MX2_HUMAN	MX2
P50539	MXI1_HUMAN	MXI1
Q96S97	MYADM_HUMAN	MYADM
P10244	MYBB_HUMAN	MYBL2
P04198	MYCN_HUMAN	MYCN
Q99836	MYD88_HUMAN	MYD88
P23409	MYF6_HUMAN	MYF6
Q8WY64	MYLIP_HUMAN	MYLIP
P28698	MZF1_HUMAN	MZF1
Q86UY6	NAA40_HUMAN	NAA40
Q02083	NAAA_HUMAN	NAAA
Q15742	NAB2_HUMAN	NAB2
P17050	NAGAB_HUMAN	NAGA
Q9H0A0	NAT10_HUMAN	NAT10
Q9UHF3	NAT8B_HUMAN	NAT8B
Q8N9F0	NAT8L_HUMAN	NAT8L
Q8IVL0	NAV3_HUMAN	NAV3
Q6BCY4	NB5R2_HUMAN	CYB5R2
Q7L1T6	NB5R4_HUMAN	CYB5R4
P41271	NBL1_HUMAN	NBL1
O60934	NBN_HUMAN	NBN
Q15080	NCF4_HUMAN	NCF4
P16333	NCK1_HUMAN	NCK1
P55160	NCKPL_HUMAN	NCKAP1L
Q15596	NCOA2_HUMAN	NCOA2
Q14686	NCOA6_HUMAN	NCOA6
O75376	NCOR1_HUMAN	NCOR1
P50851	LRBA_HUMAN	LRBA
Q2I0M4	LRC26_HUMAN	LRRC26
Q8TDW0	LRC8C_HUMAN	LRRC8C
Q96JA1	LRIG1_HUMAN	LRIG1
Q12912	LRMP_HUMAN	LRMP
Q9Y561	LRP12_HUMAN	LRP12
Q9Y333	LSM2_HUMAN	LSM2
P62310	LSM3_HUMAN	LSM3
Q6IAA8	LTOR1_HUMAN	LAMTOR1
Q0VGL1	LTOR4_HUMAN	LAMTOR4
P28300	LYOX_HUMAN	LOX
P41279	M3K8_HUMAN	MAP3K8
P33908	MA1A1_HUMAN	MAN1A1
Q9UKM7	MA1B1_HUMAN	MAN1B1
Q9NTJ4	MA2C1_HUMAN	MAN2C1
Q8WXG6	MADD_HUMAN	MADD
P43360	MAGA6_HUMAN	MAGEA6
Q9UBF1	MAGC2_HUMAN	MAGEC2
Q9Y5V3	MAGD1_HUMAN	MAGED1
Q9UNF1	MAGD2_HUMAN	MAGED2
Q9UDY8	MALT1_HUMAN	MALT1
Q13495	MAMD1_HUMAN	MAMLD1
Q8IZL2	MAML2_HUMAN	MAML2
O60337	MARH6_HUMAN	MARCH6
P48740	MASP1_HUMAN	MASP1
P56270	MAZ_HUMAN	MAZ
Q9H7P6	MB12B_HUMAN	MVB12B
O95243	MBD4_HUMAN	MBD4
Q8N8R3	MCATL_HUMAN	SLC25A29
D6RGH6	MCIN_HUMAN	MCIDAS
P25205	MCM3_HUMAN	MCM3
P33991	MCM4_HUMAN	MCM4
P33992	MCM5_HUMAN	MCM5
Q14566	MCM6_HUMAN	MCM6
Q9Y6D9	MD1L1_HUMAN	MAD1L1
Q4G0N4	NAKD2_HUMAN	NADK2
Q8WY41	NANO1_HUMAN	NANOS1
O96009	NAPSA_HUMAN	NAPSA
Q8NEY1	NAV1_HUMAN	NAV1
A0A0U1RRE5	NBDY_HUMAN	NBDY
P52298	NCBP2_HUMAN	NCBP2
Q9HCH0	NCK5L_HUMAN	NCKAP5L
Q13562	NDF1_HUMAN	NEUROD1
Q9Y5B8	NDK7_HUMAN	NME7
Q9NX14	NDUBB_HUMAN	NDUFB11
P28331	NDUS1_HUMAN	NDUFS1
Q7Z6G3	NECA2_HUMAN	NECAB2
Q92692	NECT2_HUMAN	NECTIN2
Q96PU5	NED4L_HUMAN	NEDD4L
P46934	NEDD4_HUMAN	NEDD4
Q8TD19	NEK9_HUMAN	NEK9
Q92832	NELL1_HUMAN	NELL1
Q92859	NEO1_HUMAN	NEO1
Q14494	NF2L1_HUMAN	NFE2L1
Q8NET5	NFAM1_HUMAN	NFAM1
Q16621	NFE2_HUMAN	NFE2
P07196	NFL_HUMAN	NEFL
P22392	NDKB_HUMAN	NME2
Q15843	NEDD8_HUMAN	NEDD8
P80188	NGAL_HUMAN	LCN2
Q8TCU5	NMD3A_HUMAN	GRIN3A
O60391	NMD3B_HUMAN	GRIN3B
Q9Y3T9	NOC2L_HUMAN	NOC2L
Q9Y314	NOSIP_HUMAN	NOSIP
Q9UM47	NOTC3_HUMAN	NOTCH3
O75469	NR1I2_HUMAN	NR1I2
P56975	NRG3_HUMAN	NRG3
O14786	NRP1_HUMAN	NRP1
O60462	NRP2_HUMAN	NRP2
O96028	NSD2_HUMAN	NSD2
Q15738	NSDHL_HUMAN	NSDHL
Q96CB9	NSUN4_HUMAN	NSUN4
Q9Y5A7	NUB1_HUMAN	NUB1
Q16795	NDUA9_HUMAN	NDUFA9
Q9P0J0	NDUAD_HUMAN	NDUFA13
Q9Y6M9	NDUB9_HUMAN	NDUFB9
Q7L592	NDUF7_HUMAN	NDUFAF7
O00217	NDUS8_HUMAN	NDUFS8
P19404	NDUV2_HUMAN	NDUFV2
O76041	NEBL_HUMAN	NEBL
P20929	NEBU_HUMAN	NEB
P29120	NEC1_HUMAN	PCSK1
Q8NHV4	NEDD1_HUMAN	NEDD1
Q96FI4	NEIL1_HUMAN	NEIL1
Q6ZWH5	NEK10_HUMAN	NEK10
P51957	NEK4_HUMAN	NEK4
Q9HC98	NEK6_HUMAN	NEK6
Q8TDX7	NEK7_HUMAN	NEK7
P18615	NELFE_HUMAN	NELFE
Q9Y6K9	NEMO_HUMAN	IKBKG
Q92979	NEP1_HUMAN	EMG1
P08473	NEP_HUMAN	MME
O95631	NET1_HUMAN	NTN1
O76050	NEUL1_HUMAN	NEURL1
Q9Y697	NFS1_HUMAN	NFS1
Q15599	NHRF2_HUMAN	SLC9A3R2
Q6T4R5	NHS_HUMAN	NHS
P26715	NKG2A_HUMAN	KLRC1
P52952	NKX25_HUMAN	NKX2-5
Q9NPP4	NLRC4_HUMAN	NLRC4
Q96P20	NLRP3_HUMAN	NLRP3
Q8NA29	NLS1_HUMAN	MFSD2A
P22307	NLTP_HUMAN	SCP2
Q12879	NMDE1_HUMAN	GRIN2A
Q14957	NMDE3_HUMAN	GRIN2C
Q05586	NMDZ1_HUMAN	GRIN1
Q9HAN9	NMNA1_HUMAN	NMNAT1
O60551	NMT2_HUMAN	NMT2
Q9BZE4	NOG1_HUMAN	GTPBP4
Q13823	NOG2_HUMAN	GNL2
O60936	NOL3_HUMAN	NOL3
Q14978	NOLC1_HUMAN	NOLC1
Q5C9Z4	NOM1_HUMAN	NOM1
O00567	NOP56_HUMAN	NOP56
Q6J4K2	NCLX_HUMAN	SLC8B1
Q13772	NCOA4_HUMAN	NCOA4
O76036	NCTR1_HUMAN	NCR1
O00746	NDKM_HUMAN	NME4
P52849	NDST2_HUMAN	NDST2
O95803	NDST3_HUMAN	NDST3
Q9P032	NDUF4_HUMAN	NDUFAF4
Q5TEU4	NDUF5_HUMAN	NDUFAF5
Q86SG6	NEK8_HUMAN	NEK8
Q8WX92	NELFB_HUMAN	NELFB
Q8N9A8	NEPR1_HUMAN	CNEP1R1
P48681	NEST_HUMAN	NES
Q16236	NF2L2_HUMAN	NFE2L2
O95644	NFAC1_HUMAN	NFATC1
Q13469	NFAC2_HUMAN	NFATC2
O94856	NFASC_HUMAN	NFASC
P08651	NFIC_HUMAN	NFIC
Q6P4R8	NFRKB_HUMAN	NFRKB
Q12986	NFX1_HUMAN	NFX1
Q96E22	NGBR_HUMAN	NUS1
Q9NPG2	NGB_HUMAN	NGB
Q96IV0	NGLY1_HUMAN	NGLY1
Q9Y4Z2	NGN3_HUMAN	NEUROG3
Q6VVB1	NHLC1_HUMAN	NHLRC1
Q9NX24	NHP2_HUMAN	NHP2
P14543	NID1_HUMAN	NID1
Q9GZT8	NIF3L_HUMAN	NIF3L1
Q9NQR4	NIT2_HUMAN	NIT2
Q9NZ94	NLGN3_HUMAN	NLGN3
Q86WI3	NLRC5_HUMAN	NLRC5
Q9C000	NLRP1_HUMAN	NLRP1
Q86UT6	NLRX1_HUMAN	NLRX1
Q96D46	NMD3_HUMAN	NMD3
Q96T66	NMNA3_HUMAN	NMNAT3
Q9HBL8	NMRL1_HUMAN	NMRAL1
P30419	NMT1_HUMAN	NMT1
Q8NCW5	NNRE_HUMAN	NAXE
Q99784	NOE1_HUMAN	OLFM1
Q9NPE3	NOP10_HUMAN	NOP10
Q9Y2X3	NOP58_HUMAN	NOP58
Q6P988	NOTUM_HUMAN	NOTUM
Q86UR1	NOXA1_HUMAN	NOXA1
Q8IXF0	NPAS3_HUMAN	NPAS3
P06748	NPM_HUMAN	NPM1
Q14916	NPT1_HUMAN	SLC17A1
Q14994	NR1I3_HUMAN	NR1I3
Q86VF7	NRAP_HUMAN	NRAP
Q7Z2Y5	NRK_HUMAN	NRK
Q9Y6Y0	NS1BP_HUMAN	IVNS1ABP
Q9BZ95	NSD3_HUMAN	NSD3
O60906	NSMA_HUMAN	SMPD2
Q8TCD5	NT5C_HUMAN	NT5C
Q96HA8	NTAQ1_HUMAN	WDYHV1
P34130	NTF4_HUMAN	NTF4
Q9BV86	NTM1A_HUMAN	NTMT1
Q96EK9	KTI12_HUMAN	KTI12
A0A087WSZ0	KVD08_HUMAN	IGKV1D-8
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20
P04432	KVD39_HUMAN	IGKV1D-39
A6NMS7	L37A1_HUMAN	LRRC37A
O60309	L37A3_HUMAN	LRRC37A3
Q5TA77	LCE3B_HUMAN	LCE3B
Q96L11	LCFC1_HUMAN	LLCFC1
Q96DT0	LEG12_HUMAN	LGALS12
Q6P5S2	LEG1H_HUMAN	LEG1
Q5TDP6	LGSN_HUMAN	LGSN
Q7Z7J7	LHPL4_HUMAN	LHFPL4
Q8TAF8	LHPL5_HUMAN	LHFPL5
Q9H2C1	LHX5_HUMAN	LHX5
Q9UPM6	LHX6_HUMAN	LHX6
Q9NQ69	LHX9_HUMAN	LHX9
Q6ZQX7	LIAT1_HUMAN	LIAT1
Q8N448	LNX2_HUMAN	LNX2
Q9BQK8	LPIN3_HUMAN	LPIN3
A6NIK2	LR10B_HUMAN	LRRC10B
Q96QE4	LR37B_HUMAN	LRRC37B
Q5SZI1	LRAD2_HUMAN	LDLRAD2
Q8N456	LRC18_HUMAN	LRRC18
Q53EV4	LRC23_HUMAN	LRRC23
Q50LG9	LRC24_HUMAN	LRRC24
Q86X40	LRC28_HUMAN	LRRC28
A6NM36	LRC30_HUMAN	LRRC30
Q6UY01	LRC31_HUMAN	LRRC31
Q5VT99	LRC38_HUMAN	LRRC38
Q8N7C0	LRC52_HUMAN	LRRC52
Q96CX6	LRC58_HUMAN	LRRC58
Q9BTN0	LRFN3_HUMAN	LRFN3
Q6PJG9	LRFN4_HUMAN	LRFN4
Q96NI6	LRFN5_HUMAN	LRFN5
Q86VZ4	LRP11_HUMAN	LRP11
Q9NZR2	LRP1B_HUMAN	LRP1B
Q7Z2Q7	LRR70_HUMAN	LRRC70
Q9BYS8	LRRC2_HUMAN	LRRC2
Q6ZRR7	LRRC9_HUMAN	LRRC9
Q86VH4	LRRT4_HUMAN	LRRTM4
Q13449	LSAMP_HUMAN	LSAMP
Q9H8H3	MET7A_HUMAN	METTL7A
Q8N3J2	METL4_HUMAN	METTL4
Q9H1A3	METL9_HUMAN	METTL9
Q9UJH8	METRN_HUMAN	METRN
P55001	MFAP2_HUMAN	MFAP2
Q9H081	MIS12_HUMAN	MIS12
Q6NVV0	MKRN5_HUMAN	MKRN9P
Q96BX8	MOB3A_HUMAN	MOB3A
Q9Y605	MOFA1_HUMAN	MRFAP1
Q96PD6	MOGT1_HUMAN	MOGAT1
Q7Z3U7	MON2_HUMAN	MON2
Q6PF18	MORN3_HUMAN	MORN3
Q5VZ52	MORN5_HUMAN	MORN5
Q9NRJ1	MOST1_HUMAN	C8orf17
O95907	MOT3_HUMAN	SLC16A8
Q6UVY6	MOXD1_HUMAN	MOXD1
O95563	MPC2_HUMAN	MPC2
Q13368	MPP3_HUMAN	MPP3
Q96JB8	MPP4_HUMAN	MPP4
Q99550	MPP9_HUMAN	MPHOSPH9
O75439	MPPB_HUMAN	PMPCB
A8MV57	MPTX_HUMAN	MPTX1
O75352	MPU1_HUMAN	MPDU1
O60682	MUSC_HUMAN	MSC
Q8N9H8	MUT7_HUMAN	EXD3
P12524	MYCL_HUMAN	MYCL
Q9P2K5	MYEF2_HUMAN	MYEF2
Q9HB07	MYG1_HUMAN	C12orf10
Q9Y2K3	MYH15_HUMAN	MYH15
P05976	MYL1_HUMAN	MYL1
Q86YV6	MYLK4_HUMAN	MYLK4
A0A1B0GTQ4	MYMX_HUMAN	MYMX
Q9NP98	MYOZ1_HUMAN	MYOZ1
Q14324	MYPC2_HUMAN	MYBPC2
Q86VE0	MYPOP_HUMAN	MYPOP
Q6P582	MZT2A_HUMAN	MZT2A
Q9UHQ1	NARF_HUMAN	NARF
Q9BTE0	NAT9_HUMAN	NAT9
Q6IPT4	NB5R5_HUMAN	CYB5RL
Q8NFP9	NBEA_HUMAN	NBEA
Q86XG9	NBPF5_HUMAN	NBPF5P
Q5VWK0	NBPF6_HUMAN	NBPF6
Q3BBV2	NBPF8_HUMAN	NBPF8
Q6P3W6	NBPFA_HUMAN	NBPF10
Q5TAG4	NBPFC_HUMAN	NBPF12
Q8N660	NBPFF_HUMAN	NBPF15
A0A087WUL8	NBPFJ_HUMAN	NBPF19
O15453	NBR2_HUMAN	NBR2
Q8NCQ3	NC301_HUMAN	LINC00301
O14513	NCKP5_HUMAN	NCKAP5
Q9HCD5	NCOA5_HUMAN	NCOA5
A6NHZ5	LR14B_HUMAN	LRRC14B
Q0VAA2	LR74A_HUMAN	LRRC74A
Q15048	LRC14_HUMAN	LRRC14
Q8N386	LRC25_HUMAN	LRRC25
Q96PB8	LRC3B_HUMAN	LRRC3B
Q15345	LRC41_HUMAN	LRRC41
Q96CN5	LRC45_HUMAN	LRRC45
Q96FV0	LRC46_HUMAN	LRRC46
Q5JTD7	LRC73_HUMAN	LRRC73
Q96M69	LRGUK_HUMAN	LRGUK
O94898	LRIG2_HUMAN	LRIG2
A6PVS8	LRIQ3_HUMAN	LRRIQ3
Q9H2I8	LRMDA_HUMAN	LRMDA
Q7Z4F1	LRP10_HUMAN	LRP10
Q6UXK5	LRRN1_HUMAN	LRRN1
P83369	LSM11_HUMAN	LSM11
Q6UX82	LYPD8_HUMAN	LYPD8
Q5VWZ2	LYPL1_HUMAN	LYPLAL1
Q7Z3D4	LYSM3_HUMAN	LYSMD3
Q8TC57	M1AP_HUMAN	M1AP
Q96PG2	M4A10_HUMAN	MS4A10
Q5J8X5	M4A13_HUMAN	MS4A13
Q8N5U1	M4A15_HUMAN	MS4A15
Q96DS6	M4A6E_HUMAN	MS4A6E
A6NCF6	MA13P_HUMAN	MAGEA13P
Q3KQU3	MA7D1_HUMAN	MAP7D1
Q14582	MAD4_HUMAN	MXD4
Q8WZ33	MAFIP_HUMAN	MAFIP
P43359	MAGA5_HUMAN	MAGEA5
P43363	MAGAA_HUMAN	MAGEA10
P43365	MAGAC_HUMAN	MAGEA12
O15480	MAGB3_HUMAN	MAGEB3
Q8N7X4	MAGB6_HUMAN	MAGEB6
Q9HAY2	MAGF1_HUMAN	MAGEF1
Q9P2E8	MARH4_HUMAN	MARCH4
C9JLW8	MCRI1_HUMAN	MCRIP1
Q9Y303	NAGA_HUMAN	AMDHD2
Q6NSW7	NANP8_HUMAN	NANOGP8
Q15784	NDF2_HUMAN	NEUROD2
Q13232	NDK3_HUMAN	NME3
P56597	NDK5_HUMAN	NME5
O43674	NDUB5_HUMAN	NDUFB5
E9PQ53	NDUCR_HUMAN	NDUFC2-KCTD14
Q9BU61	NDUF3_HUMAN	NDUFAF3
O43920	NDUS5_HUMAN	NDUFS5
P56181	NDUV3_HUMAN	NDUFV3
Q99608	NECD_HUMAN	NDN
O14524	NEMP1_HUMAN	NEMP1
O00634	NET3_HUMAN	NTN3
Q8TDF5	NETO1_HUMAN	NETO1
P56730	NETR_HUMAN	PRSS12
Q9Y4A8	NF2L3_HUMAN	NFE2L3
O75414	NDK6_HUMAN	NME6
Q8NFW8	NEUA_HUMAN	CMAS
Q5QGS0	NEXMI_HUMAN	NEXMIF
P0CG21	NHLC4_HUMAN	NHLRC4
Q9Y221	NIP7_HUMAN	NIP7
O43908	NKG2F_HUMAN	KLRC4
P30414	NKTR_HUMAN	NKTR
O95096	NKX22_HUMAN	NKX2-2
Q7RTR0	NLRP9_HUMAN	NLRP9
Q8NC60	NOA1_HUMAN	NOA1
O60393	NOBOX_HUMAN	NOBOX
Q9BVI4	NOC4L_HUMAN	NOC4L
Q9BSC4	NOL10_HUMAN	NOL10
Q9H7Z3	NRDE2_HUMAN	NRDE2
Q63ZY6	NSN5C_HUMAN	NSUN5P2
Q14973	NTCP_HUMAN	SLC10A1
Q9NRX3	NUA4L_HUMAN	NDUFA4L2
O43678	NDUA2_HUMAN	NDUFA2
O00483	NDUA4_HUMAN	NDUFA4
Q8NBZ9	NEAS1_HUMAN	NEXN-AS1
Q9UMX5	NENF_HUMAN	NENF
Q6NW34	NEPRO_HUMAN	NEPRO
Q9HB63	NET4_HUMAN	NTN4
Q8WTR8	NET5_HUMAN	NTN5
Q92686	NEUG_HUMAN	NRGN
Q8NEJ9	NGDN_HUMAN	NGDN
Q8N5V2	NGEF_HUMAN	NGEF
Q86XR2	NIBL2_HUMAN	FAM129C
Q9NZG7	NINJ2_HUMAN	NINJ2
Q5VXU1	NKAI2_HUMAN	NKAIN2
Q6ZUT1	NKAP1_HUMAN	NKAPD1
Q8TAU0	NKX23_HUMAN	NKX2-3
Q16517	NNAT_HUMAN	NNAT
Q8WTT2	NOC3L_HUMAN	NOC3L
Q9H8H0	NOL11_HUMAN	NOL11
Q5JPE7	NOMO2_HUMAN	NOMO2
Q9Y3C1	NOP16_HUMAN	NOP16
Q969V3	NCLN_HUMAN	NCLN
Q9HD90	NDF4_HUMAN	NEUROD4
Q96NK8	NDF6_HUMAN	NEUROD6
O60361	NDK8_HUMAN	NME2P1
O43676	NDUB3_HUMAN	NDUFB3
Q6P3R8	NEK5_HUMAN	NEK5
A6NFY4	NEMP2_HUMAN	NEMP2
P30990	NEUT_HUMAN	NTS
Q9H2A3	NGN2_HUMAN	NEUROG2
Q5JS37	NHLC3_HUMAN	NHLRC3
Q6NVV3	NIPA3_HUMAN	NIPAL1
Q9HAS0	NJMU_HUMAN	C17orf75
Q07444	NKG2E_HUMAN	KLRC3
Q9H2Z4	NKX24_HUMAN	NKX2-4
O15522	NKX28_HUMAN	NKX2-8
P08949	NMB_HUMAN	NMB
Q5H8A3	NMS_HUMAN	NMS
Q9ULX3	NOB1_HUMAN	NOB1
Q9H6R4	NOL6_HUMAN	NOL6
A6NFF2	NP1L6_HUMAN	NAP1L6
P61581	NP24_HUMAN	ERVK-24
P61583	NP5_HUMAN	ERVK-5
E5RHQ5	NPB11_HUMAN	NPIPB11
F8WFD2	NPIA3_HUMAN	NPIPA3
P0DM63	NPIA8_HUMAN	NPIPA8
C9JG80	NPIB4_HUMAN	NPIPB4
O75200	NPIB7_HUMAN	NPIPB7
Q9UFN0	NPS3A_HUMAN	NIPSNAP3A
Q15818	NPTX1_HUMAN	NPTX1
P50391	NPY4R_HUMAN	NPY4R
Q7Z6K4	NRARP_HUMAN	NRARP
Q9NSY0	NRBP2_HUMAN	NRBP2
Q9NXX6	NSE4A_HUMAN	NSMCE4A
Q9H649	NSUN3_HUMAN	NSUN3
Q0GE19	NTCP7_HUMAN	SLC10A7
A1L443	NTM2F_HUMAN	NUTM2F
Q9Y2I2	NTNG1_HUMAN	NTNG1
Q96CW9	NTNG2_HUMAN	NTNG2
P30989	NTR1_HUMAN	NTSR1
Q9P121	NTRI_HUMAN	NTM
P57740	NU107_HUMAN	NUP107
O75694	NU155_HUMAN	NUP155
P03886	NU1M_HUMAN	MT-ND1
Q00604	NDP_HUMAN	NDP
Q16718	NDUA5_HUMAN	NDUFA5
Q86Y39	NDUAB_HUMAN	NDUFA11
O43677	NDUC1_HUMAN	NDUFC1
Q8N183	NDUF2_HUMAN	NDUFAF2
A1L188	NDUF8_HUMAN	NDUFAF8
O75306	NDUS2_HUMAN	NDUFS2
O75251	NDUS7_HUMAN	NDUFS7
Q9ULJ8	NEB1_HUMAN	PPP1R9A
Q8NC96	NECP1_HUMAN	NECAP1
Q9NQS3	NECT3_HUMAN	NECTIN3
Q12968	NFAC3_HUMAN	NFATC3
Q14934	NFAC4_HUMAN	NFATC4
O94916	NFAT5_HUMAN	NFAT5
Q16649	NFIL3_HUMAN	NFIL3
Q9BT67	NFIP1_HUMAN	NDFIP1
Q14938	NFIX_HUMAN	NFIX
P25208	NFYB_HUMAN	NFYB
Q5T2W1	NHRF3_HUMAN	PDZK1
Q8IY84	NIM1_HUMAN	NIM1K
Q7RTP0	NIPA1_HUMAN	NIPA1
Q0D2K0	NIPA4_HUMAN	NIPAL4
Q86X76	NIT1_HUMAN	NIT1
P25103	NK1R_HUMAN	TACR1
P21452	NK2R_HUMAN	TACR2
Q8N8D7	NKAI3_HUMAN	NKAIN3
Q8IVV8	NKAI4_HUMAN	NKAIN4
Q9UBE8	NLK_HUMAN	NLK
Q7RTR2	NLRC3_HUMAN	NLRC3
Q9BZQ4	NMNA2_HUMAN	NMNAT2
Q9HB89	NMUR1_HUMAN	NMUR1
Q9UK39	NOCT_HUMAN	NOCT
Q13253	NOGG_HUMAN	NOG
Q15233	NONO_HUMAN	NONO
P78316	NOP14_HUMAN	NOP14
P46087	NOP2_HUMAN	NOP2
Q8WTW4	NPRL2_HUMAN	NPRL2
P0C0P6	NPS_HUMAN	NPS
Q9Y639	NPTN_HUMAN	NPTN
Q9HCQ7	NPVF_HUMAN	NPVF
P25929	NPY1R_HUMAN	NPY1R
P01303	NPY_HUMAN	NPY
O00482	NR5A2_HUMAN	NR5A2
P49279	NRAM1_HUMAN	SLC11A1
Q9UHY1	NRBP_HUMAN	NRBP1
O43847	NRDC_HUMAN	NRDC
Q9GZP1	NRSN2_HUMAN	NRSN2
Q99748	NRTN_HUMAN	NRTN
P61578	REC16_HUMAN	ERVK-16
Q69383	REC6_HUMAN	ERVK-6
O95072	REC8_HUMAN	REC8
P61573	REC9_HUMAN	ERVK-9
O95980	RECK_HUMAN	RECK
Q01201	RELB_HUMAN	RELB
Q96A58	RERG_HUMAN	RERG
Q13127	REST_HUMAN	REST
P50120	RET2_HUMAN	RBP2
P02753	RET4_HUMAN	RBP4
Q9UBZ9	REV1_HUMAN	REV1
P35251	RFC1_HUMAN	RFC1
O75678	RFPL2_HUMAN	RFPL2
O14593	RFXK_HUMAN	RFXANK
Q8IZJ4	RGDSR_HUMAN	RGL4
P0DJD1	RGPD2_HUMAN	RGPD2
Q5JS13	RGPS1_HUMAN	RALGPS1
Q7L0Q8	RHOU_HUMAN	RHOU
Q9BQY4	RHXF2_HUMAN	RHOXF2
Q9H4K1	RIBC2_HUMAN	RIBC2
Q6R327	RICTR_HUMAN	RICTOR
Q5UIP0	RIF1_HUMAN	RIF1
Q13671	RIN1_HUMAN	RIN1
Q99496	RING2_HUMAN	RNF2
Q969X0	RIPL2_HUMAN	RILPL2
Q5TAB7	RIPP2_HUMAN	RIPPLY2
Q6ZS17	RIPR1_HUMAN	RIPOR1
Q9Y4F9	RIPR2_HUMAN	RIPOR2
P23921	RIR1_HUMAN	RRM1
P31350	RIR2_HUMAN	RRM2
P27635	RL10_HUMAN	RPL10
P26373	RL13_HUMAN	RPL13
P50914	RL14_HUMAN	RPL14
Q9H0T7	RAB17_HUMAN	RAB17
Q9UL25	RAB21_HUMAN	RAB21
P20337	RAB3B_HUMAN	RAB3B
O95716	RAB3D_HUMAN	RAB3D
Q5JT25	RAB41_HUMAN	RAB41
P20339	RAB5A_HUMAN	RAB5A
P51149	RAB7A_HUMAN	RAB7A
P61006	RAB8A_HUMAN	RAB8A
Q5HYI8	RABL3_HUMAN	RABL3
P29373	RABP2_HUMAN	CRABP2
Q99638	RAD9A_HUMAN	RAD9A
P15918	RAG1_HUMAN	RAG1
Q9Y5P3	RAI2_HUMAN	RAI2
P13631	RARG_HUMAN	RARG
C9J798	RAS4B_HUMAN	RASA4B
Q15283	RASA2_HUMAN	RASA2
Q9Y272	RASD1_HUMAN	RASD1
Q8IZ41	RASEF_HUMAN	RASEF
Q86WH2	RASF3_HUMAN	RASSF3
P50749	RASF2_HUMAN	RASSF2
O95294	RASL1_HUMAN	RASAL1
O14807	RASM_HUMAN	MRAS
P01111	RASN_HUMAN	NRAS
Q9HCJ3	RAVR2_HUMAN	RAVER2
Q96IS3	RAX2_HUMAN	RAX2
Q7Z6E9	RBBP6_HUMAN	RBBP6
Q9NTZ6	RBM12_HUMAN	RBM12
Q96PK6	RBM14_HUMAN	RBM14
Q9Y4C8	RBM19_HUMAN	RBM19
Q86U06	RBM23_HUMAN	RBM23
Q9P2N5	RBM27_HUMAN	RBM27
Q96EV2	RBM33_HUMAN	RBM33
Q9BTD8	RBM42_HUMAN	RBM42
Q6ZSC3	RBM43_HUMAN	RBM43
Q5RL73	RBM48_HUMAN	RBM48
Q9BQ04	RBM4B_HUMAN	RBM4B
Q92804	RBP56_HUMAN	TAF15
