uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description,pfam
P17480,UBF1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O14562,UBFD1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0CB47,UBFL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0CB48,UBFL6_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y5Z9,UBIA1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q13277,STX3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P56962,STX17_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8N4C7,STX19_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6NXR4,TTI2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P33981,TTK_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6ZVT0,TTL10_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O95922,TTLL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q14679,TTLL4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6EMB2,TTLL5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q3SXZ7,TTLL9_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5BVD1,TTMP_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BTX7,TTPAL_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P49638,TTPA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A075B6N1,TVB19_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0K0K1C4,TVB27_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A576,TVB31_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0C4DH59,TVB54_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P41252,SYIC_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0DPF7,TVB63_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A1B0GX49,TVB64_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0K0K1E9,TVB77_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P14679,TYRO_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O14994,SYN3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8NF91,SYNE1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6ZMZ3,SYNE3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q92777,SYN2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UMS6,SYNP2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UMZ2,SYNRG_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P08247,SYPH_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5VXT5,SYPL2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q7L3T8,SYPM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6NUM6,TYW1B_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q53H54,TYW2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6IPR3,TYW3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O60294,TYW4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A2RUC4,TYW5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O15391,TYY2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P10074,TZAP_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q7RTZ2,U17L1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A6NCW0,U17L3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A6NCW7,U17L4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A8MUK1,U17L5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
C9JJH3,U17LA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
C9JVI0,U17LB_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
C9J2P7,U17LF_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
D6RBM5,U17LN_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q0WX57,U17LO_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q01081,U2AF1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0DN76,U2AF5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15696,U2AFM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q86TS7,U730_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q3KQV9,UAP1L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P51668,UB2D1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y2X8,UB2D4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96LR5,UB2E2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q969T4,UB2E3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q13404,UB2V1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15819,UB2V2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P22314,UBA1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8TBC4,UBA3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9GZZ9,UBA5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O00204,ST2B1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y5Y6,ST14_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8TBR4,ST3L4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BR01,ST4A1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6IMI4,ST6B1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8TDW4,ST7L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0DMN0,ST1A4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UHE8,STEA1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O43704,ST1B1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9NZ72,STMN3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P49888,ST1E1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q69YW2,STUM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5VT97,SYDE2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y285,SYFA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P59090,TSAS2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q92574,TSC1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P49815,TSC2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9H1Z9,TSN10_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0C672,TSN19_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O60637,TSN3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O14817,TSN4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O43657,TSN6_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P19075,TSN8_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96NA8,TSNA1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q99598,TSNAX_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9NSD9,SYFB_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P35442,TSP2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UI38,TSP50_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5TGU0,TSPO2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
B1AH88,TSPOB_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P30536,TSPO_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q01534,TSPY1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A6NKD2,TSPY2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0CV98,TSPY3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0CV99,TSPY4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0CW00,TSPY8_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P0CW01,TSPYA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q2NL82,TSR1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UJK0,TSR3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y5U2,TSSC4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96PN8,TSSK3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6SA08,TSSK4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8N831,TSYL6_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8NDW8,TT21A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6PF05,TT23L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8N4P2,TT30B_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5VTQ0,TT39B_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6DKK2,TTC19_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6P3X3,TTC27_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6PID6,TTC33_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A8MYJ7,TTC34_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6PGP7,TTC37_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5R3I4,TTC38_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P53804,TTC3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15361,TTF1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y4R7,TTLL3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96PV0,SYGP1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P26651,TTP_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BZA0,TTY10_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BZ98,TTY12_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BZ97,TTY13_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0B4J276,TVA25_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0B4J265,TVAZ2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q86UX6,ST32C_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UEE5,ST17A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y2H1,ST38L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9P2F5,STOX2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P09430,STP1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6J9G0,STYK1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15833,STXB2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9NRR2,TRYG1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96A04,TSACC_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5JPH6,SYEM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BZW7,TSG10_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96PP4,TSG13_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P98066,TSG6_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O95857,TSN13_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96FV3,TSN17_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O60635,TSN1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P41732,TSN7_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O75954,TSN9_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15631,TSN_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q969E8,TSR2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q86WT1,TT30A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8N584,TT39C_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5TCY1,TTBK1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O95363,SYFM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96AY4,TTC28_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8NA56,TTC29_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q49AM3,TTC31_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5I0X7,TTC32_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A6NLP5,TTC36_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9UNY4,TTF2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O43156,TTI1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0B4J280,TVA40_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0B4J268,TVA4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0B4J249,TVA5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A087WT03,TVAZ1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A087X0M5,TVB18_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A5B6,TVB28_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0K0K1B3,TVB30_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A5A2,TVB58_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0A6YYG2,TVB66_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0K0K1G8,TVBJ2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0K0K1G6,TVBJ3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6ZWJ1,STXB4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A087WT01,TVA27_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A087WSZ9,TVA30_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0A6YYK1,TVA81_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0A6YYJ7,TVA83_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A087WT02,TVA92_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0B4J245,TVAL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A5B0,TVB14_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A5B7,TVB29_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A1B0GX68,TVB2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A589,TVB43_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A0A0A6YYG3,TVB68_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6UWH6,TX261_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q2TAA8,TXIP1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q86XW9,TXND6_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9H3M7,TXNIP_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P56192,SYMC_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8TAI1,TYMOS_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9H7C4,SYNCI_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O43776,SYNC_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8N205,SYNE4_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A6NDD5,SYN1L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96I59,SYNM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8TBG9,SYNPR_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9H987,SYP2L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9HBF5,ST20_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O94864,ST65G_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P48995,TRPC1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P50226,ST1A2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P53597,SUCA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O75558,STX11_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9Y6J8,STYL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9P2W9,STX18_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q96I99,SUCB2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9HAC7,SUCHY_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
