,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
ZNF263,0.183789,no,yes,no,no,GC,GC_ZNF263
ZNF536,0.098349,yes,no,no,no,GC,GC_ZNF536
ZNF48,0.0,no,yes,no,no,GC,GC_ZNF48
ZNF341,0.0,no,yes,no,no,GC,GC_ZNF341
ZNF764,0.0,no,yes,no,no,GC,GC_ZNF764
CSRNP1,0.053951,no,yes,no,no,GC,GC_CSRNP1
ZNF768,0.0,no,yes,no,no,GC,GC_ZNF768
ZNF354C,0.0,no,yes,no,no,GC,GC_ZNF354C
ZFP64,0.036521,no,yes,no,no,GC,GC_ZFP64
ZBTB22,0.04864,no,yes,no,no,GC,GC_ZBTB22
ZBTB7C,0.0,no,yes,no,no,GC,GC_ZBTB7C
FOXO6,0.0,no,yes,no,no,GC,GC_FOXO6
ZBTB48,0.122716,no,yes,no,no,GC,GC_ZBTB48
ASCL2,1.317874,no,yes,no,no,GC,GC_ASCL2
ZNF646,0.0,no,yes,no,no,GC,GC_ZNF646
ZNF627,0.036521,no,yes,no,no,GC,GC_ZNF627
MIER2,0.180161,no,yes,no,no,GC,GC_MIER2
TBX2,0.0,no,yes,no,no,GC,GC_TBX2
BCL6B,0.0,no,yes,no,no,GC,GC_BCL6B
ZBTB42,0.0,no,yes,no,no,GC,GC_ZBTB42
PGR,0.167571,yes,no,no,no,GC,GC_PGR
SOX12,0.0,no,yes,no,no,GC,GC_SOX12
ATF5,0.072357,no,yes,no,no,GC,GC_ATF5
E4F1,0.126308,no,yes,no,no,GC,GC_E4F1
PLAGL1,0.519857,no,yes,no,no,GC,GC_PLAGL1
ZNF219,0.0,no,yes,no,no,GC,GC_ZNF219
LRRFIP1,1.233846,no,yes,no,no,GC,GC_LRRFIP1
TFE3,0.044371,no,yes,no,no,GC,GC_TFE3
TONSL,0.044371,no,yes,no,no,GC,GC_TONSL
ZNF34,0.153114,yes,no,no,no,GC,GC_ZNF34
ZBTB47,0.0,no,yes,no,no,GC,GC_ZBTB47
ZNF689,0.0,no,yes,no,no,GC,GC_ZNF689
HLX,0.0,no,yes,no,no,GC,GC_HLX
SMARCA5,0.311824,no,yes,no,no,GC,GC_SMARCA5
PRDM8,0.0,no,yes,no,no,GC,GC_PRDM8
ZKSCAN4,0.0,no,yes,no,no,GC,GC_ZKSCAN4
DNAJC1,0.976532,no,yes,no,no,GC,GC_DNAJC1
ZNF574,0.0,no,yes,no,no,GC,GC_ZNF574
ZNF524,0.071027,no,yes,no,no,GC,GC_ZNF524
ZNF480,0.064122,no,yes,no,no,GC,GC_ZNF480
PPP1R13L,0.33694,no,yes,no,no,GC,GC_PPP1R13L
RCOR3,0.289874,no,yes,no,no,GC,GC_RCOR3
HMGXB3,0.431154,no,yes,no,no,GC,GC_HMGXB3
ZSCAN16,0.0,no,yes,no,no,GC,GC_ZSCAN16
ZNF879,0.113527,yes,no,no,no,GC,GC_ZNF879
ZNF696,0.0,no,yes,no,no,GC,GC_ZNF696
ZNF469,0.0,no,yes,no,no,GC,GC_ZNF469
BNC2,0.359596,no,yes,no,no,GC,GC_BNC2
ZNF358,0.0,no,yes,no,no,GC,GC_ZNF358
HAND2,0.114077,no,yes,no,no,GC,GC_HAND2
ZNF397,0.213696,no,yes,no,no,GC,GC_ZNF397
PHF5A,0.0,no,yes,no,no,GC,GC_PHF5A
TFEC,0.074076,no,yes,no,no,GC,GC_TFEC
MXD4,0.393713,no,yes,no,no,GC,GC_MXD4
ZGLP1,0.0,no,yes,no,no,GC,GC_ZGLP1
IRX4,0.0,no,yes,no,no,GC,GC_IRX4
NFKBIZ,0.171403,no,yes,no,no,GC,GC_NFKBIZ
ZNF195,0.036521,no,yes,no,no,GC,GC_ZNF195
RFX8,0.0,no,yes,no,no,GC,GC_RFX8
GATAD2B,0.373982,no,yes,no,no,GC,GC_GATAD2B
HOMEZ,0.0,no,yes,no,no,GC,GC_HOMEZ
TOX,0.0,no,yes,no,no,GC,GC_TOX
ZNF514,0.126062,yes,no,no,no,GC,GC_ZNF514
ZNF513,0.036521,no,yes,no,no,GC,GC_ZNF513
ZNF282,0.176294,no,yes,no,no,GC,GC_ZNF282
ZNF580,0.0,no,yes,no,no,GC,GC_ZNF580
HMBOX1,0.561467,no,yes,no,no,GC,GC_HMBOX1
THAP3,0.074076,no,yes,no,no,GC,GC_THAP3
BHLHA15,not_enough_cells_expr_limma,no,yes,no,no,GC,GC_BHLHA15
THAP4,0.287673,no,yes,no,no,GC,GC_THAP4
THAP8,0.0,no,yes,no,no,GC,GC_THAP8
ZNF595,0.406492,yes,no,no,no,GC,GC_ZNF595
HEYL,0.0,no,yes,no,no,GC,GC_HEYL
WIZ,0.0,no,yes,no,no,GC,GC_WIZ
ZNF408,0.0,no,yes,no,no,GC,GC_ZNF408
ZNF304,0.121927,yes,no,no,no,GC,GC_ZNF304
EGR3,0.0,no,yes,no,no,GC,GC_EGR3
STAT5A,0.215745,yes,no,no,no,GC,GC_STAT5A
ZNF547,0.0,no,yes,no,no,GC,GC_ZNF547
MESP1,0.0,no,yes,no,no,GC,GC_MESP1
ZNF224,0.0,no,yes,no,no,GC,GC_ZNF224
THAP7,0.190747,yes,yes,no,yes,GC,GC_THAP7
HOXD9,0.102218,yes,no,no,no,GC,GC_HOXD9
ZFP82,0.0,no,yes,no,no,GC,GC_ZFP82
ZNF572,0.049069,yes,no,no,no,GC,GC_ZNF572
ZNF239,0.064122,no,yes,no,no,GC,GC_ZNF239
ZNF416,0.0,no,yes,no,no,GC,GC_ZNF416
POU6F1,0.0,no,yes,no,no,GC,GC_POU6F1
ZNF837,0.0,no,yes,no,no,GC,GC_ZNF837
PURG,0.0,no,yes,no,no,GC,GC_PURG
ZNF205,0.063885,no,yes,no,no,GC,GC_ZNF205
ZBED6,0.0,no,yes,no,no,GC,GC_ZBED6
SP5,0.0,no,yes,no,no,GC,GC_SP5
ZNF213,0.108256,no,yes,no,no,GC,GC_ZNF213
ZNF212,0.0,no,yes,no,no,GC,GC_ZNF212
PTF1A,not_enough_cells_expr_limma,no,yes,no,no,GC,GC_PTF1A
TRERF1,0.0,no,yes,no,no,GC,GC_TRERF1
KLF15,0.0,no,yes,no,no,GC,GC_KLF15
OSR2,0.04864,no,yes,no,no,GC,GC_OSR2
ZBTB17,0.072357,no,yes,no,no,GC,GC_ZBTB17
ETS1,0.036521,no,yes,no,no,GC,GC_ETS1
TBX20,0.328575,yes,no,no,no,GC,GC_TBX20
ETV1,0.102218,yes,no,no,no,GC,GC_ETV1
ELF4,0.294447,no,yes,no,no,GC,GC_ELF4
PRRX2,0.0,no,yes,no,no,GC,GC_PRRX2
ZNF628,0.0,no,yes,no,no,GC,GC_ZNF628
ZNF200,0.04864,no,yes,no,no,GC,GC_ZNF200
LEF1,0.14231,yes,no,no,no,GC,GC_LEF1
STAT1,0.555395,no,yes,no,no,GC,GC_STAT1
ZNF431,0.202998,no,yes,no,no,GC,GC_ZNF431
STAT2,0.835545,no,yes,no,no,GC,GC_STAT2
ZNF180,0.0,no,yes,no,no,GC,GC_ZNF180
E2F1,0.102218,yes,no,no,no,GC,GC_E2F1
KAT8,0.063615,no,yes,no,no,GC,GC_KAT8
ZNF276,0.166103,no,yes,no,no,GC,GC_ZNF276
ZNF787,0.100643,no,yes,no,no,GC,GC_ZNF787
FOXO1,0.605814,no,yes,no,no,GC,GC_FOXO1
ZNF521,0.0,no,yes,no,no,GC,GC_ZNF521
ZNF22,0.077556,no,yes,no,no,GC,GC_ZNF22
ZBTB45,0.072357,no,yes,no,no,GC,GC_ZBTB45
ZNF444,0.072357,no,yes,no,no,GC,GC_ZNF444
ZNF76,0.068919,no,yes,no,no,GC,GC_ZNF76
ZNF672,0.206843,no,yes,no,no,GC,GC_ZNF672
ZNF35,0.0,no,yes,no,no,GC,GC_ZNF35
ETV2,0.0,no,yes,no,no,GC,GC_ETV2
ATF6,0.524659,no,yes,no,no,GC,GC_ATF6
ZNF526,0.0,no,yes,no,no,GC,GC_ZNF526
VENTX,0.0,no,yes,no,no,GC,GC_VENTX
NRL,0.0,no,yes,no,no,GC,GC_NRL
ZNF575,0.0,no,yes,no,no,GC,GC_ZNF575
HIF1A,0.251889,no,yes,no,no,GC,GC_HIF1A
GLI4,0.0,no,yes,no,no,GC,GC_GLI4
ZNF446,0.0,no,yes,no,no,GC,GC_ZNF446
HOXC4,0.072357,yes,no,no,no,GC,GC_HOXC4
ZNF692,0.0,no,yes,no,no,GC,GC_ZNF692
TBPL1,0.153688,no,yes,no,no,GC,GC_TBPL1
ATF6B,0.318482,no,yes,no,no,GC,GC_ATF6B
MYC,0.036521,no,yes,no,no,GC,GC_MYC
ZNF775,0.0,no,yes,no,no,GC,GC_ZNF775
SCX,0.098323,no,yes,no,no,GC,GC_SCX
ZFP1,0.191622,yes,no,no,no,GC,GC_ZFP1
NFKBIB,0.0,no,yes,no,no,GC,GC_NFKBIB
SP140,0.0,no,yes,no,no,GC,GC_SP140
PRDM15,0.247118,yes,no,no,no,GC,GC_PRDM15
SP6,0.102218,yes,no,no,no,GC,GC_SP6
EBF2,0.072357,yes,yes,no,yes,GC,GC_EBF2
TSHZ2,0.09344,no,yes,no,no,GC,GC_TSHZ2
ZNF629,0.0,no,yes,no,no,GC,GC_ZNF629
MEIS3,0.0,no,yes,no,no,GC,GC_MEIS3
TCF21,0.0,no,yes,no,no,GC,GC_TCF21
HMG20B,0.271406,no,yes,no,no,GC,GC_HMG20B
ZNF414,0.0,no,yes,no,no,GC,GC_ZNF414
ZNF786,0.0,no,yes,no,no,GC,GC_ZNF786
MLX,0.0,no,yes,no,no,GC,GC_MLX
ESR1,0.297494,yes,no,no,no,GC,GC_ESR1
ZBTB1,0.174047,no,yes,no,no,GC,GC_ZBTB1
NFKBID,0.0,no,yes,no,no,GC,GC_NFKBID
ZNF485,0.0,no,yes,no,no,GC,GC_ZNF485
JDP2,0.04864,no,yes,no,no,GC,GC_JDP2
MEOX2,0.0,no,yes,no,no,GC,GC_MEOX2
ZFPM1,0.0,no,yes,no,no,GC,GC_ZFPM1
RERE,1.532755,no,yes,no,no,GC,GC_RERE
FOXF1,0.0,no,yes,no,no,GC,GC_FOXF1
BATF2,0.07348,yes,yes,no,yes,GC,GC_BATF2
ZNF691,0.0,no,yes,no,no,GC,GC_ZNF691
CREB1,0.323154,no,yes,no,no,GC,GC_CREB1
ZNF517,0.102592,yes,yes,no,yes,GC,GC_ZNF517
ZNF423,0.121927,no,yes,no,no,GC,GC_ZNF423
ZNF28,0.071284,no,yes,no,no,GC,GC_ZNF28
ZNF2,0.0,no,yes,no,no,GC,GC_ZNF2
HOXB2,0.0,no,yes,no,no,GC,GC_HOXB2
CXXC1,0.049069,no,yes,no,no,GC,GC_CXXC1
