peak_id,highly_variable
chr1:23958944-23959960,True
chr1:24046360-24046604,True
chr1:24266274-24266972,True
chr1:24321232-24322661,True
chr1:24692427-24693052,True
chr1:24693778-24694574,True
chr1:24724325-24725785,True
chr1:24744858-24745507,True
chr1:24959625-24959872,True
chr1:25246989-25247927,True
chr1:25311146-25311489,True
chr1:25369131-25369886,True
chr1:25819486-25820235,True
chr1:25892226-25892779,True
chr1:25922468-25923143,True
chr1:26017619-26017891,True
chr1:26068875-26069107,True
chr1:26078587-26078849,True
chr1:26233614-26234911,True
chr1:26331475-26331907,True
chr1:26349121-26349546,True
chr1:26378020-26378297,True
chr1:26387144-26387674,True
chr1:26431812-26432454,True
chr1:26483934-26484313,True
chr1:26541915-26542642,True
chr1:26612522-26612955,True
chr1:26812145-26812554,True
chr1:26826476-26827055,True
chr1:26831666-26832036,True
chr1:26907582-26907933,True
chr1:26997686-26997934,True
chr1:27027079-27027293,True
chr1:27044572-27044783,True
chr1:27099558-27099910,True
chr1:27111977-27112540,True
chr1:27300660-27301092,True
chr1:27321604-27322557,True
chr1:27557201-27557615,True
chr1:27712194-27712802,True
chr1:27959344-27960423,True
chr1:28197015-28197384,True
chr1:28259098-28260539,True
chr1:28284878-28285224,True
chr1:28299943-28300638,True
chr1:28354163-28354537,True
chr1:28526565-28527305,True
chr1:28552436-28553601,True
chr1:28668140-28669439,True
chr1:29156845-29157163,True
chr1:29181026-29182234,True
chr1:29237971-29238547,True
chr1:30422185-30422667,True
chr1:30737822-30738583,True
chr1:30764255-30764705,True
chr1:30769054-30769276,True
chr1:30801620-30801978,True
chr1:31065383-31066083,True
chr1:31154575-31155582,True
chr1:31296353-31297285,True
chr1:31373339-31373874,True
chr1:31422549-31422999,True
chr1:31435025-31435280,True
chr1:31548655-31549863,True
chr1:31618145-31618399,True
chr1:31661136-31661390,True
chr1:31681462-31681859,True
chr1:31684021-31684247,True
chr1:31760561-31761225,True
chr1:31854932-31855440,True
chr1:31937632-31938714,True
chr1:31944256-31945021,True
chr1:32037897-32038219,True
chr1:32332775-32333086,True
chr1:32464798-32465176,True
chr1:32637137-32637637,True
chr1:32769513-32770059,True
chr1:33036409-33037176,True
chr1:33172323-33172582,True
chr1:33181543-33182269,True
chr1:33255400-33255757,True
chr1:33342169-33342648,True
chr1:33349190-33350215,True
chr1:35031113-35032146,True
chr1:35191929-35193406,True
chr1:35198880-35199244,True
chr1:35214342-35214966,True
chr1:35268338-35269392,True
chr1:35345555-35345987,True
chr1:35448353-35448716,True
chr1:35570543-35570906,True
chr1:35637327-35637544,True
chr1:35807397-35808198,True
chr1:35808349-35808685,True
chr1:35930331-35931552,True
chr1:35936511-35937147,True
chr1:36088664-36089299,True
chr1:36149126-36149949,True
chr1:36305890-36307170,True
chr1:36320822-36321928,True
chr1:36385420-36386310,True
chr1:36387247-36387550,True
chr1:36415506-36416070,True
chr1:36440117-36440410,True
chr1:37595590-37596183,True
chr1:37907454-37908037,True
chr1:37930569-37931008,True
chr1:37931555-37932095,True
chr1:37944807-37945184,True
chr1:37964026-37964513,True
chr1:38680711-38681470,True
chr1:38741237-38741695,True
chr1:38745482-38745967,True
chr1:38858855-38860109,True
chr1:38959565-38959961,True
chr1:39047411-39048279,True
chr1:39111913-39112234,True
chr1:39189566-39189954,True
chr1:39220890-39221211,True
chr1:39559121-39559748,True
chr1:39590615-39590924,True
chr1:39738590-39739313,True
chr1:39816794-39817068,True
chr1:39927589-39927898,True
chr1:39949840-39950252,True
chr1:39985000-39985274,True
chr1:40012113-40012554,True
chr1:40039668-40041061,True
chr1:40059318-40059632,True
chr1:40131562-40132009,True
chr1:40691230-40692289,True
chr1:40806844-40807413,True
chr1:40861995-40862726,True
chr1:41159366-41159581,True
chr1:41268166-41268497,True
chr1:41432660-41433028,True
chr1:41622374-41622744,True
chr1:41662085-41662442,True
chr1:41868626-41868851,True
chr1:42135257-42135760,True
chr1:42146880-42147268,True
chr1:42206137-42206513,True
chr1:42266241-42266612,True
chr1:42312580-42313217,True
chr1:42380368-42381136,True
chr1:42484369-42484682,True
chr1:42634231-42634514,True
chr1:42639147-42639403,True
chr1:42846126-42846786,True
chr1:42868471-42868916,True
chr1:42904536-42905039,True
chr1:42944213-42944580,True
chr1:42958164-42959214,True
chr1:42991954-42992637,True
chr1:42997834-42998207,True
chr1:43005259-43006132,True
chr1:43241441-43241931,True
chr1:43285289-43285781,True
chr1:43348509-43349699,True
chr1:43454534-43454783,True
chr1:43513378-43513886,True
chr1:43549965-43550511,True
chr1:43557644-43558032,True
chr1:43605842-43606193,True
chr1:43649422-43650560,True
chr1:43707088-43708002,True
chr1:43991216-43992117,True
chr1:44213214-44213725,True
chr1:44327452-44328543,True
chr1:44449657-44449969,True
chr1:44721546-44722289,True
chr1:44739332-44739960,True
chr1:44774682-44775917,True
chr1:44799667-44800703,True
chr1:44806198-44806699,True
chr1:44806991-44808048,True
chr1:44842959-44843554,True
chr1:44968166-44968430,True
chr1:44985825-44986887,True
chr1:45190894-45191453,True
chr1:45303297-45304436,True
chr1:45349068-45349756,True
chr1:45403101-45403532,True
chr1:45441888-45442434,True
chr1:45686046-45687436,True
chr1:45721258-45721556,True
chr1:45722835-45723133,True
chr1:46132366-46133448,True
chr1:46188540-46189041,True
chr1:46406214-46406528,True
chr1:46448096-46448482,True
chr1:46489442-46489855,True
chr1:46718607-46719474,True
chr1:47103230-47103658,True
chr1:47253819-47254349,True
chr1:47313894-47314818,True
chr1:47333472-47334871,True
chr1:47379331-47379948,True
chr1:47402664-47402924,True
chr1:47561532-47561797,True
chr1:47699708-47700157,True
chr1:49333947-49334249,True
chr1:49797492-49797833,True
chr1:50969284-50970096,True
chr1:50977712-50978141,True
chr1:51296855-51297239,True
chr1:51410758-51411365,True
chr1:51518478-51519576,True
chr1:51621159-51621404,True
chr1:51729458-51730194,True
chr1:52049392-52049831,True
chr1:52697606-52698518,True
chr1:52892328-52892596,True
chr1:53146039-53146624,True
chr1:53230534-53230778,True
chr1:53256811-53257660,True
chr1:53327821-53328282,True
chr1:53889501-53890291,True
chr1:53945399-53946609,True
chr1:54019660-54020113,True
chr1:54411461-54412052,True
chr1:54514053-54514646,True
chr1:54546924-54547305,True
chr1:54603213-54603598,True
chr1:54666381-54666644,True
chr1:54945555-54945779,True
chr1:55262626-55263478,True
chr1:55623066-55623689,True
chr1:55848818-55849182,True
chr1:55980594-55980936,True
chr1:56000846-56001453,True
chr1:56089457-56089934,True
chr1:56093250-56093605,True
chr1:56240866-56241105,True
chr1:56286487-56286860,True
chr1:56394353-56394744,True
chr1:56479384-56479625,True
chr1:56516856-56517519,True
chr1:57280162-57280557,True
chr1:58813953-58814775,True
chr1:59220355-59220624,True
chr1:60573745-60574028,True
chr1:60913744-60914086,True
chr1:60998696-60999212,True
chr1:61083426-61083847,True
chr1:61653910-61654465,True
chr1:62180569-62180995,True
chr1:62230540-62231099,True
chr1:62325594-62325896,True
chr1:62768584-62768871,True
chr1:62823379-62823892,True
chr1:63773760-63774269,True
chr1:63920371-63920970,True
chr1:63984937-63985240,True
chr1:64173608-64173820,True
chr1:64183964-64184444,True
chr1:64187592-64188047,True
chr1:64224348-64224625,True
chr1:64915813-64916121,True
chr1:65170408-65171001,True
chr1:65277710-65278012,True
chr1:65419730-65420829,True
chr1:66371236-66372023,True
chr1:66418027-66418293,True
chr1:66686451-66686661,True
chr1:66924367-66925590,True
chr1:66929766-66930760,True
chr1:67430184-67431181,True
chr1:67530924-67531163,True
chr1:67535452-67535722,True
chr1:67700619-67701114,True
chr1:68057133-68057510,True
chr1:68452764-68453375,True
chr1:68496683-68497404,True
chr1:70156539-70156839,True
chr1:70410606-70411512,True
chr1:70627908-70628277,True
chr1:70790225-70790709,True
chr1:70846921-70847254,True
chr1:71030036-71030317,True
chr1:71047349-71047996,True
chr1:71080518-71081465,True
chr1:75375408-75375771,True
chr1:75522430-75522648,True
chr1:75796694-75797001,True
chr1:76687216-76687807,True
chr1:77018779-77018990,True
chr1:77515339-77515722,True
chr1:77532574-77532903,True
chr1:77540481-77541085,True
chr1:77769738-77770157,True
chr1:77919568-77919980,True
chr1:78019045-78019275,True
chr1:78105878-78106621,True
chr1:78491379-78491965,True
chr1:80417473-80417989,True
chr1:80593762-80594647,True
chr1:81689549-81689930,True
chr1:83025384-83025637,True
chr1:83055833-83056044,True
chr1:83828423-83828641,True
chr1:84077484-84078274,True
chr1:84319652-84319939,True
chr1:84479070-84479817,True
chr1:84634573-84635144,True
chr1:84969624-84970226,True
chr1:85134412-85135632,True
chr1:85146534-85147274,True
chr1:85174500-85174839,True
chr1:85225037-85225632,True
chr1:85308182-85308412,True
chr1:85570841-85571468,True
chr1:85607078-85607599,True
chr1:85615945-85616628,True
chr1:85622990-85623276,True
chr1:86516417-86516693,True
chr1:86704029-86705480,True
chr1:86866707-86866941,True
chr1:86885192-86885627,True
chr1:87131761-87132156,True
chr1:87175106-87176350,True
chr1:87218680-87218890,True
chr1:87242861-87243159,True
chr1:87284610-87285194,True
chr1:87328080-87329020,True
chr1:87439833-87440148,True
chr1:87842244-87842474,True
chr1:88398238-88398655,True
chr1:88457670-88458047,True
chr1:88683651-88685040,True
chr1:88890923-88891847,True
chr1:88892489-88893037,True
chr1:88992291-88993284,True
chr1:89454872-89455223,True
chr1:89524077-89525409,True
chr1:89581921-89582234,True
chr1:89909068-89909390,True
chr1:89945928-89946151,True
chr1:89994623-89995644,True
chr1:90001086-90001684,True
chr1:91188646-91188863,True
chr1:91537404-91537624,True
chr1:91977513-91977846,True
chr1:92029834-92030449,True
chr1:92298416-92299349,True
chr1:92341535-92341933,True
chr1:92567441-92567789,True
chr1:92804650-92805089,True
chr1:92852273-92852561,True
chr1:92933419-92933760,True
chr1:92960999-92962227,True
chr1:93566298-93566532,True
chr1:93567472-93568147,True
chr1:93695385-93695766,True
chr1:93701654-93702235,True
chr1:93723216-93723471,True
chr1:93827711-93828700,True
chr1:94101336-94102046,True
chr1:94325570-94325991,True
chr1:94382215-94382689,True
chr1:94746950-94747339,True
chr1:94855127-94855490,True
chr1:94856173-94856394,True
chr1:94883803-94884438,True
chr1:94926286-94927654,True
chr1:96134652-96134910,True
chr1:98326054-98326429,True
chr1:98661249-98662262,True
chr1:99465170-99465435,True
chr1:99969645-99970566,True
chr1:99992534-99992989,True
chr1:100037837-100038928,True
chr1:102879390-102879916,True
chr1:102896449-102896674,True
chr1:103213829-103214169,True
chr1:103271459-103271946,True
chr1:107572622-107572905,True
chr1:108691712-108692909,True
chr1:109213552-109214447,True
chr1:109216655-109217003,True
chr1:109264290-109264776,True
chr1:109274051-109275088,True
chr1:109425723-109426790,True
chr1:109879334-109879755,True
chr1:109890292-109890627,True
chr1:110034277-110035191,True
chr1:110106122-110106449,True
chr1:110172774-110173070,True
chr1:110186637-110186970,True
chr1:110187167-110187848,True
chr1:111119865-111120238,True
chr1:111139367-111140785,True
chr1:111192373-111193044,True
chr1:111237888-111238243,True
chr1:111448693-111449586,True
chr1:111452353-111452905,True
chr1:111619500-111620711,True
chr1:111738830-111739291,True
chr1:112453917-112454298,True
chr1:112642022-112642286,True
chr1:112668681-112668918,True
chr1:112763157-112763537,True
chr1:112812659-112813112,True
chr1:112851760-112852026,True
chr1:112874545-112874854,True
chr1:113072571-113073663,True
chr1:113103012-113103391,True
chr1:113109941-113110493,True
chr1:113904445-113905441,True
chr1:114008586-114009133,True
chr1:114386007-114386314,True
chr1:114457918-114458714,True
chr1:114756941-114758256,True
chr1:115138953-115139231,True
chr1:115168675-115169174,True
chr1:116131866-116132409,True
chr1:116453166-116453527,True
chr1:116556519-116556892,True
chr1:116682640-116683476,True
chr1:116882190-116882408,True
chr1:116902062-116902569,True
chr1:117059407-117060372,True
chr1:117127882-117128112,True
chr1:117362878-117363216,True
chr1:117562980-117563951,True
chr1:117573339-117573762,True
chr1:118263599-118264106,True
chr1:119084564-119085156,True
chr1:119160524-119161197,True
chr1:119469753-119470205,True
chr1:119582859-119583093,True
chr1:119731106-119731484,True
chr1:121484015-121484306,True
chr1:143729426-143729711,True
chr1:144546233-144546745,True
chr1:144551520-144552365,True
chr1:145779796-145780012,True
chr1:145926813-145927721,True
chr1:145979397-145979787,True
chr1:146038787-146039547,True
chr1:147084283-147085460,True
chr1:147115518-147115775,True
chr1:147171980-147173002,True
chr1:147242255-147243220,True
chr1:147292917-147293167,True
chr1:147669356-147670763,True
chr1:147721650-147722134,True
chr1:148286473-148286694,True
chr1:149887438-149888639,True
chr1:149995917-149996327,True
chr1:150186141-150186366,True
chr1:150268333-150269249,True
chr1:150337586-150337796,True
chr1:150363370-150364231,True
chr1:150364502-150364786,True
chr1:150401144-150401792,True
chr1:150409523-150409795,True
chr1:150537702-150538254,True
chr1:150579110-150580001,True
chr1:150611455-150611972,True
chr1:150719967-150720360,True
chr1:150820756-150820986,True
chr1:150925597-150926428,True
chr1:151008093-151008575,True
chr1:151058654-151058962,True
chr1:151070161-151070811,True
chr1:151146340-151147131,True
chr1:151189725-151190398,True
chr1:151197863-151198613,True
chr1:151586771-151587091,True
chr1:151740002-151740295,True
chr1:151768357-151768662,True
chr1:152028947-152029533,True
chr1:152047748-152048774,True
chr1:152743221-152743743,True
chr1:152752192-152752563,True
chr1:152908228-152908492,True
chr1:153566339-153566912,True
chr1:153587791-153588402,True
chr1:153608040-153608535,True
chr1:153680655-153680992,True
chr1:153705165-153705895,True
chr1:153708515-153708877,True
chr1:153753961-153754815,True
chr1:153945437-153946915,True
chr1:153963246-153963805,True
chr1:153963979-153964383,True
chr1:153986739-153987207,True
chr1:154157451-154157877,True
chr1:154182351-154183550,True
chr1:154232968-154233467,True
chr1:154335140-154335392,True
chr1:154400249-154400580,True
chr1:154433153-154433570,True
chr1:154607791-154608830,True
chr1:154627170-154628107,True
chr1:154767533-154768232,True
chr1:154979653-154979948,True
chr1:155017140-155017785,True
chr1:155063517-155064538,True
chr1:155125484-155126247,True
chr1:155158970-155159432,True
chr1:155208227-155209353,True
chr1:155453165-155453533,True
chr1:155479254-155479485,True
chr1:155609684-155610201,True
chr1:155957505-155957813,True
chr1:155978477-155978950,True
chr1:155980097-155980312,True
chr1:156053652-156054193,True
chr1:156117817-156118348,True
chr1:156659883-156660549,True
chr1:156684050-156684313,True
chr1:156728313-156729140,True
chr1:156766804-156767786,True
chr1:156927584-156928044,True
chr1:159703018-159703311,True
chr1:159910218-159910716,True
chr1:159924249-159925693,True
chr1:159945510-159946344,True
chr1:160205173-160206653,True
chr1:160261673-160262734,True
chr1:161045050-161046333,True
chr1:161073687-161074038,True
chr1:161080393-161080675,True
chr1:161165794-161166536,True
chr1:161176988-161177674,True
chr1:161399047-161400181,True
chr1:161561323-161561589,True
chr1:161765746-161766449,True
chr1:162381358-162381831,True
chr1:162497493-162498166,True
chr1:162690702-162691213,True
chr1:164673461-164673934,True
chr1:165605288-165605523,True
chr1:165729932-165730336,True
chr1:166838908-166840079,True
chr1:166910434-166910665,True
chr1:166920545-166921273,True
chr1:167076359-167076581,True
chr1:167145822-167146241,True
chr1:167161051-167161691,True
chr1:167442063-167442471,True
chr1:167454807-167456011,True
chr1:167762427-167762718,True
chr1:167935565-167936972,True
chr1:168082192-168082437,True
chr1:168225456-168226135,True
chr1:168229729-168230259,True
chr1:168387035-168387502,True
chr1:168469784-168470063,True
chr1:169305384-169305654,True
chr1:169367635-169368483,True
chr1:169485189-169486291,True
chr1:169511338-169511927,True
chr1:169794395-169795133,True
chr1:170126578-170127079,True
chr1:171313718-171314330,True
chr1:171405118-171405383,True
chr1:171780699-171781729,True
chr1:171841139-171841661,True
chr1:172485535-172486066,True
chr1:172933605-172934593,True
chr1:173122729-173123443,True
chr1:173149788-173150206,True
chr1:173393023-173393603,True
chr1:173393692-173393907,True
chr1:173867507-173868851,True
chr1:174158988-174160059,True
chr1:174191268-174191878,True
chr1:174408336-174408684,True
chr1:174939328-174940174,True
chr1:175094636-175094921,True
chr1:175099929-175100190,True
chr1:175367777-175368262,True
chr1:176052017-176052389,True
chr1:176450503-176450848,True
chr1:176451739-176452278,True
chr1:176574592-176575078,True
chr1:177448755-177449313,True
chr1:178093223-178094578,True
chr1:178223250-178223561,True
chr1:178262146-178262395,True
chr1:178267507-178268008,True
chr1:178941328-178941579,True
chr1:179025541-179026579,True
chr1:179129718-179129938,True
chr1:179548731-179549304,True
chr1:179586144-179586722,True
chr1:179837738-179839007,True
chr1:179954201-179955344,True
chr1:180154345-180155176,True
chr1:180270863-180271724,True
chr1:180536479-180536917,True
chr1:180608434-180608772,True
chr1:180642826-180643169,True
chr1:180816371-180816775,True
chr1:180881951-180882181,True
chr1:181088172-181088942,True
chr1:181142280-181142746,True
chr1:182289854-182290537,True
chr1:182595724-182595981,True
chr1:182603846-182604608,True
chr1:182633479-182634190,True
chr1:182978238-182978456,True
chr1:183279241-183280150,True
chr1:183331365-183331669,True
chr1:183635127-183636368,True
chr1:183655549-183655804,True
chr1:183804155-183805358,True
chr1:184161058-184161711,True
chr1:184315281-184315660,True
chr1:184391398-184391850,True
chr1:184408111-184408363,True
chr1:184567618-184568053,True
chr1:184595531-184595947,True
chr1:184635363-184635626,True
chr1:185156226-185157585,True
chr1:185316694-185317769,True
chr1:185541871-185542138,True
chr1:185565081-185565632,True
chr1:185626176-185626765,True
chr1:185654590-185654928,True
chr1:185670313-185670612,True
chr1:186364827-186365274,True
chr1:186374887-186376151,True
chr1:189564964-189565304,True
chr1:191839873-191840197,True
chr1:193104474-193105642,True
chr1:193121595-193122434,True
chr1:196001860-196002107,True
chr1:197690086-197690327,True
chr1:198132845-198133441,True
chr1:199308046-199308582,True
chr1:199447685-199448251,True
chr1:199959595-199959881,True
chr1:201190530-201190917,True
chr1:201254599-201254861,True
chr1:201261599-201262120,True
chr1:201269301-201269560,True
chr1:201285851-201286340,True
chr1:201352839-201353468,True
chr1:201433173-201433394,True
chr1:201468562-201469419,True
chr1:201520048-201520401,True
chr1:201649675-201650744,True
chr1:201714171-201714906,True
chr1:201748360-201748637,True
chr1:201912758-201913177,True
chr1:201954884-201955818,True
chr1:201982264-201983481,True
chr1:202018424-202019392,True
chr1:202022937-202023364,True
chr1:202111728-202112026,True
chr1:202348327-202349535,True
chr1:202377126-202377795,True
chr1:202411445-202411769,True
chr1:202537222-202537510,True
chr1:202556581-202556999,True
chr1:202852130-202852579,True
chr1:203099664-203100900,True
chr1:203127512-203127816,True
chr1:203172226-203172505,True
chr1:203305095-203305603,True
chr1:203536678-203537288,True
chr1:203628360-203628861,True
chr1:203789942-203790253,True
chr1:203870324-203870682,True
chr1:203907849-203908280,True
chr1:203937921-203938155,True
chr1:204080388-204080751,True
chr1:204319401-204319992,True
chr1:204417114-204417901,True
chr1:204494075-204494935,True
chr1:205273507-205273901,True
chr1:205448817-205449689,True
chr1:205631229-205632341,True
chr1:205688629-205688987,True
chr1:205748879-205749932,True
chr1:205770635-205770910,True
chr1:206001426-206001716,True
chr1:206419808-206420074,True
chr1:206929028-206929329,True
chr1:207001593-207002058,True
chr1:207670897-207671322,True
chr1:207698765-207699171,True
chr1:208052975-208053258,True
chr1:209594506-209594745,True
chr1:209620439-209620776,True
chr1:209715369-209715633,True
chr1:209839811-209840445,True
chr1:210445488-210445757,True
chr1:211327205-211327513,True
chr1:212062946-212063166,True
chr1:212440504-212440758,True
chr1:212514600-212515641,True
chr1:212558011-212559208,True
chr1:212916486-212917135,True
chr1:213015107-213015979,True
chr1:214216839-214217292,True
chr1:214277698-214278092,True
chr1:214280790-214281695,True
chr1:214464467-214464868,True
chr1:215844264-215844566,True
chr1:216463831-216464865,True
chr1:218357544-218357873,True
chr1:218496562-218496951,True
chr1:218743671-218744280,True
chr1:219847423-219847709,True
chr1:220326544-220326998,True
chr1:220690072-220690512,True
chr1:220695348-220695981,True
chr1:220786641-220787693,True
chr1:220810183-220810453,True
chr1:221153209-221153471,True
chr1:222887132-222887429,True
chr1:222948070-222948524,True
chr1:223142730-223143468,True
chr1:224204698-224205111,True
chr1:224434486-224435568,True
chr1:224498167-224498885,True
chr1:224506143-224506370,True
chr1:225652525-225653989,True
chr1:225874969-225875742,True
chr1:226002744-226002980,True
chr1:226082915-226084076,True
chr1:226121432-226122424,True
chr1:226181997-226182297,True
chr1:226331601-226331846,True
chr1:226407659-226408565,True
chr1:226560344-226560610,True
chr1:226912700-226912912,True
chr1:227357414-227357736,True
chr1:227563292-227564016,True
chr1:227733772-227734002,True
chr1:227734984-227735615,True
chr1:228059236-228060006,True
chr1:228081859-228082873,True
chr1:228084420-228084707,True
chr1:228139466-228140447,True
chr1:228191725-228192434,True
chr1:228340729-228341566,True
chr1:228378539-228378899,True
chr1:228406465-228407342,True
chr1:228420653-228421388,True
chr1:228457185-228458189,True
chr1:228721302-228721884,True
chr1:228751738-228752042,True
chr1:228958118-228958419,True
chr1:229093600-229093949,True
chr1:229171954-229172319,True
chr1:229408493-229409087,True
chr1:229557956-229559300,True
chr1:230268420-230268845,True
chr1:231019850-231020553,True
chr1:231290866-231291197,True
chr1:231337131-231338410,True
chr1:231507172-231508053,True
chr1:231702674-231703373,True
chr1:232459359-232460153,True
chr1:233406355-233407182,True
chr1:234530980-234531479,True
chr1:234544598-234544852,True
chr1:234545897-234546381,True
chr1:234573749-234574267,True
chr1:234676133-234676491,True
chr1:234683989-234684559,True
chr1:234746499-234747155,True
chr1:234833568-234834110,True
chr1:235049854-235050337,True
chr1:235054766-235055304,True
chr1:235091672-235091946,True
chr1:235404153-235404583,True
chr1:235589313-235589572,True
chr1:235612791-235613166,True
chr1:235724732-235725063,True
chr1:235731671-235731886,True
chr1:236394993-236395968,True
chr1:236503853-236504091,True
chr1:236565524-236565814,True
chr1:236794884-236796127,True
chr1:236870831-236871057,True
chr1:237736709-237736956,True
chr1:238176498-238176770,True
chr1:240245356-240245607,True
chr1:240687807-240688264,True
chr1:241577754-241578613,True
chr1:241639834-241640653,True
chr1:241748757-241749386,True
chr1:242824411-242824804,True
chr1:243101020-243102006,True
chr1:243447273-243447649,True
chr1:243559559-243559848,True
chr1:244041541-244042073,True
chr1:244211162-244211413,True
chr1:244329791-244330386,True
chr1:244652535-244653438,True
chr1:244734157-244734500,True
chr1:244834426-244835838,True
chr1:245084590-245084923,True
chr1:245599306-245599995,True
chr1:245687954-245688569,True
chr1:245802760-245803595,True
chr1:245822834-245823369,True
chr1:245979479-245979933,True
chr1:246012310-246012545,True
chr1:246091543-246091770,True
chr1:246096397-246096744,True
chr1:246198930-246199401,True
chr1:246607538-246607816,True
chr1:246683474-246683938,True
chr1:246689412-246689985,True
chr1:246723878-246724714,True
chr1:246728337-246728693,True
chr1:247007561-247008293,True
chr1:247210355-247211084,True
chr1:247330977-247332066,True
chr1:247741528-247742429,True
chr1:247857035-247857846,True
chr1:248045271-248045653,True
chr1:248730578-248731312,True
chr1:248738345-248738681,True
chr1:248837793-248839202,True
