,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
ZNF280C,0.03256181,0.023246944,0.021060692,0.020468166,0.016471658,0.06485054,0.0116636325
CREB3L2,0.41867813,0.40566045,0.4201953,0.46426246,0.45715493,0.7828014,0.43139833
ZNF90,0.08098275,0.096636355,0.09254616,0.07694594,0.035158582,0.029815057,0.014754281
REST,0.34311756,0.33133766,0.42384565,0.35454175,0.37872127,0.54676515,0.40879777
ZNF248,0.054639388,0.055956222,0.042900555,0.04329769,0.0338149,0.08764141,0.027590286
ZNF347,0.050096218,0.05078915,0.057673555,0.05074455,0.034422852,0.046438053,0.019481774
ZNF562,0.09387907,0.10056031,0.10753286,0.09299431,0.16567561,0.529503,0.25292626
PSPC1,0.4228702,0.3473165,0.572991,0.4010542,0.42193502,0.49028257,0.3276049
IKZF2,0.10400498,0.14117518,0.0510002,0.13085905,0.030454755,0.03865782,0.0085084755
FOXP2,0.003003391,0.00071043096,0.0,0.0013350506,5.397558e-05,0.0,0.0
SOX5,0.0,0.0,0.0,3.970623e-05,8.8657594e-05,0.0,0.0017848227
ARID1B,0.30590034,0.2619218,0.2001058,0.20829283,0.1591576,0.3304674,0.0797954
BCL11A,0.0005197348,0.00050486857,0.0011274903,0.000355804,0.0037593287,0.022869686,0.002582693
ESRRG,0.30140212,0.04801542,0.06544331,0.095825024,0.052613854,0.07085142,0.01792906
TEAD3,0.28908047,0.19684558,0.35879555,0.24402994,0.30149236,0.5567371,0.26944634
NCOA2,0.2507669,0.19035253,0.15950467,0.19849001,0.16284245,0.38085142,0.08925323
ZNF445,0.061345648,0.082624346,0.038614415,0.05819841,0.02678335,0.04662399,0.011899021
RERE,0.4062316,0.36519524,0.2991598,0.35412425,0.29049763,0.46131307,0.15474606
IRX4,0.021159528,0.14997822,0.0370423,0.06478634,0.012905082,0.0023032203,0.0019067818
HMG20B,0.59427696,0.63448566,0.82901055,0.98549306,0.69453746,0.48541456,0.54570526
NFKBIL1,0.118417375,0.1327344,0.13710636,0.1904267,0.10496903,0.04885735,0.0764779
ZFP2,0.0026628803,0.0017110648,0.0037092327,0.002951519,0.002196206,0.008462094,0.0018151914
NFAT5,0.61324173,0.4720676,0.26858968,0.43372217,0.3554189,1.0764315,0.30610746
SSRP1,0.43168443,0.33953807,0.36247176,0.23822536,0.2024885,0.15587148,0.14352737
ZNF274,0.04660546,0.052560147,0.05312163,0.071696825,0.044919237,0.054642305,0.03600628
ZNF440,0.1510111,0.13897151,0.16488168,0.12031558,0.1022649,0.163188,0.04738304
NFKBIZ,0.28103292,0.12669513,0.12684251,0.21252304,0.21105239,0.3138588,0.068573676
HMGA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR3C2,0.01322943,0.0049717478,0.0038960236,0.0028305654,0.0048069316,0.0,0.0033335167
ZKSCAN1,0.37574136,0.4158444,0.28182924,0.41069937,0.27794588,0.5014069,0.23892239
POU2F1,0.18330215,0.16433905,0.17767756,0.17022854,0.10349671,0.20975615,0.06032388
CDC5L,0.3327737,0.31089216,0.41094375,0.31301227,0.26950848,0.24983944,0.23414694
ZNF117,0.054735925,0.045083877,0.02874437,0.056686673,0.04265407,0.11126201,0.028480405
ZBTB44,0.20121166,0.23777713,0.16830361,0.19174652,0.12183293,0.26043928,0.05726601
ZNF43,0.105746195,0.106837675,0.11915444,0.10388785,0.07570198,0.16370687,0.07900359
NCOA3,0.77713805,0.34895825,0.29949215,0.37633052,0.31965828,0.53969264,0.2037838
PRDM5,0.01644488,0.0077070575,0.015947765,0.0027426442,0.011703434,0.033687722,0.014657648
ZNF721,0.17191677,0.16990474,0.14155413,0.13104917,0.09379478,0.13791478,0.049308043
IRF1,0.47648636,0.61173636,0.31591046,0.5903911,0.23794211,0.18118042,0.115087666
SMARCC1,0.57591254,0.58819455,0.66775614,0.4919364,0.5552223,0.86712354,0.5272001
ZNF75A,0.06748694,0.071122676,0.07484415,0.07098091,0.06503105,0.10355671,0.04480905
DLX3,0.21029557,0.25776312,0.47717687,0.2857895,0.35182783,0.24939035,0.21822432
ZNF83,0.19996992,0.3220925,0.17138962,0.3539969,0.1306897,0.22488827,0.12302858
IRX2,0.47370297,0.9225532,0.62850755,0.8312998,0.38255388,0.250349,0.24071226
ZNF267,0.0925859,0.09847735,0.1057138,0.094435245,0.08647819,0.13599731,0.09222194
NR2F2,0.66938937,1.0836209,0.55007493,0.64824486,0.33542055,0.20963074,0.1584414
TADA2A,0.07713421,0.053294968,0.071794294,0.034444176,0.037617277,0.04085396,0.023427991
ZNF708,0.04336194,0.053424682,0.046741966,0.040054437,0.040047392,0.06630666,0.036123786
ZNF578,0.010635825,0.01981324,0.023263458,0.014989193,0.012653308,0.015865367,0.006019361
ARID1A,0.41573048,0.3405465,0.41210982,0.30701715,0.314272,0.55720586,0.21911117
ZNF678,0.029330429,0.02893541,0.043179646,0.029868849,0.02555083,0.050030787,0.016986776
ID2,0.46551096,0.119310215,0.06328574,0.11601406,0.03803457,0.03834879,0.010571119
NPAS2,0.06671762,0.05344396,0.046551697,0.04834829,0.045565985,0.020552956,0.017781815
GRHL3,0.026399782,0.010742327,0.0,0.0018688402,0.0,0.0039246585,0.0
PURB,0.21541336,0.20681013,0.1902948,0.22212416,0.1670942,0.30268407,0.11278324
ZBTB25,0.05376376,0.047806572,0.04617914,0.056389797,0.041269246,0.04449976,0.021006927
MEF2A,0.09974885,0.103822246,0.063619785,0.1045459,0.063172825,0.13799092,0.052870903
FLI1,1.7284314e-05,0.0,0.0,0.0,0.00029913173,0.001916751,0.0011871669
NFYB,0.30625772,0.20692872,0.5507645,0.15055415,0.51547873,0.46274886,0.6852042
ZNF441,0.018059358,0.020956581,0.012975867,0.023583822,0.01992634,0.029897008,0.013296071
GLI3,0.28765407,0.34109756,0.3890636,0.4629857,0.32534128,0.27246228,0.08779262
NR6A1,0.3581739,0.639019,0.7390781,0.7851957,0.666125,0.48250666,0.5237375
HMGXB3,0.2236404,0.16834557,0.14854376,0.1905006,0.16712564,0.3313503,0.14690505
MGA,0.19727395,0.19988792,0.18135877,0.18514688,0.14254603,0.31413442,0.09695026
ZNF33B,0.12147415,0.1588077,0.1539862,0.13590199,0.09080946,0.08939681,0.06993763
SOX13,0.13025272,0.1196589,0.0126158735,0.062149074,0.016914994,0.012574619,0.007492242
ZNF26,0.05147232,0.060007807,0.040451225,0.053051386,0.033091743,0.045717034,0.011917776
NFKB1,0.22546262,0.12707396,0.13356835,0.11569085,0.113825366,0.22823544,0.102097906
NFE2L2,0.5336438,0.35522068,0.26194414,0.36413145,0.25783992,0.51926446,0.28936598
ZNF512,0.010145086,0.007272859,0.0073164706,0.007883538,0.0071520233,0.027041052,0.009433273
RXRA,0.42771423,0.53584176,0.42618757,0.4275427,0.26170978,0.3642422,0.26322755
REL,0.3054919,0.36841074,0.43365297,0.5529434,0.31978133,0.46086267,0.20789242
ZNF32,0.065618716,0.044169392,0.055016287,0.032610815,0.0625227,0.09297077,0.1045417
TSC22D1,1.0803455,1.1130489,0.9702742,1.188422,0.82219315,0.9281979,0.500724
ZNF789,0.022624955,0.023685608,0.019603722,0.011623248,0.015051528,0.009527994,0.011949689
TSHZ1,0.02761747,0.026024422,0.025821218,0.01782524,0.016589012,0.009482963,0.009773118
ZNF491,0.005570368,0.005615267,0.006032769,0.004237252,0.0033751072,0.008976479,0.006536562
NFATC2,0.053753782,0.1032052,0.016370578,0.08302569,0.008585249,0.011638489,0.0022284267
RFX3,0.03565164,0.06284871,0.04403619,0.074839376,0.032107234,0.027400125,0.009151581
ZNF236,0.0713302,0.071673445,0.06712988,0.0527197,0.052911956,0.088377684,0.032957844
CREM,0.36273628,0.17453934,0.25686347,0.17903726,0.20575938,0.19808592,0.27371114
DNAJC1,0.30550948,0.24408759,0.39877293,0.5059308,0.6088347,0.748937,0.79144156
ZFX,0.376679,0.17490458,0.1868859,0.1748108,0.15669514,0.33924872,0.1069661
GATAD2A,0.30801824,0.29260603,0.3909303,0.28853416,0.36927506,0.5353324,0.36806276
JARID2,0.21998005,0.3175898,0.24389571,0.27019027,0.19968979,0.35562587,0.15554179
MIER1,0.43343076,0.4191751,0.45409638,0.5158502,0.3802206,0.38744846,0.35907403
ZBTB7C,0.08576588,0.011229722,0.000836258,0.0023348418,0.0013189714,0.0015121854,0.0006089324
ZBTB40,0.076994166,0.05717361,0.06646493,0.05424103,0.046865623,0.12515885,0.04529209
GLIS3,0.06370648,0.18898751,0.063105285,0.21531522,0.079965696,0.07763281,0.04446086
ELK4,0.111894146,0.14608969,0.09277529,0.14404339,0.084285416,0.15475924,0.028787138
TFCP2,0.11423076,0.07728832,0.0711622,0.06874167,0.06450112,0.11655233,0.041805655
DLX6,0.20473012,0.20869069,0.37663847,0.29002324,0.24508576,0.10345954,0.122937754
IRF8,0.0010406281,0.0005330685,0.0041256095,0.00017788407,0.004165131,0.0042988616,0.009177499
DMTF1,0.11235497,0.10772558,0.11114799,0.084907606,0.08767164,0.20621505,0.080404386
POU6F2,0.006356608,0.0040683663,0.007965612,0.0037937614,0.0050426093,0.004294895,0.0033504923
ESR1,0.0009115115,0.00049288524,0.002051996,0.00036136823,0.00058249314,0.0,0.0005077862
AEBP2,0.48151433,0.39241084,0.23907956,0.32725355,0.17641503,0.22385034,0.10233672
NPAS3,0.021869376,0.036019474,0.007948078,0.020946626,0.0060585155,0.0026728676,0.00076698215
SMAD7,0.037238453,0.008021278,0.0009975426,0.004787468,0.0014662107,0.003266848,0.0038179504
ZBTB37,0.07680159,0.080573976,0.07342017,0.07536041,0.06762481,0.14814845,0.0329179
ELK3,0.031688374,0.048562147,0.03947404,0.039109327,0.06886549,0.14810076,0.047680214
ZNF561,0.053627536,0.05797904,0.057756327,0.055689074,0.066287294,0.13084656,0.14835164
KLF9,0.015647337,0.057216402,0.021804012,0.06722071,0.023115957,0.042035677,0.07484839
KDM2A,0.31421,0.26577199,0.20490876,0.29173648,0.16940267,0.32439795,0.10876397
ZNF496,0.044229437,0.047403004,0.045273874,0.030285798,0.02158491,0.017615609,0.011481347
ZNF586,0.022542689,0.023690851,0.026705611,0.027282322,0.016723271,0.009192896,0.0137530845
DLX4,0.12414267,0.33111694,0.49115565,0.2997794,0.3188713,0.24444957,0.3126901
MLXIP,0.042883303,0.009101591,0.004268741,0.004682257,0.00392183,0.016293317,0.004180459
ZNF570,0.023634164,0.0250739,0.032273676,0.03249246,0.04526952,0.10728316,0.06986491
CLOCK,0.10514315,0.07271304,0.08407916,0.07269399,0.09715374,0.25174072,0.08630566
NR2C2,0.08581095,0.09339476,0.069272526,0.092129216,0.058528364,0.09315331,0.021915581
UBTF,0.23929906,0.199145,0.29611558,0.17095095,0.24174948,0.29377684,0.23055862
ATRX,0.5037785,0.5792906,0.5893963,0.4675384,0.4798982,0.7982511,0.5409889
POGZ,0.14240494,0.19207025,0.19015357,0.17068955,0.13023631,0.22332996,0.06252103
PBRM1,0.32051343,0.2542438,0.34639966,0.23559654,0.2586212,0.5631862,0.21115704
KMT2A,0.21582532,0.29706052,0.25439963,0.3366623,0.22454987,0.4036181,0.15455833
ZNF765,0.07547878,0.12509343,0.09948164,0.24760598,0.07241184,0.07352338,0.029235901
NFE2L3,0.7353885,0.40737763,0.1478948,0.27644163,0.0670571,0.0570251,0.0123567935
KDM5C,0.17271289,0.16731492,0.16830549,0.17299487,0.13002232,0.31228054,0.07609873
HIVEP2,0.041437473,0.113063075,0.023720725,0.11068279,0.017950632,0.054742016,0.005133662
ARID3B,0.19922027,0.18887904,0.16047263,0.21051563,0.16817161,0.2997085,0.113199025
SP6,0.25141487,0.051375583,0.0042888257,0.016490415,0.003705595,0.01347201,0.0015429539
ZNFX1,0.120891176,0.13737547,0.090593986,0.13070866,0.104040265,0.36938685,0.1486099
BHLHE41,0.21094279,0.16474743,0.10393277,0.18214922,0.035797756,0.014877612,0.009973405
MECOM,0.0027411703,0.0018872683,0.0042401515,0.0011158288,0.0016539531,0.018658336,0.003687025
ZNF362,0.08525545,0.06204511,0.030521648,0.03451909,0.021580271,0.017220229,0.0071517844
ESR2,0.020700807,0.017543172,0.016918432,0.01729016,0.013277899,0.013409155,0.0038101044
ZHX2,0.022361344,0.013675136,0.009617531,0.018804315,0.006462906,0.01605255,0.00204787
BACH2,0.0010832852,0.0071632266,0.0016396735,0.0022593837,0.0029135947,0.0053717564,0.0024370656
ZNF100,0.072181314,0.08021204,0.10857883,0.09265583,0.064485915,0.11639344,0.05232777
ZNF439,0.1519229,0.18049783,0.19466904,0.18082288,0.15728776,0.21405256,0.08791729
THAP7,0.13457419,0.12866089,0.14495224,0.12732856,0.087404184,0.08261393,0.09470806
ZNF75D,0.016283918,0.020371096,0.018493442,0.0159079,0.008932354,0.016693307,0.010046869
ZNF780B,0.01950212,0.021395117,0.01836785,0.015393617,0.015108811,0.021071194,0.0036937953
ZNF664,0.08677682,0.077340566,0.053208504,0.060105097,0.047533613,0.11143251,0.038628712
HES2,0.09435874,0.12508404,0.014503424,0.10370495,0.02133557,0.063373335,0.028269272
ZBTB2,0.03882222,0.044305995,0.046361063,0.05556814,0.041752104,0.059935134,0.02234748
ELF5,0.12537423,0.008797701,0.0,0.0013566738,0.0002695705,0.0,0.00031647764
ZNF714,0.13350555,0.14099245,0.13439181,0.1106025,0.08423535,0.122012995,0.054610062
NFYC,0.2538442,0.19196619,0.21772265,0.17940064,0.1395406,0.15127969,0.12874863
TCF7L2,0.560852,0.8596719,1.2806036,1.339083,1.3546582,1.4865146,0.78270113
ESRRA,0.4778547,0.31801507,0.34855437,0.29031923,0.3753861,0.63030916,0.4566394
TFCP2L1,0.30290562,0.060408488,0.0075218207,0.032546967,0.007878644,0.027910836,0.0062397663
ZNF846,0.008697038,0.008699305,0.009572416,0.01251032,0.02042468,0.03963009,0.03754476
NR3C1,0.2810623,0.6168631,0.5628714,0.6477446,0.3960194,0.25384706,0.11094322
TSC22D2,0.32958078,0.3841164,0.28086013,0.44331118,0.29343867,0.55428684,0.17034084
ZNF91,0.21886344,0.33434284,0.3271719,0.4393188,0.2850386,0.57091177,0.20442659
ARID3A,1.2210404,1.5772017,2.015071,1.8197954,1.9259713,2.1214104,1.6838633
AHRR,0.0017509274,0.005928193,0.0074208584,0.0131031545,0.00449705,0.009796719,0.0017185793
ZBED1,0.12832132,0.12125538,0.098083876,0.09006479,0.06957549,0.12922476,0.05839015
NFXL1,0.12758029,0.15789245,0.19543791,0.22661775,0.18518701,0.33632472,0.1351578
FOXJ2,0.11228179,0.13349657,0.040356282,0.1204631,0.038650982,0.049079046,0.020770807
ZNF14,0.016233195,0.016487725,0.011861606,0.01563338,0.008780072,0.0022289439,0.010699108
LHX4,0.0155911585,0.024764601,0.0258666,0.022901345,0.007477161,0.022406694,0.002148814
CUX1,0.31339628,0.30386028,0.37702578,0.34273055,0.46060655,0.8080032,0.32472968
ZFHX3,0.26700905,0.14690654,0.08690847,0.09496928,0.10864931,0.3508861,0.10477332
ZNF813,0.046328586,0.06423506,0.057793424,0.080133595,0.04402233,0.07382384,0.021533383
ZNF451,0.48806563,0.37512782,0.4208139,0.41355264,0.40113983,0.938439,0.35206556
PRDM15,0.018037328,0.013696849,0.010832065,0.011582274,0.009248761,0.031119335,0.01006468
PPARD,0.21787895,0.13644758,0.17860071,0.14182897,0.12191525,0.28409794,0.1669576
PKNOX1,0.13416532,0.1481505,0.15675308,0.15850231,0.13140947,0.13331868,0.11791148
E2F7,0.042668924,0.02470788,0.032685656,0.0038437576,0.0018708708,0.0,0.0003830472
ZNF565,0.016149597,0.015770562,0.019483753,0.017563114,0.0115117105,0.009380603,0.019040473
BNC2,0.0046179006,0.006772893,0.0016897985,0.0021268271,0.0010533002,0.0,0.0
SRF,0.08381509,0.08782517,0.18587552,0.111632936,0.12666644,0.19458304,0.11559345
TBX3,0.3556099,0.115285195,0.033617202,0.12836517,0.030164797,0.088576615,0.015036291
ZNF613,0.014438776,0.015530986,0.018304711,0.014968064,0.0114704585,0.016063131,0.01171076
ZNF860,0.013142425,0.013619073,0.018196654,0.01629407,0.018414306,0.040217977,0.008144131
ZNF263,0.06597961,0.07172845,0.052722055,0.0644868,0.04730984,0.051530197,0.039141588
CREBZF,0.20721819,0.29680234,0.23791039,0.265597,0.16909519,0.26083735,0.08230152
ZNF462,0.06451289,0.10213506,0.07799835,0.04669479,0.053675015,0.092397906,0.05239765
HIC2,0.43960333,0.42864853,0.48856613,0.46091107,0.39854252,0.45718935,0.22263594
NFIA,0.0125374235,0.0219106,0.018266628,0.013427295,0.01650912,0.046841387,0.008323418
RBPJ,0.48030016,0.4587405,0.45199504,0.4635759,0.32422593,0.33261472,0.24272723
NONO,0.69833505,0.53015655,0.54537004,0.40841153,0.3574194,0.3664849,0.27997336
ZBED5,0.11984314,0.13413131,0.09185722,0.08969947,0.05614236,0.13894723,0.048975445
CNOT4,0.19824623,0.21767485,0.19884144,0.270918,0.18230318,0.19148803,0.20813267
ZNF674,0.0075494517,0.008562615,0.006974908,0.00917555,0.0103735365,0.020243121,0.0063731084
ZNF438,0.022394666,0.023522485,0.0310287,0.026226755,0.02077472,0.04345475,0.01478485
ZNF680,0.084300235,0.10750862,0.09179712,0.09754967,0.057971373,0.13929512,0.058906004
DNMT3B,0.04456067,0.03184158,0.025228586,0.011667262,0.0065380703,0.019719029,0.0063944245
MSX2,0.77490914,0.29371282,0.07820556,0.15605004,0.03848752,0.043868963,0.022370892
SMAD2,0.28003082,0.28226328,0.26530614,0.28908685,0.222202,0.31550273,0.16647111
ZNF345,0.023335114,0.029925652,0.022209683,0.025517005,0.017743299,0.026996495,0.019301461
ZNF791,0.21643129,0.2506981,0.2007095,0.25770155,0.1908102,0.29730052,0.14484245
THAP3,0.06492514,0.052635096,0.05110317,0.05496055,0.045383543,0.059872374,0.097903214
KDM5A,0.42854092,0.42763343,0.4275723,0.43210682,0.36190686,0.48756573,0.25453207
NFE2L1,0.20317744,0.17867236,0.2080755,0.17424984,0.18590944,0.4657466,0.18900682
RFX7,0.09680141,0.06926324,0.042597644,0.048720222,0.04287715,0.17498136,0.044845708
NCOR2,0.13718346,0.3658492,0.45157957,0.49114624,0.414718,0.5259178,0.22810766
